Dīgha Nikāya 27 ||| Long Discourses 27
Imesu kho, vāseṭṭha, catūsu vaṇṇesu evaṁ ubhayavokiṇṇesu vattamānesu kaṇhasukkesu dhammesu viññugarahitesu ceva viññuppasatthesu ca yadettha brāhmaṇā evamāhaṁsu: ||| Both these things occur like this, mixed up in these four classes—the dark and the bright, that which is praised and that which is criticized by sensible people. Yet of this the brahmins say:
‘brāhmaṇova seṭṭho vaṇṇo, hīnā aññe vaṇṇā; ||| ‘Only brahmins are the best class; other classes are inferior.
brāhmaṇova sukko vaṇṇo, kaṇhā aññe vaṇṇā; ||| Only brahmins are the light class; other classes are dark.
brāhmaṇāva sujjhanti, no abrāhmaṇā; ||| Only brahmins are purified, not others.
brāhmaṇāva brahmuno puttā orasā mukhato jātā brahmajā brahmanimmitā brahmadāyādā’ti. ||| Only brahmins are the Divinity’s true-born sons, born from his mouth, born of the Divinity, created by the Divinity, heirs of the Divinity.’
Taṁ tesaṁ viññū nānujānanti. ||| Sensible people don’t grant this.
Taṁ kissa hetu? ||| Why is that?
Imesañhi, vāseṭṭha, catunnaṁ vaṇṇānaṁ yo hoti bhikkhu arahaṁ khīṇāsavo vusitavā katakaraṇīyo ohitabhāro anuppattasadattho parikkhīṇabhavasaṁyojano sammadaññāvimutto, so nesaṁ aggamakkhāyati dhammeneva, no adhammena. ||| Because any mendicant from these four classes who is perfected—with defilements ended, who has completed the spiritual journey, done what had to be done, laid down the burden, achieved their heart’s goal, utterly ended the fetter of continued existence, and is rightly freed through enlightenment—is said to be foremost by virtue of principle, not against principle.
Dhammo hi, vāseṭṭha, seṭṭho janetasmiṁ, diṭṭhe ceva dhamme abhisamparāyañca. ||| For principle, Vāseṭṭha, is the best thing for people in both this life and the next.
Tadamināpetaṁ, vāseṭṭha, pariyāyena veditabbaṁ, yathā dhammova seṭṭho janetasmiṁ, diṭṭhe ceva dhamme abhisamparāyañca. ||| And here’s a way to understand how this is so.
Jānāti kho, vāseṭṭha, rājā pasenadi kosalo: ||| King Pasenadi of Kosala knows that
‘samaṇo gotamo anantarā sakyakulā pabbajito’ti. ||| the ascetic Gotama has gone forth from the neighboring clan of the Sakyans.
Sakyā kho pana, vāseṭṭha, rañño pasenadissa kosalassa anuyuttā bhavanti. ||| And the Sakyans are his vassals.
Karonti kho, vāseṭṭha, sakyā raññe pasenadimhi kosale nipaccakāraṁ abhivādanaṁ paccuṭṭhānaṁ añjalikammaṁ sāmīcikammaṁ. ||| The Sakyans show deference to King Pasenadi by bowing down, rising up, greeting him with cupped palms, and observing proper etiquette for him.
Iti kho, vāseṭṭha, yaṁ karonti sakyā raññe pasenadimhi kosale nipaccakāraṁ abhivādanaṁ paccuṭṭhānaṁ añjalikammaṁ sāmīcikammaṁ, karoti taṁ rājā pasenadi kosalo tathāgate nipaccakāraṁ abhivādanaṁ paccuṭṭhānaṁ añjalikammaṁ sāmīcikammaṁ, na naṁ ‘sujāto samaṇo gotamo, dujjātohamasmi. ||| Now, King Pasenadi shows the same kind of deference to the Realized One. But he doesn’t think: ‘The ascetic Gotama is well-born, I am ill-born.
Balavā samaṇo gotamo, dubbalohamasmi. ||| He is powerful, I am weak.
Pāsādiko samaṇo gotamo, dubbaṇṇohamasmi. ||| He is handsome, I am ugly.
Mahesakkho samaṇo gotamo, appesakkhohamasmī’ti. ||| He is illustrious, I am insignificant.’
Atha kho naṁ dhammaṁyeva sakkaronto dhammaṁ garuṁ karonto dhammaṁ mānento dhammaṁ pūjento dhammaṁ apacāyamāno evaṁ rājā pasenadi kosalo tathāgate nipaccakāraṁ karoti, abhivādanaṁ paccuṭṭhānaṁ añjalikammaṁ sāmīcikammaṁ. ||| Rather, in showing such deference to the Realized One he is only honoring, respecting, and venerating principle.
Imināpi kho etaṁ, vāseṭṭha, pariyāyena veditabbaṁ, yathā dhammova seṭṭho janetasmiṁ, diṭṭhe ceva dhamme abhisamparāyañca. ||| And here’s another way to understand how principle is the best thing for people in both this life and the next.
Tumhe khvattha, vāseṭṭha, nānājaccā nānānāmā nānāgottā nānākulā agārasmā anagāriyaṁ pabbajitā. ||| Vāseṭṭha, you have different births, names, clans, and families, yet have gone forth from the lay life to homelessness.
‘Ke tumhe’ti—puṭṭhā samānā ‘samaṇā sakyaputtiyāmhā’ti—paṭijānātha. ||| When they ask you what you are, you claim to be ascetics who follow the Sakyan.
Yassa kho panassa, vāseṭṭha, tathāgate saddhā niviṭṭhā mūlajātā patiṭṭhitā daḷhā asaṁhāriyā samaṇena vā brāhmaṇena vā devena vā mārena vā brahmunā vā kenaci vā lokasmiṁ, tassetaṁ kallaṁ vacanāya: ||| But only when someone has faith in the Realized One—settled, rooted, and planted deep, strong, not to be shifted by any ascetic or brahmin or god or Māra or divinity or by anyone in the world—is it appropriate for them to say:
‘bhagavatomhi putto oraso mukhato jāto dhammajo dhammanimmito dhammadāyādo’ti. ||| ‘I am the Buddha’s true-born son, born from his mouth, born of principle, created by principle, heir to principle.’
Taṁ kissa hetu? ||| Why is that?
Tathāgatassa hetaṁ, vāseṭṭha, adhivacanaṁ ‘dhammakāyo’ itipi, ‘brahmakāyo’ itipi, ‘dhammabhūto’ itipi, ‘brahmabhūto’ itipi. ||| For these are terms for the Realized One: ‘the embodiment of principle’, and ‘the embodiment of divinity’, and ‘the manifestation of principle’, and ‘the manifestation of divinity’.
Hoti kho so, vāseṭṭha, samayo yaṁ kadāci karahaci dīghassa addhuno accayena ayaṁ loko saṁvaṭṭati. ||| There comes a time when, Vāseṭṭha, after a very long period has passed, this cosmos contracts.
Saṁvaṭṭamāne loke yebhuyyena sattā ābhassarasaṁvattanikā honti. ||| As the cosmos contracts, sentient beings are mostly headed for the realm of streaming radiance.
Te tattha honti manomayā pītibhakkhā sayaṁpabhā antalikkhacarā subhaṭṭhāyino ciraṁ dīghamaddhānaṁ tiṭṭhanti. ||| There they are mind-made, feeding on rapture, self-luminous, wandering in midair, steadily glorious, and they remain like that for a very long time.
Hoti kho so, vāseṭṭha, samayo yaṁ kadāci karahaci dīghassa addhuno accayena ayaṁ loko vivaṭṭati. ||| There comes a time when, after a very long period has passed, this cosmos expands.
Vivaṭṭamāne loke yebhuyyena sattā ābhassarakāyā cavitvā itthattaṁ āgacchanti. ||| As the cosmos expands, sentient beings mostly pass away from that host of radiant deities and come back to this realm.
Tedha honti manomayā pītibhakkhā sayaṁpabhā antalikkhacarā subhaṭṭhāyino ciraṁ dīghamaddhānaṁ tiṭṭhanti. ||| Here they are mind-made, feeding on rapture, self-luminous, wandering in midair, steadily glorious, and they remain like that for a very long time.
2. Rasapathavipātubhāva ||| 2. The Earth’s Nectar Appears
Ekodakībhūtaṁ kho pana, vāseṭṭha, tena samayena hoti andhakāro andhakāratimisā. ||| But the single mass of water at that time was utterly dark.
Na candimasūriyā paññāyanti, na nakkhattāni tārakarūpāni paññāyanti, na rattindivā paññāyanti, na māsaḍḍhamāsā paññāyanti, na utusaṁvaccharā paññāyanti, na itthipumā paññāyanti, sattā sattātveva saṅkhyaṁ gacchanti. ||| The moon and sun were not found, nor were stars and constellations, day and night, months and fortnights, years and seasons, or male and female. Beings were simply known as ‘beings’.
Atha kho tesaṁ, vāseṭṭha, sattānaṁ kadāci karahaci dīghassa addhuno accayena rasapathavī udakasmiṁ samatani; ||| After a very long period had passed, the earth’s nectar curdled in the water.
seyyathāpi nāma payaso tattassa nibbāyamānassa upari santānakaṁ hoti; ||| It appeared just like the curd on top of hot milk-rice as it cools.
evameva pāturahosi.
Sā ahosi vaṇṇasampannā gandhasampannā rasasampannā, seyyathāpi nāma sampannaṁ vā sappi sampannaṁ vā navanītaṁ evaṁvaṇṇā ahosi. ||| It was beautiful, fragrant, and delicious, like ghee or butter.
Seyyathāpi nāma khuddamadhuṁ aneḷakaṁ; ||| And it was as sweet as pure dwarf-bee honey.
evamassādā ahosi.
Atha kho, vāseṭṭha, aññataro satto lolajātiko: ||| Now, one of those beings was reckless.
‘ambho, kimevidaṁ bhavissatī’ti rasapathaviṁ aṅguliyā sāyi. ||| Thinking, ‘Oh my, what might this be?’ they tasted the earth’s nectar with their finger.
Tassa rasapathaviṁ aṅguliyā sāyato acchādesi, taṇhā cassa okkami. ||| They enjoyed it, and craving was born in them.
Aññepi kho, vāseṭṭha, sattā tassa sattassa diṭṭhānugatiṁ āpajjamānā rasapathaviṁ aṅguliyā sāyiṁsu. ||| And other beings, following that being’s example, tasted the earth’s nectar with their fingers.
Tesaṁ rasapathaviṁ aṅguliyā sāyataṁ acchādesi, taṇhā ca tesaṁ okkami. ||| They too enjoyed it, and craving was born in them.
3. Candimasūriyādipātubhāva ||| 3. The Moon and Sun Appear
Atha kho te, vāseṭṭha, sattā rasapathaviṁ hatthehi āluppakārakaṁ upakkamiṁsu paribhuñjituṁ. ||| Then those beings started to eat the earth’s nectar, breaking it into lumps.
Yato kho te, vāseṭṭha, sattā rasapathaviṁ hatthehi āluppakārakaṁ upakkamiṁsu paribhuñjituṁ. ||| But when they did this
Atha tesaṁ sattānaṁ sayaṁpabhā antaradhāyi. ||| their luminosity vanished.
Sayaṁpabhāya antarahitāya candimasūriyā pāturahesuṁ. ||| And with the vanishing of their luminosity the moon and sun appeared,
Candimasūriyesu pātubhūtesu nakkhattāni tārakarūpāni pāturahesuṁ. ||| stars and constellations appeared,
Nakkhattesu tārakarūpesu pātubhūtesu rattindivā paññāyiṁsu. ||| days and nights were distinguished,
Rattindivesu paññāyamānesu māsaḍḍhamāsā paññāyiṁsu. ||| and so were months and fortnights,
Māsaḍḍhamāsesu paññāyamānesu utusaṁvaccharā paññāyiṁsu. ||| and years and seasons.
Ettāvatā kho, vāseṭṭha, ayaṁ loko puna vivaṭṭo hoti. ||| So far had the world evolved once more.
Atha kho te, vāseṭṭha, sattā rasapathaviṁ paribhuñjantā tambhakkhā tadāhārā ciraṁ dīghamaddhānaṁ aṭṭhaṁsu. ||| Then those beings eating the earth’s nectar, with that as their food and nourishment, remained for a very long time.
Yathā yathā kho te, vāseṭṭha, sattā rasapathaviṁ paribhuñjantā tambhakkhā tadāhārā ciraṁ dīghamaddhānaṁ aṭṭhaṁsu tathā tathā tesaṁ sattānaṁ rasapathaviṁ paribhuñjantānaṁ kharattañceva kāyasmiṁ okkami, vaṇṇavevaṇṇatā ca paññāyittha. ||| But so long as they ate that earth’s nectar, their bodies became more solid and they diverged in appearance;
Ekidaṁ sattā vaṇṇavanto honti, ekidaṁ sattā dubbaṇṇā. ||| some beautiful, some ugly.
Tattha ye te sattā vaṇṇavanto, te dubbaṇṇe satte atimaññanti: ||| And the beautiful beings looked down on the ugly ones:
‘mayametehi vaṇṇavantatarā, amhehete dubbaṇṇatarā’ti. ||| ‘We’re more beautiful, they’re the ugly ones!’
Tesaṁ vaṇṇātimānapaccayā mānātimānajātikānaṁ rasapathavī antaradhāyi. ||| And the vanity of the beautiful ones made the earth’s nectar vanish.
Rasāya pathaviyā antarahitāya sannipatiṁsu. ||| They gathered together and bemoaned,
Sannipatitvā anutthuniṁsu:
‘aho rasaṁ, aho rasan’ti. ||| ‘Oh, what a taste! Oh, what a taste!’
Tadetarahipi manussā kañcideva surasaṁ labhitvā evamāhaṁsu: ||| And even today when people get something tasty they say:
‘aho rasaṁ, aho rasan’ti. ||| ‘Oh, what a taste! Oh, what a taste!’
Tadeva porāṇaṁ aggaññaṁ akkharaṁ anusaranti, na tvevassa atthaṁ ājānanti. ||| They’re just remembering an ancient primordial saying, but they don’t understand what it means.
4. Bhūmipappaṭakapātubhāva ||| 4. Ground-Fungus
Atha kho tesaṁ, vāseṭṭha, sattānaṁ rasāya pathaviyā antarahitāya bhūmipappaṭako pāturahosi. ||| When the earth’s nectar had vanished, ground-fungus appeared to those beings.
Seyyathāpi nāma ahicchattako; evameva pāturahosi. ||| It appeared just like a mushroom.
So ahosi vaṇṇasampanno gandhasampanno rasasampanno, seyyathāpi nāma sampannaṁ vā sappi sampannaṁ vā navanītaṁ evaṁvaṇṇo ahosi. ||| It was beautiful, fragrant, and delicious, like ghee or butter.
Seyyathāpi nāma khuddamadhuṁ aneḷakaṁ; evamassādo ahosi. ||| And it was as sweet as pure dwarf-bee honey.
Atha kho te, vāseṭṭha, sattā bhūmipappaṭakaṁ upakkamiṁsu paribhuñjituṁ. ||| Then those beings started to eat the ground-fungus.
Te taṁ paribhuñjantā tambhakkhā tadāhārā ciraṁ dīghamaddhānaṁ aṭṭhaṁsu. ||| With that as their food and nourishment, they remained for a very long time.
Yathā yathā kho te, vāseṭṭha, sattā bhūmipappaṭakaṁ paribhuñjantā tambhakkhā tadāhārā ciraṁ dīghamaddhānaṁ aṭṭhaṁsu tathā tathā tesaṁ sattānaṁ bhiyyoso mattāya kharattañceva kāyasmiṁ okkami, vaṇṇavevaṇṇatā ca paññāyittha. ||| But so long as they ate that ground-fungus, their bodies became more solid and they diverged in appearance;
Ekidaṁ sattā vaṇṇavanto honti, ekidaṁ sattā dubbaṇṇā. ||| some beautiful, some ugly.
Tattha ye te sattā vaṇṇavanto, te dubbaṇṇe satte atimaññanti: ||| And the beautiful beings looked down on the ugly ones:
‘mayametehi vaṇṇavantatarā, amhehete dubbaṇṇatarā’ti. ||| ‘We’re more beautiful, they’re the ugly ones!’
Tesaṁ vaṇṇātimānapaccayā mānātimānajātikānaṁ bhūmipappaṭako antaradhāyi. ||| And the vanity of the beautiful ones made the ground-fungus vanish.
5. Padālatāpātubhāva ||| 5. Bursting Pods
Bhūmipappaṭake antarahite padālatā pāturahosi, seyyathāpi nāma kalambukā; evameva pāturahosi. ||| When the ground-fungus had vanished, bursting pods appeared, like the fruit of the kadam tree.
Sā ahosi vaṇṇasampannā gandhasampannā rasasampannā, seyyathāpi nāma sampannaṁ vā sappi sampannaṁ vā navanītaṁ evaṁvaṇṇā ahosi. ||| They were beautiful, fragrant, and delicious, like ghee or butter.
Seyyathāpi nāma khuddamadhuṁ aneḷakaṁ; evamassādā ahosi. ||| And they were as sweet as pure dwarf-bee honey.
Atha kho te, vāseṭṭha, sattā padālataṁ upakkamiṁsu paribhuñjituṁ. ||| Then those beings started to eat the bursting pods.
Te taṁ paribhuñjantā tambhakkhā tadāhārā ciraṁ dīghamaddhānaṁ aṭṭhaṁsu. ||| With that as their food and nourishment, they remained for a very long time.
Yathā yathā kho te, vāseṭṭha, sattā padālataṁ paribhuñjantā tambhakkhā tadāhārā ciraṁ dīghamaddhānaṁ aṭṭhaṁsu tathā tathā tesaṁ sattānaṁ bhiyyoso mattāya kharattañceva kāyasmiṁ okkami, vaṇṇavevaṇṇatā ca paññāyittha. ||| But so long as they ate those bursting pods, their bodies became more solid and they diverged in appearance;
Ekidaṁ sattā vaṇṇavanto honti, ekidaṁ sattā dubbaṇṇā. ||| some beautiful, some ugly.
Tattha ye te sattā vaṇṇavanto, te dubbaṇṇe satte atimaññanti: ||| And the beautiful beings looked down on the ugly ones:
‘mayametehi vaṇṇavantatarā, amhehete dubbaṇṇatarā’ti. ||| ‘We’re more beautiful, they’re the ugly ones!’
Tesaṁ vaṇṇātimānapaccayā mānātimānajātikānaṁ padālatā antaradhāyi. ||| And the vanity of the beautiful ones made the bursting pods vanish.
Padālatāya antarahitāya sannipatiṁsu. Sannipatitvā anutthuniṁsu: ||| They gathered together and bemoaned,
‘ahu vata no, ahāyi vata no padālatā’ti. ||| ‘Oh, what we’ve lost! Oh, what we’ve lost—those bursting pods!’
Tadetarahipi manussā kenaci dukkhadhammena phuṭṭhā evamāhaṁsu: ||| And even today when people experience suffering they say:
‘ahu vata no, ahāyi vata no’ti. ||| ‘Oh, what we’ve lost! Oh, what we’ve lost!’
Tadeva porāṇaṁ aggaññaṁ akkharaṁ anusaranti, na tvevassa atthaṁ ājānanti. ||| They’re just remembering an ancient primordial saying, but they don’t understand what it means.
6. Akaṭṭhapākasālipātubhāva ||| 6. Ripe Untilled Rice
Atha kho tesaṁ, vāseṭṭha, sattānaṁ padālatāya antarahitāya akaṭṭhapāko sāli pāturahosi akaṇo athuso suddho sugandho taṇḍulapphalo. ||| When the bursting pods had vanished, ripe untilled rice appeared to those beings. It had no powder or husk, pure and fragrant, with only the rice-grain.
Yaṁ taṁ sāyaṁ sāyamāsāya āharanti, pāto taṁ hoti pakkaṁ paṭivirūḷhaṁ. ||| What they took for supper at dusk, by daybreak had grown back and ripened.
Yaṁ taṁ pāto pātarāsāya āharanti, sāyaṁ taṁ hoti pakkaṁ paṭivirūḷhaṁ; ||| And what they took for breakfast at daybreak had grown back and ripened by the evening,
nāpadānaṁ paññāyati. ||| leaving no trace showing.
Atha kho te, vāseṭṭha, sattā akaṭṭhapākaṁ sāliṁ paribhuñjantā tambhakkhā tadāhārā ciraṁ dīghamaddhānaṁ aṭṭhaṁsu. ||| Then those beings eating the ripe untilled rice, with that as their food and nourishment, remained for a very long time.
7. Itthipurisaliṅgapātubhāva ||| 7. Sex Appears
Yathā yathā kho te, vāseṭṭha, sattā akaṭṭhapākaṁ sāliṁ paribhuñjantā tambhakkhā tadāhārā ciraṁ dīghamaddhānaṁ aṭṭhaṁsu tathā tathā tesaṁ sattānaṁ bhiyyoso mattāya kharattañceva kāyasmiṁ okkami, vaṇṇavevaṇṇatā ca paññāyittha, itthiyā ca itthiliṅgaṁ pāturahosi purisassa ca purisaliṅgaṁ. ||| But so long as they ate that ripe untilled rice, their bodies became more solid and they diverged in appearance. And female characteristics appeared on women, while male characteristics appeared on men.
Itthī ca purisaṁ ativelaṁ upanijjhāyati puriso ca itthiṁ. ||| Women spent too much time gazing at men, and men at women.
Tesaṁ ativelaṁ aññamaññaṁ upanijjhāyataṁ sārāgo udapādi, pariḷāho kāyasmiṁ okkami. ||| They became lustful, and their bodies burned with fever.
Te pariḷāhapaccayā methunaṁ dhammaṁ paṭiseviṁsu. ||| Due to this fever they had sex with each other.
Ye kho pana te, vāseṭṭha, tena samayena sattā passanti methunaṁ dhammaṁ paṭisevante, aññe paṁsuṁ khipanti, aññe seṭṭhiṁ khipanti, aññe gomayaṁ khipanti: ||| Those who saw them having sex pelted them with dirt, clods, or cow-dung, saying,
‘nassa asuci, nassa asucī’ti. ||| ‘Get lost, filth! Get lost, filth!
‘Kathañhi nāma satto sattassa evarūpaṁ karissatī’ti. ||| How on earth can one being do that to another?’
Tadetarahipi manussā ekaccesu janapadesu vadhuyā nibbuyhamānāya aññe paṁsuṁ khipanti, aññe seṭṭhiṁ khipanti, aññe gomayaṁ khipanti. ||| And even today people in some countries, when carrying a bride off, pelt her with dirt, clods, or cow-dung.
Tadeva porāṇaṁ aggaññaṁ akkharaṁ anusaranti, na tvevassa atthaṁ ājānanti. ||| They’re just remembering an ancient primordial saying, but they don’t understand what it means.
8. Methunadhammasamācāra ||| 8. Sexual Intercourse
Adhammasammataṁ kho pana, vāseṭṭha, tena samayena hoti, tadetarahi dhammasammataṁ. ||| What was deemed as unprincipled at that time, these days is deemed as principled.
