Dīgha Nikāya 25 ||| Long Discourses 25
Seyyathidaṁ—rājakathaṁ corakathaṁ mahāmattakathaṁ senākathaṁ bhayakathaṁ yuddhakathaṁ annakathaṁ pānakathaṁ vatthakathaṁ sayanakathaṁ mālākathaṁ gandhakathaṁ ñātikathaṁ yānakathaṁ gāmakathaṁ nigamakathaṁ nagarakathaṁ janapadakathaṁ itthikathaṁ sūrakathaṁ visikhākathaṁ kumbhaṭṭhānakathaṁ pubbapetakathaṁ nānattakathaṁ lokakkhāyikaṁ samuddakkhāyikaṁ itibhavābhavakathaṁ iti vā. ||| talk about kings, bandits, and chief ministers; talk about armies, threats, and wars; talk about food, drink, clothes, and beds; talk about garlands and fragrances; talk about family, vehicles, villages, towns, cities, and countries; talk about women and heroes; street talk and well talk; talk about the departed; motley talk; tales of land and sea; and talk about being reborn in this or that state of existence.
Addasā kho nigrodho paribbājako sandhānaṁ gahapatiṁ dūratova āgacchantaṁ. ||| Nigrodha saw Sandhāna coming off in the distance,
Disvā sakaṁ parisaṁ saṇṭhāpesi: ||| and hushed his own assembly:
“appasaddā bhonto hontu, mā bhonto saddamakattha. ||| “Be quiet, good fellows, don’t make a sound.
Ayaṁ samaṇassa gotamassa sāvako āgacchati sandhāno gahapati. ||| The householder Sandhāna, a disciple of the ascetic Gotama, is coming.
Yāvatā kho pana samaṇassa gotamassa sāvakā gihī odātavasanā rājagahe paṭivasanti, ayaṁ tesaṁ aññataro sandhāno gahapati. ||| He is included among the white-clothed lay disciples of the ascetic Gotama, who is residing near Rājagaha.
Appasaddakāmā kho panete āyasmanto appasaddavinītā, appasaddassa vaṇṇavādino. ||| Such venerables like the quiet, are educated to be quiet, and praise the quiet.
Appeva nāma appasaddaṁ parisaṁ viditvā upasaṅkamitabbaṁ maññeyyā”ti. ||| Hopefully if he sees that our assembly is quiet he’ll see fit to approach.”
Evaṁ vutte, te paribbājakā tuṇhī ahesuṁ. ||| Then those wanderers fell silent.
Atha kho sandhāno gahapati yena nigrodho paribbājako tenupasaṅkami, upasaṅkamitvā nigrodhena paribbājakena saddhiṁ sammodi. ||| Then Sandhāna went up to the wanderer Nigrodha, and exchanged greetings with him.
Sammodanīyaṁ kathaṁ sāraṇīyaṁ vītisāretvā ekamantaṁ nisīdi. Ekamantaṁ nisinno kho sandhāno gahapati nigrodhaṁ paribbājakaṁ etadavoca: ||| When the greetings and polite conversation were over, he sat down to one side and said to Nigrodha,
“aññathā kho ime bhonto aññatitthiyā paribbājakā saṅgamma samāgamma unnādino uccāsaddamahāsaddā anekavihitaṁ tiracchānakathaṁ anuyuttā viharanti. ||| “The way the wanderers make an uproar as they sit together and talk about all kinds of low topics is one thing.
Seyyathidaṁ—rājakathaṁ …pe… itibhavābhavakathaṁ iti vā.
Aññathā kho pana so bhagavā araññavanapatthāni pantāni senāsanāni paṭisevati appasaddāni appanigghosāni vijanavātāni manussarāhasseyyakāni paṭisallānasāruppānī”ti. ||| It’s quite different to the way the Buddha frequents remote lodgings in the wilderness and the forest that are quiet and still, far from the madding crowd, remote from human settlements, and fit for retreat.”
Evaṁ vutte, nigrodho paribbājako sandhānaṁ gahapatiṁ etadavoca: ||| When Sandhāna said this, Nigrodha said to him,
“yagghe, gahapati, jāneyyāsi, kena samaṇo gotamo saddhiṁ sallapati, kena sākacchaṁ samāpajjati, kena paññāveyyattiyaṁ samāpajjati? ||| “Surely, householder, you should know better! With whom does the ascetic Gotama converse? With whom does he engage in discussion? With whom does he achieve lucidity of wisdom?
Suññāgārahatā samaṇassa gotamassa paññā aparisāvacaro samaṇo gotamo nālaṁ sallāpāya. ||| Staying in empty huts has destroyed the ascetic Gotama’s wisdom. Not frequenting assemblies, he is unable to hold a discussion.
So antamantāneva sevati. ||| He just lurks on the periphery.
Seyyathāpi nāma gokāṇā pariyantacārinī antamantāneva sevati. ||| He’s just like a one-eyed cow, circling around and lurking on the periphery.
Evameva suññāgārahatā samaṇassa gotamassa paññā;
aparisāvacaro samaṇo gotamo;
nālaṁ sallāpāya.
So antamantāneva sevati.
Iṅgha, gahapati, samaṇo gotamo imaṁ parisaṁ āgaccheyya, ekapañheneva naṁ saṁsādeyyāma, tucchakumbhīva naṁ maññe orodheyyāmā”ti. ||| Go on, householder! Were the ascetic Gotama to come to this assembly, I’d sink him with just one question! I’d tie him up like a hollow pot!”
Assosi kho bhagavā dibbāya sotadhātuyā visuddhāya atikkantamānusikāya sandhānassa gahapatissa nigrodhena paribbājakena saddhiṁ imaṁ kathāsallāpaṁ. ||| With clairaudience that is purified and superhuman, the Buddha heard this discussion between the householder Sandhāna and the wanderer Nigrodha.
Atha kho bhagavā gijjhakūṭā pabbatā orohitvā yena sumāgadhāya tīre moranivāpo tenupasaṅkami; upasaṅkamitvā sumāgadhāya tīre moranivāpe abbhokāse caṅkami. ||| Then the Buddha descended from Vulture’s Peak Mountain and went to the peacocks’ feeding ground on the bank of the Sumāgadhā, where he walked mindfully in the open air.
Addasā kho nigrodho paribbājako bhagavantaṁ sumāgadhāya tīre moranivāpe abbhokāse caṅkamantaṁ. ||| Nigrodha saw him,
Disvāna sakaṁ parisaṁ saṇṭhāpesi: ||| and hushed his own assembly:
“appasaddā bhonto hontu, mā bhonto saddamakattha, ayaṁ samaṇo gotamo sumāgadhāya tīre moranivāpe abbhokāse caṅkamati. ||| “Be quiet, good fellows, don’t make a sound. Here, the ascetic Gotama is walking mindfully on the bank of the Sumāgadhā.
Appasaddakāmo kho pana so āyasmā, appasaddassa vaṇṇavādī. ||| The venerable likes quiet and praises quiet.
Appeva nāma appasaddaṁ parisaṁ viditvā upasaṅkamitabbaṁ maññeyya. ||| Hopefully if he sees that our assembly is quiet he’ll see fit to approach.
Sace samaṇo gotamo imaṁ parisaṁ āgaccheyya, imaṁ taṁ pañhaṁ puccheyyāma: ||| If he comes, I’ll ask him this question:
‘ko nāma so, bhante, bhagavato dhammo, yena bhagavā sāvake vineti, yena bhagavatā sāvakā vinītā assāsappattā paṭijānanti ajjhāsayaṁ ādibrahmacariyan’”ti? ||| ‘Sir, what teaching do you use to guide your disciples, through which they claim solace in the fundamental goal of the spiritual life?’”
Evaṁ vutte, te paribbājakā tuṇhī ahesuṁ. ||| Then those wanderers fell silent.
2. Tapojigucchāvāda ||| 2. Mortification in Disgust of Sin
Atha kho bhagavā yena nigrodho paribbājako tenupasaṅkami. ||| Then the Buddha went up to the wanderer Nigrodha,
Atha kho nigrodho paribbājako bhagavantaṁ etadavoca: ||| who said to him,
“etu kho, bhante, bhagavā, svāgataṁ, bhante, bhagavato. ||| “Let the Blessed One come, sir! Welcome to the Blessed One, sir!
Cirassaṁ kho, bhante, bhagavā imaṁ pariyāyamakāsi yadidaṁ idhāgamanāya. ||| It’s been a long time since you took the opportunity to come here.
Nisīdatu, bhante, bhagavā, idamāsanaṁ paññattan”ti. ||| Please, sir, sit down, here, a seat is ready.”
Nisīdi bhagavā paññatte āsane. ||| The Buddha sat on the seat spread out,
Nigrodhopi kho paribbājako aññataraṁ nīcāsanaṁ gahetvā ekamantaṁ nisīdi. ||| while Nigrodha took a low seat and sat to one side.
Ekamantaṁ nisinnaṁ kho nigrodhaṁ paribbājakaṁ bhagavā etadavoca: ||| The Buddha said to him,
“kāya nuttha, nigrodha, etarahi kathāya sannisinnā, kā ca pana vo antarākathā vippakatā”ti? ||| “Nigrodha, what were you sitting talking about just now? What conversation was left unfinished?”
Evaṁ vutte, nigrodho paribbājako bhagavantaṁ etadavoca: ||| Nigrodha said,
“idha mayaṁ, bhante, addasāma bhagavantaṁ sumāgadhāya tīre moranivāpe abbhokāse caṅkamantaṁ, disvāna evaṁ avocumhā: ||| “Well, sir, I saw you walking mindfully and said:
‘sace samaṇo gotamo imaṁ parisaṁ āgaccheyya, imaṁ taṁ pañhaṁ puccheyyāma: ||| ‘If the ascetic Gotama comes, I’ll ask him this question:
“ko nāma so, bhante, bhagavato dhammo, yena bhagavā sāvake vineti, yena bhagavatā sāvakā vinītā assāsappattā paṭijānanti ajjhāsayaṁ ādibrahmacariyan”’ti? ||| “Sir, what teaching do you use to guide your disciples, through which they claim solace in the fundamental goal of the spiritual life?”’
Ayaṁ kho no, bhante, antarākathā vippakatā; atha bhagavā anuppatto”ti. ||| This is the conversation that was unfinished when the Buddha arrived.”
“Dujjānaṁ kho etaṁ, nigrodha, tayā aññadiṭṭhikena aññakhantikena aññarucikena aññatrāyogena aññatrācariyakena, yenāhaṁ sāvake vinemi, yena mayā sāvakā vinītā assāsappattā paṭijānanti ajjhāsayaṁ ādibrahmacariyaṁ. ||| “It’s hard for you to understand this, Nigrodha, since you have a different view, creed, and belief, unless you dedicate yourself to practice with the guidance of tradition.
Iṅgha tvaṁ maṁ, nigrodha, sake ācariyake adhijegucche pañhaṁ puccha: ||| Please ask me a question about the higher disgust of sin in your own tradition:
‘kathaṁ santā nu kho, bhante, tapojigucchā paripuṇṇā hoti, kathaṁ aparipuṇṇā’”ti? ||| ‘How are the conditions for the fervent mortification in disgust of sin completed, and how are they incomplete?’”
Evaṁ vutte, te paribbājakā unnādino uccāsaddamahāsaddā ahesuṁ: ||| When he said this, those wanderers made an uproar,
“acchariyaṁ vata bho, abbhutaṁ vata bho, samaṇassa gotamassa mahiddhikatā mahānubhāvatā, yatra hi nāma sakavādaṁ ṭhapessati, paravādena pavāressatī”ti. ||| “Oh lord, how incredible, how amazing! The ascetic Gotama has such power and might! For he sets aside his own doctrine and invites discussion on the doctrine of others!”
Atha kho nigrodho paribbājako te paribbājake appasadde katvā bhagavantaṁ etadavoca: ||| Then Nigrodha, having quieted those wanderers, said to the Buddha,
“mayaṁ kho, bhante, tapojigucchāvādā tapojigucchāsārā tapojigucchāallīnā viharāma. ||| “Sir, we teach fervent mortification in disgust of sin, regarding it as essential and sticking to it.
Kathaṁ santā nu kho, bhante, tapojigucchā paripuṇṇā hoti, kathaṁ aparipuṇṇā”ti? ||| How are the conditions for the fervent mortification in disgust of sin completed, and how are they incomplete?”
“Idha, nigrodha, tapassī acelako hoti muttācāro, hatthāpalekhano, naehibhaddantiko, natiṭṭhabhaddantiko, nābhihaṭaṁ, na uddissakataṁ, na nimantanaṁ sādiyati, ||| “Nigrodha, it’s when a mortifier goes naked, ignoring conventions. They lick their hands, and don’t come or wait when called. They don’t consent to food brought to them, or food prepared on their behalf, or an invitation for a meal.
so na kumbhimukhā paṭiggaṇhāti, na kaḷopimukhā paṭiggaṇhāti, na eḷakamantaraṁ, na daṇḍamantaraṁ, na musalamantaraṁ, na dvinnaṁ bhuñjamānānaṁ, na gabbhiniyā, na pāyamānāya, na purisantaragatāya, na saṅkittīsu, na yattha sā upaṭṭhito hoti, na yattha makkhikā saṇḍasaṇḍacārinī, na macchaṁ, na maṁsaṁ, na suraṁ, na merayaṁ, na thusodakaṁ pivati, ||| They don’t receive anything from a pot or bowl; or from someone who keeps sheep, or who has a weapon or a shovel in their home; or where a couple is eating; or where there is a woman who is pregnant, breast-feeding, or who lives with a man; or where there’s a hound waiting or flies buzzing. They accept no fish or meat or beer or wine, and drink no fermented gruel.
so ekāgāriko vā hoti ekālopiko, dvāgāriko vā hoti dvālopiko, sattāgāriko vā hoti sattālopiko, ekissāpi dattiyā yāpeti, dvīhipi dattīhi yāpeti, sattahipi dattīhi yāpeti; ||| They go to just one house for alms, taking just one mouthful, or two houses and two mouthfuls, up to seven houses and seven mouthfuls. They feed on one saucer a day, two saucers a day, up to seven saucers a day.
ekāhikampi āhāraṁ āhāreti, dvīhikampi āhāraṁ āhāreti, sattāhikampi āhāraṁ āhāreti, iti evarūpaṁ addhamāsikampi pariyāyabhattabhojanānuyogamanuyutto viharati. ||| They eat once a day, once every second day, up to once a week, and so on, even up to once a fortnight. They live committed to the practice of eating food at set intervals.
So sākabhakkho vā hoti, sāmākabhakkho vā hoti, nīvārabhakkho vā hoti, daddulabhakkho vā hoti, haṭabhakkho vā hoti, kaṇabhakkho vā hoti, ācāmabhakkho vā hoti, piññākabhakkho vā hoti, tiṇabhakkho vā hoti, gomayabhakkho vā hoti; vanamūlaphalāhāro yāpeti pavattaphalabhojī. ||| They eat herbs, millet, wild rice, poor rice, water lettuce, rice bran, scum from boiling rice, sesame flour, grass, or cow dung. They survive on forest roots and fruits, or eating fallen fruit.
So sāṇānipi dhāreti, masāṇānipi dhāreti, chavadussānipi dhāreti, paṁsukūlānipi dhāreti, tirīṭānipi dhāreti, ajinampi dhāreti, ajinakkhipampi dhāreti, kusacīrampi dhāreti, vākacīrampi dhāreti, phalakacīrampi dhāreti, kesakambalampi dhāreti, vāḷakambalampi dhāreti, ulūkapakkhampi dhāreti, ||| They wear robes of sunn hemp, mixed hemp, corpse-wrapping cloth, rags, lodh tree bark, antelope hide (whole or in strips), kusa grass, bark, wood-chips, human hair, horse-tail hair, or owls’ wings.
kesamassulocakopi hoti kesamassulocanānuyogamanuyutto, ||| They tear out their hair and beard, committed to this practice.
ubbhaṭṭhakopi hoti āsanapaṭikkhitto, ||| They constantly stand, turning down seats.
ukkuṭikopi hoti ukkuṭikappadhānamanuyutto, ||| They squat, committed to the endeavor of squatting.
kaṇṭakāpassayikopi hoti kaṇṭakāpassaye seyyaṁ kappeti, ||| They lie on a mat of thorns, making a mat of thorns their bed.
phalakaseyyampi kappeti, thaṇḍilaseyyampi kappeti, ||| They make their bed on a plank, or the bare ground.
ekapassayikopi hoti ||| They lie only on one side.
rajojalladharo, ||| They wear dust and dirt.
abbhokāsikopi hoti ||| They stay in the open air.
yathāsanthatiko, ||| They sleep wherever they lay their mat.
vekaṭikopi hoti vikaṭabhojanānuyogamanuyutto, ||| They eat unnatural things, committed to the practice of eating unnatural foods.
apānakopi hoti apānakattamanuyutto, ||| They don’t drink, committed to the practice of not drinking liquids.
sāyatatiyakampi udakorohanānuyogamanuyutto viharati. ||| They’re devoted to ritual bathing three times a day, including at dusk.
Taṁ kiṁ maññasi, nigrodha, ||| What do you think, Nigrodha?
yadi evaṁ sante tapojigucchā paripuṇṇā vā hoti aparipuṇṇā vā”ti? ||| If this is so, is the fervent mortification in disgust of sin complete, or incomplete?”
“Addhā kho, bhante, evaṁ sante tapojigucchā paripuṇṇā hoti, no aparipuṇṇā”ti. ||| “Clearly, sir, if that is so the fervent mortification in disgust of sin is complete, not incomplete.”
“Evaṁ paripuṇṇāyapi kho ahaṁ, nigrodha, tapojigucchāya anekavihite upakkilese vadāmī”ti. ||| “But even such a completed mortification has many defects, I say.”
2.1. Upakkilesa ||| 2.1. Defects
“Yathā kathaṁ pana, bhante, bhagavā evaṁ paripuṇṇāya tapojigucchāya anekavihite upakkilese vadatī”ti? ||| “But how does the Buddha say that even such a completed mortification has many defects?”
“Idha, nigrodha, tapassī tapaṁ samādiyati, so tena tapasā attamano hoti paripuṇṇasaṅkappo. ||| “Firstly, a mortifier undertakes a practice of mortification. They’re happy with that, as they’ve got all they wished for.
Yampi, nigrodha, tapassī tapaṁ samādiyati, so tena tapasā attamano hoti paripuṇṇasaṅkappo.
Ayampi kho, nigrodha, tapassino upakkileso hoti. ||| This is a defect in that mortifier.
Puna caparaṁ, nigrodha, tapassī tapaṁ samādiyati, so tena tapasā attānukkaṁseti paraṁ vambheti. ||| Furthermore, a mortifier undertakes a practice of mortification. They glorify themselves and put others down on account of that.
Yampi, nigrodha, tapassī tapaṁ samādiyati, so tena tapasā attānukkaṁseti paraṁ vambheti.
Ayampi kho, nigrodha, tapassino upakkileso hoti. ||| This too is a defect in that mortifier.
Puna caparaṁ, nigrodha, tapassī tapaṁ samādiyati, so tena tapasā majjati mucchati pamādamāpajjati. ||| Furthermore, a mortifier undertakes a practice of mortification. They become indulgent and infatuated and fall into negligence on account of that.
Yampi, nigrodha, tapassī tapaṁ samādiyati, so tena tapasā majjati mucchati pamādamāpajjati.
Ayampi kho, nigrodha, tapassino upakkileso hoti. ||| This too is a defect in that mortifier.
Puna caparaṁ, nigrodha, tapassī tapaṁ samādiyati, so tena tapasā lābhasakkārasilokaṁ abhinibbatteti, so tena lābhasakkārasilokena attamano hoti paripuṇṇasaṅkappo. ||| Furthermore, a mortifier undertakes a practice of mortification. They generate possessions, honor, and popularity through that mortification. They’re happy with that, as they’ve got all they wished for.
Yampi, nigrodha, tapassī tapaṁ samādiyati, so tena tapasā lābhasakkārasilokaṁ abhinibbatteti, so tena lābhasakkārasilokena attamano hoti paripuṇṇasaṅkappo.
Ayampi kho, nigrodha, tapassino upakkileso hoti. ||| This too is a defect in that mortifier.
Puna caparaṁ, nigrodha, tapassī tapaṁ samādiyati, so tena tapasā lābhasakkārasilokaṁ abhinibbatteti, so tena lābhasakkārasilokena attānukkaṁseti paraṁ vambheti. ||| Furthermore, a mortifier undertakes a practice of mortification. They generate possessions, honor, and popularity through that mortification. They glorify themselves and put others down on account of that.
Yampi, nigrodha, tapassī tapaṁ samādiyati, so tena tapasā lābhasakkārasilokaṁ abhinibbatteti, so tena lābhasakkārasilokena attānukkaṁseti paraṁ vambheti.
Ayampi kho, nigrodha, tapassino upakkileso hoti. ||| This too is a defect in that mortifier.
Puna caparaṁ, nigrodha, tapassī tapaṁ samādiyati, so tena tapasā lābhasakkārasilokaṁ abhinibbatteti, so tena lābhasakkārasilokena majjati mucchati pamādamāpajjati. ||| Furthermore, a mortifier undertakes a practice of mortification. They generate possessions, honor, and popularity through that mortification. They become indulgent and infatuated and fall into negligence on account of that.
Yampi, nigrodha, tapassī tapaṁ samādiyati, so tena tapasā lābhasakkārasilokaṁ abhinibbatteti, so tena lābhasakkārasilokena majjati mucchati pamādamāpajjati.
Ayampi kho, nigrodha, tapassino upakkileso hoti. ||| This too is a defect in that mortifier.
Puna caparaṁ, nigrodha, tapassī bhojanesu vodāsaṁ āpajjati: ||| Furthermore, a mortifier becomes fussy about food, saying,
‘idaṁ me khamati, idaṁ me nakkhamatī’ti. ||| ‘This is acceptable to me, this is not acceptable to me.’
So yañca khvassa nakkhamati, taṁ sāpekkho pajahati. ||| What is not acceptable they give up in expectation.
Yaṁ panassa khamati, taṁ gadhito mucchito ajjhāpanno anādīnavadassāvī anissaraṇapañño paribhuñjati …pe… ||| But what is acceptable they eat tied, infatuated, attached, blind to the drawbacks, and not understanding the escape.
ayampi kho, nigrodha, tapassino upakkileso hoti. ||| This too is a defect in that mortifier.
Puna caparaṁ, nigrodha, tapassī tapaṁ samādiyati lābhasakkārasilokanikantihetu: ||| Furthermore, a mortifier undertakes a practice of mortification out of longing for possessions, honor, and popularity, thinking,
‘sakkarissanti maṁ rājāno rājamahāmattā khattiyā brāhmaṇā gahapatikā titthiyā’ti …pe… ||| ‘Kings, royal ministers, aristocrats, brahmins, householders, and sectarians will honor me!’
ayampi kho, nigrodha, tapassino upakkileso hoti. ||| This too is a defect in that mortifier.
Puna caparaṁ, nigrodha, tapassī aññataraṁ samaṇaṁ vā brāhmaṇaṁ vā apasādetā hoti: ||| Furthermore, a mortifier rebukes a certain ascetic or brahmin,
‘kiṁ panāyaṁ sambahulājīvo sabbaṁ sambhakkheti. ||| ‘What is it with this one living in abundance, devouring everything—
Seyyathidaṁ—mūlabījaṁ khandhabījaṁ phaḷubījaṁ aggabījaṁ bījabījameva pañcamaṁ, asanivicakkaṁ dantakūṭaṁ, samaṇappavādenā’ti …pe… ||| plants propagated from roots, trunks, cuttings, or joints; and those from regular seeds as the fifth. According to this ascetic’s doctrine, the crown of the tooth is forked lightning!’
ayampi kho, nigrodha, tapassino upakkileso hoti. ||| This too is a defect in that mortifier.
Puna caparaṁ, nigrodha, tapassī passati aññataraṁ samaṇaṁ vā brāhmaṇaṁ vā kulesu sakkariyamānaṁ garukariyamānaṁ māniyamānaṁ pūjiyamānaṁ. ||| Furthermore, a mortifier sees a certain ascetic or brahmin being honored, respected, esteemed, and venerated among good families.
Disvā tassa evaṁ hoti: ||| They think,
‘imañhi nāma sambahulājīvaṁ kulesu sakkaronti garuṁ karonti mānenti pūjenti. ||| ‘This one, who lives in abundance, is honored, respected, esteemed, and venerated among good families.
Maṁ pana tapassiṁ lūkhājīviṁ kulesu na sakkaronti na garuṁ karonti na mānenti na pūjentī’ti, iti so issāmacchariyaṁ kulesu uppādetā hoti …pe… ||| But I, a fervent mortifier who lives rough, am not honored, respected, esteemed, and venerated among good families.’ Thus they give rise to jealousy and stinginess regarding families.
ayampi kho, nigrodha, tapassino upakkileso hoti. ||| This too is a defect in that mortifier.
Puna caparaṁ, nigrodha, tapassī āpāthakanisādī hoti …pe… ||| Furthermore, a mortifier sits meditation only when people can see them.
ayampi kho, nigrodha, tapassino upakkileso hoti. ||| This too is a defect in that mortifier.
Puna caparaṁ, nigrodha, tapassī attānaṁ adassayamāno kulesu carati: ||| Furthermore, a mortifier sneaks about among families, thinking,
‘idampi me tapasmiṁ idampi me tapasmin’ti …pe… ||| ‘This is part of my mortification; this is part of my mortification.’
ayampi kho, nigrodha, tapassino upakkileso hoti. ||| This too is a defect in that mortifier.
Puna caparaṁ, nigrodha, tapassī kiñcideva paṭicchannaṁ sevati. ||| Furthermore, a mortifier sometimes behaves in an underhand manner.
So ‘khamati te idan’ti puṭṭho samāno akkhamamānaṁ āha: ‘khamatī’ti. ||| When asked whether something is acceptable to them, they say it is, even though it isn’t.
Khamamānaṁ āha: ‘nakkhamatī’ti. ||| Or they say it isn’t, even though it is.
Iti so sampajānamusā bhāsitā hoti …pe… ||| Thus they tell a deliberate lie.
ayampi kho, nigrodha, tapassino upakkileso hoti. ||| This too is a defect in that mortifier.
Puna caparaṁ, nigrodha, tapassī tathāgatassa vā tathāgatasāvakassa vā dhammaṁ desentassa santaṁyeva pariyāyaṁ anuññeyyaṁ nānujānāti …pe… ||| Furthermore, a mortifier disagrees with the way that the Realized One or their disciple teaches Dhamma, even when they make a valid point.
ayampi kho, nigrodha, tapassino upakkileso hoti. ||| This too is a defect in that mortifier.
Puna caparaṁ, nigrodha, tapassī kodhano hoti upanāhī. ||| Furthermore, a mortifier is irritable and acrimonious …
Yampi, nigrodha, tapassī kodhano hoti upanāhī.
Ayampi kho, nigrodha, tapassino upakkileso hoti.
Puna caparaṁ, nigrodha, tapassī makkhī hoti paḷāsī …pe… ||| offensive and contemptuous …
issukī hoti maccharī … ||| jealous and stingy …
saṭho hoti māyāvī … ||| devious and deceitful …
thaddho hoti atimānī … ||| obstinate and arrogant …
pāpiccho hoti pāpikānaṁ icchānaṁ vasaṁ gato … ||| they have corrupt wishes, falling under the sway of corrupt wishes …
micchādiṭṭhiko hoti antaggāhikāya diṭṭhiyā samannāgato … ||| they have wrong view, being attached to an extremist view …
sandiṭṭhiparāmāsī hoti ādhānaggāhī duppaṭinissaggī. ||| they’re attached to their own views, holding them tight, and refusing to let go.
Yampi, nigrodha, tapassī sandiṭṭhiparāmāsī hoti ādhānaggāhī duppaṭinissaggī.
Ayampi kho, nigrodha, tapassino upakkileso hoti. ||| This too is a defect in that mortifier.
Taṁ kiṁ maññasi, nigrodha, ||| What do you think, Nigrodha?
yadime tapojigucchā upakkilesā vā anupakkilesā vā”ti? ||| Are such mortifications defective or not?”
“Addhā kho ime, bhante, tapojigucchā upakkilesā, no anupakkilesā. ||| “Clearly, sir, they’re defective.
Ṭhānaṁ kho panetaṁ, bhante, vijjati yaṁ idhekacco tapassī sabbeheva imehi upakkilesehi samannāgato assa; ||| It’s possible that a mortifier might have all of these defects,
ko pana vādo aññataraññatarenā”ti. ||| let alone one or other of them.”
2.2. Parisuddhapapaṭikappattakathā ||| 2.2. On Reaching the Shoots
“Idha, nigrodha, tapassī tapaṁ samādiyati, so tena tapasā na attamano hoti na paripuṇṇasaṅkappo. ||| “Firstly, Nigrodha, a mortifier undertakes a practice of mortification. But they’re not happy with that, as they still haven’t got all they wished for.
Yampi, nigrodha, tapassī tapaṁ samādiyati, so tena tapasā na attamano hoti na paripuṇṇasaṅkappo.
Evaṁ so tasmiṁ ṭhāne parisuddho hoti. ||| So they’re pure on that point.
Puna caparaṁ, nigrodha, tapassī tapaṁ samādiyati, so tena tapasā na attānukkaṁseti na paraṁ vambheti …pe… ||| Furthermore, a mortifier undertakes a practice of mortification. They don’t glorify themselves or put others down on account of that.
evaṁ so tasmiṁ ṭhāne parisuddho hoti. ||| So they’re pure on that point.
Puna caparaṁ, nigrodha, tapassī tapaṁ samādiyati, so tena tapasā na majjati na mucchati na pamādamāpajjati …pe… ||| They don’t become indulgent …
evaṁ so tasmiṁ ṭhāne parisuddho hoti.
Puna caparaṁ, nigrodha, tapassī tapaṁ samādiyati, so tena tapasā lābhasakkārasilokaṁ abhinibbatteti, so tena lābhasakkārasilokena na attamano hoti na paripuṇṇasaṅkappo …pe… ||| Furthermore, a mortifier undertakes a practice of mortification. They generate possessions, honor, and popularity through that mortification. They’re not happy with that, as they still haven’t got all they wished for …
evaṁ so tasmiṁ ṭhāne parisuddho hoti.
Puna caparaṁ, nigrodha, tapassī tapaṁ samādiyati, so tena tapasā lābhasakkārasilokaṁ abhinibbatteti, so tena lābhasakkārasilokena na attānukkaṁseti na paraṁ vambheti …pe… ||| They don’t glorify themselves and put others down on account of possessions, honor, and popularity …
evaṁ so tasmiṁ ṭhāne parisuddho hoti.
Puna caparaṁ, nigrodha, tapassī tapaṁ samādiyati, so tena tapasā lābhasakkārasilokaṁ abhinibbatteti, so tena lābhasakkārasilokena na majjati na mucchati na pamādamāpajjati …pe… ||| They don’t become indulgent because of it …
evaṁ so tasmiṁ ṭhāne parisuddho hoti. ||| So they’re pure on that point.
Puna caparaṁ, nigrodha, tapassī bhojanesu na vodāsaṁ āpajjati: ||| Furthermore, a mortifier doesn’t become fussy about food, saying,
‘idaṁ me khamati, idaṁ me nakkhamatī’ti. ||| ‘This is acceptable to me, this is not acceptable to me.’
So yañca khvassa nakkhamati, taṁ anapekkho pajahati. ||| What is not acceptable they give up without concern.
