Dīgha Nikāya 5 ||| Long Discourses 5
“kiṁ nu kho, bho khatte, khāṇumatakā brāhmaṇagahapatikā khāṇumatā nikkhamitvā saṅghasaṅghī gaṇībhūtā yena ambalaṭṭhikā tenupasaṅkamantī”ti? ||| “My butler, why are the brahmins and householders headed for Ambalaṭṭhikā?”
“Atthi kho, bho, samaṇo gotamo sakyaputto sakyakulā pabbajito magadhesu cārikaṁ caramāno mahatā bhikkhusaṅghena saddhiṁ pañcamattehi bhikkhusatehi khāṇumataṁ anuppatto, khāṇumate viharati ambalaṭṭhikāyaṁ. ||| “The ascetic Gotama has arrived at Khāṇumata and is staying at Ambalaṭṭhikā.
Taṁ kho pana bhavantaṁ gotamaṁ evaṁ kalyāṇo kittisaddo abbhuggato: ||| He has this good reputation:
‘itipi so bhagavā arahaṁ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṁ buddho bhagavā’ti. ||| ‘That Blessed One is perfected, a fully awakened Buddha, accomplished in knowledge and conduct, holy, knower of the world, supreme guide for those fit for training, teacher of gods and humans, awakened, blessed.’
Tamete bhavantaṁ gotamaṁ dassanāya upasaṅkamantī”ti. ||| They’re going to see that worthy Gotama.”
Atha kho kūṭadantassa brāhmaṇassa etadahosi: ||| Then Kūṭadanta thought,
“sutaṁ kho pana metaṁ: ||| “I’ve heard that
‘samaṇo gotamo tividhaṁ yaññasampadaṁ soḷasaparikkhāraṁ jānātī’ti. ||| the ascetic Gotama knows how to accomplish the sacrifice with three modes and sixteen accessories.
Na kho panāhaṁ jānāmi tividhaṁ yaññasampadaṁ soḷasaparikkhāraṁ. ||| I don’t know about that,
Icchāmi cāhaṁ mahāyaññaṁ yajituṁ. ||| but I wish to perform a great sacrifice.
Yannūnāhaṁ samaṇaṁ gotamaṁ upasaṅkamitvā tividhaṁ yaññasampadaṁ soḷasaparikkhāraṁ puccheyyan”ti. ||| Why don’t I ask him how to accomplish the sacrifice with three modes and sixteen accessories?”
Atha kho kūṭadanto brāhmaṇo khattaṁ āmantesi: ||| Then Kūṭadanta addressed his butler,
“tena hi, bho khatte, yena khāṇumatakā brāhmaṇagahapatikā tenupasaṅkama. upasaṅkamitvā khāṇumatake brāhmaṇagahapatike evaṁ vadehi: ||| “Well then, go to the brahmins and householders and say to them:
‘kūṭadanto, bho, brāhmaṇo evamāha— ||| ‘Sirs, the brahmin Kūṭadanta asks
āgamentu kira bhavanto, kūṭadantopi brāhmaṇo samaṇaṁ gotamaṁ dassanāya upasaṅkamissatī’”ti. ||| you to wait, as he will also go to see the ascetic Gotama.’”
“Evaṁ, bho”ti kho so khattā kūṭadantassa brāhmaṇassa paṭissutvā yena khāṇumatakā brāhmaṇagahapatikā tenupasaṅkami. upasaṅkamitvā khāṇumatake brāhmaṇagahapatike etadavoca: ||| “Yes, worthy sir,” replied the butler, and did as he was asked.
“kūṭadanto, bho, brāhmaṇo evamāha:
‘āgamentu kira bhonto, kūṭadantopi brāhmaṇo samaṇaṁ gotamaṁ dassanāya upasaṅkamissatī’”ti.
2. Kūṭadantaguṇakathā ||| 2. The Qualities of Kūṭadanta
Tena kho pana samayena anekāni brāhmaṇasatāni khāṇumate paṭivasanti: ||| Now at that time several hundred brahmins were residing in Khāṇumata
“kūṭadantassa brāhmaṇassa mahāyaññaṁ anubhavissāmā”ti. ||| thinking to participate in Kūṭadanta’s sacrifice.
Assosuṁ kho te brāhmaṇā: ||| They heard that
“kūṭadanto kira brāhmaṇo samaṇaṁ gotamaṁ dassanāya upasaṅkamissatī”ti. ||| Kūṭadanta was going to see the ascetic Gotama.
Atha kho te brāhmaṇā yena kūṭadanto brāhmaṇo tenupasaṅkamiṁsu. upasaṅkamitvā kūṭadantaṁ brāhmaṇaṁ etadavocuṁ: ||| They approached Kūṭadanta and said to him:
“saccaṁ kira bhavaṁ kūṭadanto samaṇaṁ gotamaṁ dassanāya upasaṅkamissatī”ti? ||| “Is it really true that you are going to see the ascetic Gotama?”
“Evaṁ kho me, bho, hoti: ||| “Yes, gentlemen, it is true.”
‘ahampi samaṇaṁ gotamaṁ dassanāya upasaṅkamissāmī’”ti.
“Mā bhavaṁ kūṭadanto samaṇaṁ gotamaṁ dassanāya upasaṅkami. ||| “Please don’t!
Na arahati bhavaṁ kūṭadanto samaṇaṁ gotamaṁ dassanāya upasaṅkamituṁ. ||| It’s not appropriate for you to go to see the ascetic Gotama.
Sace bhavaṁ kūṭadanto samaṇaṁ gotamaṁ dassanāya upasaṅkamissati, bhoto kūṭadantassa yaso hāyissati, samaṇassa gotamassa yaso abhivaḍḍhissati. ||| For if you do so, your reputation will diminish and his will increase.
Yampi bhoto kūṭadantassa yaso hāyissati, samaṇassa gotamassa yaso abhivaḍḍhissati, imināpaṅgena na arahati bhavaṁ kūṭadanto samaṇaṁ gotamaṁ dassanāya upasaṅkamituṁ. ||| For this reason it’s not appropriate for you to go to see the ascetic Gotama;
Samaṇo tveva gotamo arahati bhavantaṁ kūṭadantaṁ dassanāya upasaṅkamituṁ. ||| it’s appropriate that he comes to see you.
Bhavañhi kūṭadanto ubhato sujāto mātito ca pitito ca saṁsuddhagahaṇiko yāva sattamā pitāmahayugā akkhitto anupakkuṭṭho jātivādena. ||| You are well born on both your mother’s and father’s side, of pure descent, with irrefutable and impeccable genealogy back to the seventh paternal generation.
Yampi bhavaṁ kūṭadanto ubhato sujāto mātito ca pitito ca saṁsuddhagahaṇiko yāva sattamā pitāmahayugā akkhitto anupakkuṭṭho jātivādena, imināpaṅgena na arahati bhavaṁ kūṭadanto samaṇaṁ gotamaṁ dassanāya upasaṅkamituṁ. ||| For this reason it’s not appropriate for you to go to see the ascetic Gotama;
Samaṇo tveva gotamo arahati bhavantaṁ kūṭadantaṁ dassanāya upasaṅkamituṁ. ||| it’s appropriate that he comes to see you.
Bhavañhi kūṭadanto aḍḍho mahaddhano mahābhogo pahūtavittūpakaraṇo pahūtajātarūparajato …pe… ||| You’re rich, affluent, and wealthy, with lots of property and assets, and lots of money and grain …
Bhavañhi kūṭadanto ajjhāyako mantadharo tiṇṇaṁ vedānaṁ pāragū sanighaṇḍukeṭubhānaṁ sākkharappabhedānaṁ itihāsapañcamānaṁ padako veyyākaraṇo lokāyatamahāpurisalakkhaṇesu anavayo …pe… ||| You recite and remember the hymns, and have mastered the three Vedas, together with their vocabularies and ritual performance, their phonology and word classification, and the testaments as fifth. You know them word-by-word, and their grammar. You are well versed in cosmology and the marks of a great man. …
Bhavañhi kūṭadanto abhirūpo dassanīyo pāsādiko paramāya vaṇṇapokkharatāya samannāgato brahmavaṇṇī brahmavacchasī akhuddāvakāso dassanāya …pe… ||| You are attractive, good-looking, lovely, of surpassing beauty. You have divine looks and lustre, remarkable to behold. …
Bhavañhi kūṭadanto sīlavā vuddhasīlī vuddhasīlena samannāgato …pe… ||| You are ethical, mature in ethical conduct. …
Bhavañhi kūṭadanto kalyāṇavāco kalyāṇavākkaraṇo poriyā vācāya samannāgato vissaṭṭhāya anelagalāya atthassa viññāpaniyā …pe… ||| You’re a good speaker who enunciates well, with a polished, clear, and articulate voice that expresses the meaning. …
Bhavañhi kūṭadanto bahūnaṁ ācariyapācariyo tīṇi māṇavakasatāni mante vāceti, bahū kho pana nānādisā nānājanapadā māṇavakā āgacchanti bhoto kūṭadantassa santike mantatthikā mante adhiyitukāmā …pe… ||| You teach the tutors of many, and teach three hundred young students to recite the hymns. Many students come from various districts and countries for the sake of the hymns, wishing to learn the hymns. …
Bhavañhi kūṭadanto jiṇṇo vuddho mahallako addhagato vayoanuppatto. ||| You’re old, elderly and senior, advanced in years, and have reached the final stage of life.
Samaṇo gotamo taruṇo ceva taruṇapabbajito ca …pe… ||| The ascetic Gotama is young, and has newly gone forth. …
Bhavañhi kūṭadanto rañño māgadhassa seniyassa bimbisārassa sakkato garukato mānito pūjito apacito …pe… ||| You’re honored, respected, revered, venerated, and esteemed by King Bimbisāra of Magadha …
Bhavañhi kūṭadanto brāhmaṇassa pokkharasātissa sakkato garukato mānito pūjito apacito …pe… ||| and the brahmin Pokkharasāti. …
Bhavañhi kūṭadanto khāṇumataṁ ajjhāvasati sattussadaṁ satiṇakaṭṭhodakaṁ sadhaññaṁ rājabhoggaṁ raññā māgadhena seniyena bimbisārena dinnaṁ rājadāyaṁ brahmadeyyaṁ. ||| You live in Khāṇumata, a crown property given by King Seniya Bimbisāra of Magadha, teeming with living creatures, full of hay, wood, water, and grain, a royal park endowed to a brahmin.
Yampi bhavaṁ kūṭadanto khāṇumataṁ ajjhāvasati sattussadaṁ satiṇakaṭṭhodakaṁ sadhaññaṁ rājabhoggaṁ, raññā māgadhena seniyena bimbisārena dinnaṁ rājadāyaṁ brahmadeyyaṁ, imināpaṅgena na arahati bhavaṁ kūṭadanto samaṇaṁ gotamaṁ dassanāya upasaṅkamituṁ. ||| For this reason it’s not appropriate for you to go to see the ascetic Gotama;
Samaṇo tveva gotamo arahati bhavantaṁ kūṭadantaṁ dassanāya upasaṅkamitun”ti. ||| it’s appropriate that he comes to see you.”
3. Buddhaguṇakathā ||| 3. The Qualities of the Buddha
Evaṁ vutte, kūṭadanto brāhmaṇo te brāhmaṇe etadavoca: ||| When they had spoken, Kūṭadanta said to those brahmins:
“Tena hi, bho, mamapi suṇātha, yathā mayameva arahāma taṁ bhavantaṁ gotamaṁ dassanāya upasaṅkamituṁ, ||| “Well then, gentlemen, listen to why it’s appropriate for me to go to see the ascetic Gotama,
na tveva arahati so bhavaṁ gotamo amhākaṁ dassanāya upasaṅkamituṁ. ||| and it’s not appropriate for him to come to see me.
Samaṇo khalu, bho, gotamo ubhato sujāto mātito ca pitito ca saṁsuddhagahaṇiko yāva sattamā pitāmahayugā akkhitto anupakkuṭṭho jātivādena. ||| He is well born on both his mother’s and father’s side, of pure descent, with irrefutable and impeccable genealogy back to the seventh paternal generation.
Yampi, bho, samaṇo gotamo ubhato sujāto mātito ca pitito ca saṁsuddhagahaṇiko yāva sattamā pitāmahayugā akkhitto anupakkuṭṭho jātivādena, imināpaṅgena na arahati so bhavaṁ gotamo amhākaṁ dassanāya upasaṅkamituṁ. ||| For this reason it’s not appropriate for the ascetic Gotama to come to see me;
Atha kho mayameva arahāma taṁ bhavantaṁ gotamaṁ dassanāya upasaṅkamituṁ. ||| rather, it’s appropriate for me to go to see him.
Samaṇo khalu, bho, gotamo mahantaṁ ñātisaṅghaṁ ohāya pabbajito …pe… ||| When he went forth he abandoned a large family circle. …
Samaṇo khalu, bho, gotamo pahūtaṁ hiraññasuvaṇṇaṁ ohāya pabbajito bhūmigatañca vehāsaṭṭhaṁ ca …pe… ||| When he went forth he abandoned abundant gold, both coined and uncoined, stored above and below ground. …
Samaṇo khalu, bho, gotamo daharova samāno yuvā susukāḷakeso bhadrena yobbanena samannāgato paṭhamena vayasā agārasmā anagāriyaṁ pabbajito …pe… ||| He went forth from the lay life to homelessness while still a youth, young, with pristine black hair, blessed with youth, in the prime of life. …
Samaṇo khalu, bho, gotamo akāmakānaṁ mātāpitūnaṁ assumukhānaṁ rudantānaṁ kesamassuṁ ohāretvā kāsāyāni vatthāni acchādetvā agārasmā anagāriyaṁ pabbajito …pe… ||| Though his mother and father wished otherwise, weeping with tearful faces, he shaved off his hair and beard, dressed in ocher robes, and went forth from the lay life to homelessness. …
Samaṇo khalu, bho, gotamo abhirūpo dassanīyo pāsādiko paramāya vaṇṇapokkharatāya samannāgato brahmavaṇṇī brahmavacchasī akhuddāvakāso dassanāya …pe… ||| He is attractive, good-looking, lovely, of surpassing beauty. He has divine looks and lustre, remarkable to behold. …
Samaṇo khalu, bho, gotamo sīlavā ariyasīlī kusalasīlī kusalasīlena samannāgato …pe… ||| He is ethical, possessing ethical conduct that is noble and skillful. …
Samaṇo khalu, bho, gotamo kalyāṇavāco kalyāṇavākkaraṇo poriyā vācāya samannāgato vissaṭṭhāya anelagalāya atthassa viññāpaniyā …pe… ||| He’s a good speaker who enunciates well, with a polished, clear, and articulate voice that expresses the meaning. …
Samaṇo khalu, bho, gotamo bahūnaṁ ācariyapācariyo …pe… ||| He’s a tutor of tutors. …
Samaṇo khalu, bho, gotamo khīṇakāmarāgo vigatacāpallo …pe… ||| He has ended sensual desire, and is rid of caprice. …
Samaṇo khalu, bho, gotamo kammavādī kiriyavādī apāpapurekkhāro brahmaññāya pajāya …pe… ||| He teaches the efficacy of deeds and action. He doesn’t wish any harm upon the community of brahmins. …
Samaṇo khalu, bho, gotamo uccā kulā pabbajito asambhinnakhattiyakulā …pe… ||| He went forth from an eminent family of unbroken aristocratic lineage. …
Samaṇo khalu, bho, gotamo aḍḍhā kulā pabbajito mahaddhanā mahābhogā …pe… ||| He went forth from a rich, affluent, and wealthy family. …
Samaṇaṁ khalu, bho, gotamaṁ tiroraṭṭhā tirojanapadā pañhaṁ pucchituṁ āgacchanti …pe… ||| People come from distant lands and distant countries to question him. …
Samaṇaṁ khalu, bho, gotamaṁ anekāni devatāsahassāni pāṇehi saraṇaṁ gatāni …pe… ||| Many thousands of deities have gone for refuge for life to him. …
Samaṇaṁ khalu, bho, gotamaṁ evaṁ kalyāṇo kittisaddo abbhuggato: ||| He has this good reputation:
‘itipi so bhagavā arahaṁ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṁ buddho bhagavā’ti …pe… ||| ‘That Blessed One is perfected, a fully awakened Buddha, accomplished in knowledge and conduct, holy, knower of the world, supreme guide for those fit for training, teacher of gods and humans, awakened, blessed.’ …
Samaṇo khalu, bho, gotamo dvattiṁsamahāpurisalakkhaṇehi samannāgato …pe… ||| He has the thirty-two marks of a great man. …
Samaṇo khalu, bho, gotamo ehisvāgatavādī sakhilo sammodako abbhākuṭiko uttānamukho pubbabhāsī …pe… ||| He is welcoming, congenial, polite, smiling, open, the first to speak. …
Samaṇo khalu, bho, gotamo catunnaṁ parisānaṁ sakkato garukato mānito pūjito apacito …pe… ||| He’s honored, respected, revered, venerated, and esteemed by the four assemblies. …
Samaṇe khalu, bho, gotame bahū devā ca manussā ca abhippasannā …pe… ||| Many gods and humans are devoted to him. …
Samaṇo khalu, bho, gotamo yasmiṁ gāme vā nigame vā paṭivasati na tasmiṁ gāme vā nigame vā amanussā manusse viheṭhenti …pe… ||| While he is residing in a village or town, non-human entities do not harass them. …
Samaṇo khalu, bho, gotamo saṅghī gaṇī gaṇācariyo puthutitthakarānaṁ aggamakkhāyati, yathā kho pana, bho, etesaṁ samaṇabrāhmaṇānaṁ yathā vā tathā vā yaso samudāgacchati, na hevaṁ samaṇassa gotamassa yaso samudāgato. ||| He leads an order and a community, and tutors a community, and is said to be the best of the various religious founders. He didn’t come by his fame in the same ways as those other ascetics and brahmins.
Atha kho anuttarāya vijjācaraṇasampadāya samaṇassa gotamassa yaso samudāgato …pe… ||| Rather, he came by his fame due to his supreme knowledge and conduct. …
Samaṇaṁ khalu, bho, gotamaṁ rājā māgadho seniyo bimbisāro saputto sabhariyo sapariso sāmacco pāṇehi saraṇaṁ gato …pe… ||| King Seniya Bimbisāra of Magadha and his wives and children have gone for refuge for life to the ascetic Gotama. …
Samaṇaṁ khalu, bho, gotamaṁ rājā pasenadi kosalo saputto sabhariyo sapariso sāmacco pāṇehi saraṇaṁ gato …pe… ||| King Pasenadi of Kosala and his wives and children have gone for refuge for life to the ascetic Gotama. …
Samaṇaṁ khalu, bho, gotamaṁ brāhmaṇo pokkharasāti saputto sabhariyo sapariso sāmacco pāṇehi saraṇaṁ gato …pe… ||| The brahmin Pokkharasāti and his wives and children have gone for refuge for life to the ascetic Gotama. …
Samaṇo khalu, bho, gotamo rañño māgadhassa seniyassa bimbisārassa sakkato garukato mānito pūjito apacito …pe… ||| He’s honored, respected, revered, venerated, and esteemed by King Bimbisāra of Magadha …
Samaṇo khalu, bho, gotamo rañño pasenadissa kosalassa sakkato garukato mānito pūjito apacito …pe… ||| King Pasenadi of Kosala …
Samaṇo khalu, bho, gotamo brāhmaṇassa pokkharasātissa sakkato garukato mānito pūjito apacito …pe… ||| and the brahmin Pokkharasāti.
Samaṇo khalu, bho, gotamo khāṇumataṁ anuppatto khāṇumate viharati ambalaṭṭhikāyaṁ. ||| The ascetic Gotama has arrived at Khāṇumata and is staying at Ambalaṭṭhikā.
Ye kho pana, bho, keci samaṇā vā brāhmaṇā vā amhākaṁ gāmakhettaṁ āgacchanti, atithī no te honti. ||| Any ascetic or brahmin who comes to stay in our village district is our guest,
Atithī kho panamhehi sakkātabbā garukātabbā mānetabbā pūjetabbā apacetabbā. ||| and should be honored and respected as such.
Yampi, bho, samaṇo gotamo khāṇumataṁ anuppatto khāṇumate viharati ambalaṭṭhikāyaṁ, atithimhākaṁ samaṇo gotamo.
Atithi kho panamhehi sakkātabbo garukātabbo mānetabbo pūjetabbo apacetabbo.
Imināpaṅgena nārahati so bhavaṁ gotamo amhākaṁ dassanāya upasaṅkamituṁ. ||| For this reason, too, it’s not appropriate for the worthy Gotama to come to see me,
Atha kho mayameva arahāma taṁ bhavantaṁ gotamaṁ dassanāya upasaṅkamituṁ. ||| rather, it’s appropriate for me to go to see him.
Ettake kho ahaṁ, bho, tassa bhoto gotamassa vaṇṇe pariyāpuṇāmi, no ca kho so bhavaṁ gotamo ettakavaṇṇo. ||| This is the extent of the worthy Gotama’s praise that I have memorized. But his praises are not confined to this,
Aparimāṇavaṇṇo hi so bhavaṁ gotamo”ti. ||| for the praise of the worthy Gotama is limitless.”
Evaṁ vutte, te brāhmaṇā kūṭadantaṁ brāhmaṇaṁ etadavocuṁ: ||| When he had spoken, those brahmins said to him,
“yathā kho bhavaṁ kūṭadanto samaṇassa gotamassa vaṇṇe bhāsati, ito cepi so bhavaṁ gotamo yojanasate viharati, alameva saddhena kulaputtena dassanāya upasaṅkamituṁ api puṭosenā”ti. ||| “According to Kūṭadanta’s praises, if the worthy Gotama were staying within a hundred leagues, it’d be worthwhile for a faithful gentleman to go to see him, even if he had to carry his own provisions in a knapsack.”
“Tena hi, bho, sabbeva mayaṁ samaṇaṁ gotamaṁ dassanāya upasaṅkamissāmā”ti. ||| “Well then, gentlemen, let’s all go to see the ascetic Gotama.”
4. Mahāvijitarājayaññakathā ||| 4. The Story of King Mahāvijita’s Sacrifice
Atha kho kūṭadanto brāhmaṇo mahatā brāhmaṇagaṇena saddhiṁ yena ambalaṭṭhikā yena bhagavā tenupasaṅkami, upasaṅkamitvā bhagavatā saddhiṁ sammodi. ||| Then Kūṭadanta together with a large group of brahmins went to see the Buddha and exchanged greetings with him.
Sammodanīyaṁ kathaṁ sāraṇīyaṁ vītisāretvā ekamantaṁ nisīdi. ||| When the greetings and polite conversation were over, he sat down to one side.
Khāṇumatakāpi kho brāhmaṇagahapatikā appekacce bhagavantaṁ abhivādetvā ekamantaṁ nisīdiṁsu; appekacce bhagavatā saddhiṁ sammodiṁsu, sammodanīyaṁ kathaṁ sāraṇīyaṁ vītisāretvā ekamantaṁ nisīdiṁsu; appekacce yena bhagavā tenañjaliṁ paṇāmetvā ekamantaṁ nisīdiṁsu; appekacce nāmagottaṁ sāvetvā ekamantaṁ nisīdiṁsu; appekacce tuṇhībhūtā ekamantaṁ nisīdiṁsu. ||| Before sitting down to one side, some of the brahmins and householders of Khāṇumata bowed, some exchanged greetings and polite conversation, some held up their cupped palms toward the Buddha, some announced their name and clan, while some kept silent.
Ekamantaṁ nisinno kho kūṭadanto brāhmaṇo bhagavantaṁ etadavoca: ||| Kūṭadanta said to the Buddha,
“sutaṁ metaṁ, bho gotama: ||| “Worthy Gotama, I’ve heard that
‘samaṇo gotamo tividhaṁ yaññasampadaṁ soḷasaparikkhāraṁ jānātī’ti. ||| you know how to accomplish the sacrifice with three modes and sixteen accessories.
Na kho panāhaṁ jānāmi tividhaṁ yaññasampadaṁ soḷasaparikkhāraṁ. ||| I don’t know about that,
Icchāmi cāhaṁ mahāyaññaṁ yajituṁ. ||| but I wish to perform a great sacrifice.
Sādhu me bhavaṁ gotamo tividhaṁ yaññasampadaṁ soḷasaparikkhāraṁ desetū”ti. ||| Please teach me how to accomplish the sacrifice with three modes and sixteen accessories.”
“Tena hi, brāhmaṇa, suṇāhi sādhukaṁ manasikarohi, bhāsissāmī”ti. ||| “Well then, brahmin, listen and apply your mind well, I will speak.”
“Evaṁ, bho”ti kho kūṭadanto brāhmaṇo bhagavato paccassosi. ||| “Yes, worthy sir,” Kūṭadanta replied.
Bhagavā etadavoca: ||| The Buddha said this:
“bhūtapubbaṁ, brāhmaṇa, rājā mahāvijito nāma ahosi aḍḍho mahaddhano mahābhogo pahūtajātarūparajato pahūtavittūpakaraṇo pahūtadhanadhañño paripuṇṇakosakoṭṭhāgāro. ||| “Once upon a time, brahmin, there was a king named Mahāvijita. He was rich, affluent, and wealthy, with lots of gold and silver, lots of property and assets, lots of money and grain, and a full treasury and storehouses.
Atha kho, brāhmaṇa, rañño mahāvijitassa rahogatassa paṭisallīnassa evaṁ cetaso parivitakko udapādi: ||| Then as King Mahāvijita was in private retreat this thought came to his mind:
‘adhigatā kho me vipulā mānusakā bhogā, mahantaṁ pathavimaṇḍalaṁ abhivijiya ajjhāvasāmi, yannūnāhaṁ mahāyaññaṁ yajeyyaṁ, yaṁ mama assa dīgharattaṁ hitāya sukhāyā’ti. ||| ‘I have achieved human wealth, and reign after conquering this vast territory. Why don’t I hold a large sacrifice? That will be for my lasting welfare and happiness.’
Atha kho, brāhmaṇa, rājā mahāvijito purohitaṁ brāhmaṇaṁ āmantetvā etadavoca: ||| Then he summoned the brahmin high priest and said to him:
‘idha mayhaṁ, brāhmaṇa, rahogatassa paṭisallīnassa evaṁ cetaso parivitakko udapādi: ||| ‘Just now, brahmin, as I was in private retreat this thought came to mind,
“adhigatā kho me vipulā mānusakā bhogā, mahantaṁ pathavimaṇḍalaṁ abhivijiya ajjhāvasāmi. Yannūnāhaṁ mahāyaññaṁ yajeyyaṁ yaṁ mama assa dīgharattaṁ hitāya sukhāyā”ti. ||| “I have achieved human wealth, and reign after conquering this vast territory. Why don’t I perform a great sacrifice? That will be for my lasting welfare and happiness.”
Icchāmahaṁ, brāhmaṇa, mahāyaññaṁ yajituṁ. ||| Brahmin, I wish to perform a great sacrifice.
Anusāsatu maṁ bhavaṁ yaṁ mama assa dīgharattaṁ hitāya sukhāyā’ti. ||| Please instruct me. It will be for my lasting welfare and happiness.’
Evaṁ vutte, brāhmaṇa, purohito brāhmaṇo rājānaṁ mahāvijitaṁ etadavoca: ||| When he had spoken, the brahmin high priest said to him:
‘bhoto kho rañño janapado sakaṇṭako sauppīḷo, gāmaghātāpi dissanti, nigamaghātāpi dissanti, nagaraghātāpi dissanti, panthaduhanāpi dissanti. ||| ‘Sir, the king’s realm is harried and oppressed. Raiding of villages, towns, and cities has been seen, and infesting of highways.
Bhavaṁ kho pana rājā evaṁ sakaṇṭake janapade sauppīḷe balimuddhareyya, akiccakārī assa tena bhavaṁ rājā. ||| But if the king were to extract more taxes while his realm is thus harried and oppressed, he would not be doing his duty.
Siyā kho pana bhoto rañño evamassa: ||| Now the king might think,
“ahametaṁ dassukhīlaṁ vadhena vā bandhena vā jāniyā vā garahāya vā pabbājanāya vā samūhanissāmī”ti, na kho panetassa dassukhīlassa evaṁ sammā samugghāto hoti. ||| “I’ll eradicate this plague of savages by execution or imprisonment or confiscation or condemnation or banishment!” But that’s not the right way to eradicate this plague of savages.
Ye te hatāvasesakā bhavissanti, te pacchā rañño janapadaṁ viheṭhessanti. ||| Those who remain after the killing will return to harass the king’s realm.
Api ca kho idaṁ saṁvidhānaṁ āgamma evametassa dassukhīlassa sammā samugghāto hoti. ||| Rather, here is a plan, relying on which the plague of savages will be properly uprooted.
