catalog_order,canonical_code,work_slug,title,title_english,title_transliterated,genre,pitaka_division,section_key,section_label,section_title,fascicle_count,volume_ref,translator_slug,translator_name,translator_native_name,translator_role,notes
7,T0251,xinjing-xuanzang,般若波罗蜜多心经,Heart Sutra,Bore Boluomiduo Xinjing,prajna_sutra,sutra,prajna,般若部,般若部,1,T251,xuanzang,Xuanzang,玄奘,translator,"目录快照条目，当前 sample corpus 已含部分正文片段。"
8,T0262,miaofa-lianhua-jing,妙法莲华经,Lotus Sutra,Miaofa Lianhua Jing,mahayana_sutra,sutra,mahayana,大乘经部,大乘经部,7,T262,kumarajiva,Kumarajiva,鸠摩罗什,translator,"目录快照条目，大乘经典代表。"
9,T0278,huayan-jing-t278,大方广佛华严经,Avatamsaka Sutra,Huayan Jing,mahayana_sutra,sutra,mahayana,大乘经部,大乘经部,60,T278,buddhabhadra,Buddhabhadra,佛驮跋陀罗,translator,"目录快照条目，华严类六十卷译本。"
10,T0279,huayan-jing,大方广佛华严经,Avatamsaka Sutra,Huayan Jing,mahayana_sutra,sutra,mahayana,大乘经部,大乘经部,80,T279,shiksananda,Shiksananda,实叉难陀,translator,"目录快照条目，大乘广本经典代表。"
11,T0310,da-baoji-jing,大宝积经,Maharatnakuta Sutra,Dabaoji Jing,mahayana_sutra,sutra,mahayana,大乘经部,大乘经部,120,T310,bodhiruci,Bodhiruci,菩提流志,translator,"目录快照条目，大乘经集大型译本。"
11,T0366,amituo-jing,阿弥陀经,Amitabha Sutra,Amituo Jing,pure_land_sutra,sutra,pureland,净土部,净土部,1,T366,kumarajiva,Kumarajiva,鸠摩罗什,translator,"目录快照条目，净土类短经代表。"
12,T0374,da-ban-niepan-jing,大般涅槃经,Mahaparinirvana Sutra,Da Ban Niepan Jing,mahayana_sutra,sutra,mahayana,大乘经部,大乘经部,40,T374,dharmaksema,Dharmaksema,昙无谶,translator,"目录快照条目，佛性与涅槃思想大型经典代表。"
13,T0397,da-fangdeng-daji-jing,大方等大集经,Mahasamnipata Sutra,Da Fangdeng Daji Jing,mahayana_sutra,sutra,mahayana,大乘经部,大乘经部,60,T397,,,,,"目录快照条目，大乘经部大型集经。"
14,T0721,zhengfa-nianchu-jing,正法念处经,Sutra of Right Mindfulness,Zhengfa Nianchu Jing,mahayana_sutra,sutra,mahayana,大乘经部,大乘经部,70,T721,,,,,"目录快照条目，大型长卷经集，适合作为经部结构化导入样本。"
14,T1425,mohe-sengqi-lu,摩诃僧祇律,Mahasamghika Vinaya,Mohe Sengqi Lu,vinaya,vinaya,broad,广律部,广律部,40,T1425,,,,,"目录快照条目，律藏广律代表。"
15,T1428,sifen-lu,四分律,Dharmaguptaka Vinaya,Sifen Lu,vinaya,vinaya,broad,广律部,广律部,60,T1428,,,,,"目录快照条目，律藏核心条目之一。"
16,T1435,shisong-lu,十诵律,Sarvastivada Vinaya,Shisong Lu,vinaya,vinaya,broad,广律部,广律部,61,T1435,,,,,"目录快照条目，律藏广律代表。"
17,T1484,fanwang-jing-pusa-jieben,梵网经菩萨戒本,Brahma Net Bodhisattva Precepts,Fanwang Jing Pusa Jieben,precepts_text,vinaya,precepts,菩萨戒部,菩萨戒部,2,T1484,,,,,"目录快照条目，菩萨戒类文本。"
18,T1509,dazhidu-lun,大智度论,Mahaprajnaparamita Sastra,Dazhidu Lun,treatise,abhidharma,prajna,般若论部,般若论部,100,T1509,kumarajiva,Kumarajiva,鸠摩罗什,translator,"目录快照条目，般若论书代表。"
19,T1564,zhong-lun,中论,Mulamadhyamaka Karika,Zhong Lun,treatise,abhidharma,madhyamaka,中观部,中观部,4,T1564,kumarajiva,Kumarajiva,鸠摩罗什,translator,"目录快照条目，中观论书代表。"
20,T1568,shiermen-lun,十二门论,Twelve Gate Treatise,Shiermen Lun,treatise,abhidharma,madhyamaka,中观部,中观部,1,T1568,kumarajiva,Kumarajiva,鸠摩罗什,translator,"目录快照条目，中观论书代表。"
21,T1569,bai-lun,百论,Hundred Treatise,Bai Lun,treatise,abhidharma,madhyamaka,中观部,中观部,2,T1569,kumarajiva,Kumarajiva,鸠摩罗什,translator,"目录快照条目，中观论书代表。"
22,T1585,cheng-weishi-lun,成唯识论,Cheng Weishi Lun,Cheng Weishi Lun,treatise,abhidharma,yogacara,唯识部,唯识部,10,T1585,xuanzang,Xuanzang,玄奘,translator,"目录快照条目，唯识论书代表。"
14,T0190,fobenxingji-jing,佛本行集经,Buddhacarita Collection,Fobenxingji Jing,mahayana_sutra,sutra,benyuan,本缘部,本缘部,60,T190,,,,,"目录快照条目，本缘部长卷经典代表。"
15,T0375,da-ban-niepan-jing-t375,大般涅槃经,Mahaparinirvana Sutra,Da Ban Niepan Jing,mahayana_sutra,sutra,nirvana,涅槃部,涅槃部,36,T375,,,,,"目录快照条目，涅槃部核心长卷译本。"
