catalog_order,canonical_code,work_slug,title,title_english,title_transliterated,genre,pitaka_division,section_key,section_label,section_title,fascicle_count,volume_ref,translator_slug,translator_name,translator_native_name,translator_role,notes
7,T0251,xinjing-xuanzang,般若波罗蜜多心经,Heart Sutra,Bore Boluomiduo Xinjing,prajna_sutra,sutra,prajna,般若部,般若部,1,T251,xuanzang,Xuanzang,玄奘,translator,目录快照条目，当前 sample corpus 已含部分正文片段。
8,T0262,miaofa-lianhua-jing,妙法莲华经,Lotus Sutra,Miaofa Lianhua Jing,mahayana_sutra,sutra,mahayana,大乘经部,大乘经部,7,T262,kumarajiva,Kumarajiva,鸠摩罗什,translator,目录快照条目，大乘经典代表。
9,T0278,huayan-jing-t278,大方广佛华严经,Avatamsaka Sutra,Huayan Jing,mahayana_sutra,sutra,mahayana,大乘经部,大乘经部,60,T278,buddhabhadra,Buddhabhadra,佛驮跋陀罗,translator,目录快照条目，华严类六十卷译本。
10,T0279,huayan-jing,大方广佛华严经,Avatamsaka Sutra,Huayan Jing,mahayana_sutra,sutra,mahayana,大乘经部,大乘经部,80,T279,shiksananda,Shiksananda,实叉难陀,translator,目录快照条目，大乘广本经典代表。
11,T0310,da-baoji-jing,大宝积经,Maharatnakuta Sutra,Dabaoji Jing,mahayana_sutra,sutra,mahayana,大乘经部,大乘经部,120,T310,bodhiruci,Bodhiruci,菩提流志,translator,目录快照条目，大乘经集大型译本。
11,T0366,amituo-jing,阿弥陀经,Amitabha Sutra,Amituo Jing,pure_land_sutra,sutra,pureland,净土部,净土部,1,T366,kumarajiva,Kumarajiva,鸠摩罗什,translator,目录快照条目，净土类短经代表。
12,T0374,da-ban-niepan-jing,大般涅槃经,Mahaparinirvana Sutra,Da Ban Niepan Jing,mahayana_sutra,sutra,mahayana,大乘经部,大乘经部,40,T374,dharmaksema,Dharmaksema,昙无谶,translator,目录快照条目，佛性与涅槃思想大型经典代表。
13,T0397,da-fangdeng-daji-jing,大方等大集经,Mahasamnipata Sutra,Da Fangdeng Daji Jing,mahayana_sutra,sutra,mahayana,大乘经部,大乘经部,60,T397,,,,,目录快照条目，大乘经部大型集经。
14,T0721,zhengfa-nianchu-jing,正法念处经,Sutra of Right Mindfulness,Zhengfa Nianchu Jing,mahayana_sutra,sutra,mahayana,大乘经部,大乘经部,70,T721,,,,,目录快照条目，大型长卷经集，适合作为经部结构化导入样本。
14,T1425,mohe-sengqi-lu,摩诃僧祇律,Mahasamghika Vinaya,Mohe Sengqi Lu,vinaya,vinaya,broad,广律部,广律部,40,T1425,,,,,目录快照条目，律藏广律代表。
15,T1428,sifen-lu,四分律,Dharmaguptaka Vinaya,Sifen Lu,vinaya,vinaya,broad,广律部,广律部,60,T1428,,,,,目录快照条目，律藏核心条目之一。
16,T1435,shisong-lu,十诵律,Sarvastivada Vinaya,Shisong Lu,vinaya,vinaya,broad,广律部,广律部,61,T1435,,,,,目录快照条目，律藏广律代表。
17,T1484,fanwang-jing-pusa-jieben,梵网经菩萨戒本,Brahma Net Bodhisattva Precepts,Fanwang Jing Pusa Jieben,precepts_text,vinaya,precepts,菩萨戒部,菩萨戒部,2,T1484,,,,,目录快照条目，菩萨戒类文本。
18,T1509,dazhidu-lun,大智度论,Mahaprajnaparamita Sastra,Dazhidu Lun,treatise,abhidharma,prajna,般若论部,般若论部,100,T1509,kumarajiva,Kumarajiva,鸠摩罗什,translator,目录快照条目，般若论书代表。
19,T1564,zhong-lun,中论,Mulamadhyamaka Karika,Zhong Lun,treatise,abhidharma,madhyamaka,中观部,中观部,4,T1564,kumarajiva,Kumarajiva,鸠摩罗什,translator,目录快照条目，中观论书代表。
20,T1568,shiermen-lun,十二门论,Twelve Gate Treatise,Shiermen Lun,treatise,abhidharma,madhyamaka,中观部,中观部,1,T1568,kumarajiva,Kumarajiva,鸠摩罗什,translator,目录快照条目，中观论书代表。
21,T1569,bai-lun,百论,Hundred Treatise,Bai Lun,treatise,abhidharma,madhyamaka,中观部,中观部,2,T1569,kumarajiva,Kumarajiva,鸠摩罗什,translator,目录快照条目，中观论书代表。
22,T1585,cheng-weishi-lun,成唯识论,Cheng Weishi Lun,Cheng Weishi Lun,treatise,abhidharma,yogacara,唯识部,唯识部,10,T1585,xuanzang,Xuanzang,玄奘,translator,目录快照条目，唯识论书代表。
14,T0190,fobenxingji-jing,佛本行集经,Buddhacarita Collection,Fobenxingji Jing,mahayana_sutra,sutra,benyuan,本缘部,本缘部,60,T190,,,,,目录快照条目，本缘部长卷经典代表。
15,T0375,da-ban-niepan-jing-t375,大般涅槃经,Mahaparinirvana Sutra,Da Ban Niepan Jing,mahayana_sutra,sutra,nirvana,涅槃部,涅槃部,36,T375,,,,,目录快照条目，涅槃部核心长卷译本。
1001,T0002,t0002,七佛經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 法天譯。
1002,T0003,t0003,毘婆尸佛經,,,sutra,sutra,agamas,阿含部,阿含部,2,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 法天譯。
1003,T0004,t0004,七佛父母姓字經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1004,T0005,t0005,佛般泥洹經,,,sutra,sutra,agamas,阿含部,阿含部,2,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 白法祖譯。
1005,T0006,t0006,般泥洹經,,,sutra,sutra,agamas,阿含部,阿含部,2,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1006,T0007,t0007,大般涅槃經,,,sutra,sutra,agamas,阿含部,阿含部,3,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：東晉 法顯譯。
1007,T0008,t0008,大堅固婆羅門緣起經,,,sutra,sutra,agamas,阿含部,阿含部,2,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 施護等譯。
1008,T0009,t0009,人仙經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 法賢譯。
1009,T0010,t0010,白衣金幢二婆羅門緣起經,,,sutra,sutra,agamas,阿含部,阿含部,3,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 施護等譯。
1010,T0011,t0011,尼拘陀梵志經,,,sutra,sutra,agamas,阿含部,阿含部,2,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 施護等譯。
1011,T0012,t0012,大集法門經,,,sutra,sutra,agamas,阿含部,阿含部,2,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 施護譯。
1012,T0013,t0013,長阿含十報法經,,,sutra,sutra,agamas,阿含部,阿含部,2,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：後漢 安世高譯。
1013,T0014,t0014,人本欲生經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：後漢 安世高譯。
1014,T0015,t0015,帝釋所問經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 法賢譯。
1015,T0016,t0016,尸迦羅越六方禮經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：後漢 安世高譯。
1016,T0017,t0017,善生子經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 支法度譯。
1017,T0018,t0018,信佛功德經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 法賢譯。
1018,T0019,t0019,大三摩惹經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 法天譯。
1019,T0020,t0020,佛開解梵志阿颰經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：吳 支謙譯。
1020,T0021,t0021,梵網六十二見經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：吳 支謙譯。
1021,T0022,t0022,寂志果經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：東晉 竺曇無蘭譯。
1022,T0023,t0023,大樓炭經,,,sutra,sutra,agamas,阿含部,阿含部,6,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 法立共法炬譯。
1023,T0024,t0024,起世經,,,sutra,sutra,agamas,阿含部,阿含部,10,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：隋 闍那崛多等譯。
1024,T0025,t0025,起世因本經,,,sutra,sutra,agamas,阿含部,阿含部,10,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：隋 達摩笈多譯。
1025,T0027,t0027,七知經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：吳 支謙譯。
1026,T0028,t0028,園生樹經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 施護譯。
1027,T0029,t0029,鹹水喻經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1028,T0030,t0030,薩鉢多酥哩踰捺野經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 法賢譯。
1029,T0031,t0031,一切流攝守因經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：後漢 安世高譯。
1030,T0032,t0032,四諦經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：後漢 安世高譯。
1031,T0033,t0033,恒水經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 法炬譯。
1032,T0034,t0034,法海經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 法炬譯。
1033,T0035,t0035,海八德經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：後秦 鳩摩羅什譯。
1034,T0036,t0036,本相猗致經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：後漢 安世高譯。
1035,T0037,t0037,緣本致經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1036,T0038,t0038,輪王七寶經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 施護譯。
1037,T0039,t0039,頂生王故事經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 法炬譯。
1038,T0040,t0040,文陀竭王經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：北涼 曇無讖譯。
1039,T0041,t0041,頻婆娑羅王經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 法賢譯。
1040,T0042,t0042,鐵城泥犁經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：東晉 竺曇無蘭譯。
1041,T0043,t0043,閻羅王五天使者經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：劉宋 慧簡譯。
1042,T0044,t0044,古來世時經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1043,T0045,t0045,大正句王經,,,sutra,sutra,agamas,阿含部,阿含部,2,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 法賢譯。
1044,T0046,t0046,阿那律八念經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：後漢 支曜譯。
1045,T0047,t0047,離睡經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1046,T0048,t0048,是法非法經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：後漢 安世高譯。
1047,T0049,t0049,求欲經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 法炬譯。
1048,T0050,t0050,受歲經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1049,T0051,t0051,梵志計水淨經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1050,T0052,t0052,大生義經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 施護譯。
1051,T0053,t0053,苦陰經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1052,T0054,t0054,釋摩男本四子經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：吳 支謙譯。
1053,T0055,t0055,苦陰因事經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 法炬譯。
1054,T0056,t0056,樂想經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1055,T0057,t0057,漏分布經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：後漢 安世高譯。
1056,T0058,t0058,阿耨風經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：東晉 竺曇無蘭譯。
1057,T0059,t0059,諸法本經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：吳 支謙譯。
1058,T0060,t0060,瞿曇彌記果經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：劉宋 慧簡譯。
1059,T0061,t0061,受新歲經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1060,T0062,t0062,新歲經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：東晉 竺曇無蘭譯。
1061,T0063,t0063,解夏經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 法賢譯。
1062,T0064,t0064,瞻婆比丘經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 法炬譯。
1063,T0065,t0065,伏婬經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 法炬譯。
1064,T0066,t0066,魔嬈亂經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1065,T0067,t0067,弊魔試目連經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：吳 支謙譯。
1066,T0068,t0068,賴吒和羅經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：吳 支謙譯。
1067,T0069,t0069,護國經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 法賢譯。
1068,T0070,t0070,數經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 法炬譯。
1069,T0071,t0071,梵志頞波羅延問種尊經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：東晉 竺曇無蘭譯。
1070,T0072,t0072,三歸五戒慈心厭離功德經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1071,T0073,t0073,須達經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：蕭齊 求那毘地譯。
1072,T0074,t0074,長者施報經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 法天譯。
1073,T0075,t0075,佛為黃竹園老婆羅門說學經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1074,T0076,t0076,梵摩渝經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：吳 支謙譯。
1075,T0077,t0077,尊上經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1076,T0078,t0078,兜調經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1077,T0079,t0079,鸚鵡經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：劉宋 求那跋陀羅譯。
1078,T0080,t0080,佛為首迦長者說業報差別經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：隋 瞿曇法智譯。
1079,T0081,t0081,分別善惡報應經,,,sutra,sutra,agamas,阿含部,阿含部,2,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 天息災譯。
1080,T0082,t0082,意經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1081,T0083,t0083,應法經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1082,T0084,t0084,分別布施經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 施護譯。
1083,T0085,t0085,息諍因緣經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 施護譯。
1084,T0086,t0086,泥犁經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：東晉 竺曇無蘭譯。
1085,T0087,t0087,齋經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：吳 支謙譯。
1086,T0088,t0088,優陂夷墮舍迦經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1087,T0089,t0089,八關齋經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：劉宋 沮渠京聲譯。
1088,T0090,t0090,鞞摩肅經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：劉宋 求那跋陀羅譯。
1089,T0091,t0091,婆羅門子命終愛念不離經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：後漢 安世高譯。
1090,T0092,t0092,十支居士八城人經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：後漢 安世高譯。
1091,T0093,t0093,邪見經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1092,T0094,t0094,箭喻經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1093,T0095,t0095,蟻喻經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 施護譯。
1094,T0096,t0096,治意經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1095,T0097,t0097,廣義法門經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：陳 真諦譯。
1096,T0098,t0098,普法義經,,,sutra,sutra,agamas,阿含部,阿含部,1,T01,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：後漢 安世高譯。
1097,T0100,t0100,別譯雜阿含經,,,sutra,sutra,agamas,阿含部,阿含部,16,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1098,T0101,t0101,雜阿含經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1099,T0102,t0102,佛說五蘊皆空經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：唐 義淨譯。
1100,T0103,t0103,佛說聖法印經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1101,T0104,t0104,佛說法印經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 施護譯。
1102,T0105,t0105,五陰譬喻經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：後漢 安世高譯。
1103,T0106,t0106,佛說水沫所漂經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：東晉 竺曇無蘭譯。
1104,T0107,t0107,佛說不自守意經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：吳 支謙譯。
1105,T0108,t0108,佛說滿願子經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1106,T0109,t0109,佛說轉法輪經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：後漢 安世高譯。
1107,T0110,t0110,佛說三轉法輪經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：唐 義淨譯。
1108,T0111,t0111,佛說相應相可經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 法炬譯。
1109,T0112,t0112,佛說八正道經,,,sutra,sutra,agamas,阿含部,阿含部,1,T02,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：後漢 安世高譯。
