འཕགས་པ་རིན་ཆེན་ཟླ་བས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of Ratna­candra
གནོད་སྦྱིན་གྱི་སྡེ་དཔོན་ཆེན་པོ་འབྲོག་གནས་དང་། ཁབ་སྤུ་ཅན་དང་། རྩི་སྨན་དང་། བོང་བུ་དང་། དེ་དག་ལ་སོགས་པ་གནོད་སྦྱིན་གྱི་སྡེ་དཔོན་འབུམ་ཕྲག་དུ་མ་དང་ཐབས་ཅིག་ཏུ་བཞུགས་སོ། ། ||| Along with them were millions of yakṣa generals, such as Āṭavaka, Sucīromā, Oṣadhi, and Gardabhaka.
དེ་ནས་བཅོམ་ལྡན་འདས་སྔ་དྲོའི་དུས་ཀྱི་ཚེ། ཤམ་ཐབས་དང་ཆོས་གོས་གསོལ་ཏེ། ལྷུང་བཟེད་བསྣམས་ནས་རྒྱལ་པོའི་ཁབ་ཀྱི་གྲོང་ཁྱེར་ཆེན་པོར་བསོད་སྙོམས་ལ་གཤེགས་སོ། ། ||| One morning the Blessed One put on his lower garments and monk’s robes, took his alms bowl, and left for his alms round in Rājagṛha.
དེའི་ཚེ་རྒྱལ་པོ་གཟུགས་ཅན་སྙིང་པོའི་སྲས་ཁྱེའུ་རིན་ཆེན་ཟླ་བ་ཞེས་བྱ་བ་གླང་པོ་ཆེའི་ལག་བརྒྱད་པ་ཞེས་བྱ་བ་ ||| At the same time Prince Ratna­candra, son of King Bimbisāra, left the city of Rājagṛha riding an elephant known as Eight-Trunked.
རིན་པོ་ཆེ་སྣ་བདུན་གྱིས་བརྒྱན་ཅིང་གསེར་གྱི་དྲ་བས་གཡོགས་པ། ||| It was adorned with seven kinds of precious materials and covered with golden latticework.
དྲིལ་བུ་གཡེར་ཁ་དཔྱངས་པ། གསེར་གྱིས་སྤྲས་པའི་དར་གྱི་ལྡ་ལྡི་མང་པོས་མཛེས་པར་བྱས་པ། ||| Small bells were tied onto the elephant, which was further ornamented with tassels of golden brocade.
བདུག་པས་བདུགས་པ། མེ་ཏོག་སིལ་མས་གཏོར་བ། རྒྱལ་མཚན་དང་བ་དན་བསྒྲེང་བ། ||| As the prince emerged incense was burned, flower petals were scattered, and banners and flags were unfurled.
གདུགས་དང་ར་བས་བརྒྱན་པ། རིན་པོ་ཆེའི་ཤིང་ལྗོན་པས་མཛེས་པར་བྱས་པ། སྟེགས་བུ་བདུན་གྱིས་ཁོ་ར་ཁོར་ཡུག་དག་བསྐོར་བ་ལ་ཞོན་ནས་ ||| After riding through the city, which was decorated with parasols and fences, beautified with precious trees, and encircled by seven pavilions,
རྒྱལ་པོའི་འབྱོར་པ་ཆེན་པོ་དང་། རྒྱལ་པོའི་མཐུ་ཆེན་པོ་དང་ལྡན་པས་རྒྱལ་པོའི་ཁབ་ཀྱི་གྲོང་ཁྱེར་ཆེན་པོ་ནས་བྱུང་སྟེ ||| he rode out of the capital displaying both royal wealth and power.
སེམས་ཅན་ཐམས་ཅད་ལ་སྦྱིན་པ་དག་སྦྱིན་ཞིང་སོང་བ་ལས་གཞོན་ནུ་རིན་ཆེན་ཟླ་བས་ཐག་རིང་པོ་ཞིག་ནས་བཅོམ་ལྡན་འདས་ ||| As Prince Ratna­candra was handing out alms to everyone present, he noticed the Blessed One walking in the distance.
མཛེས་པ། དད་པར་བྱ་བ། དབང་པོ་དུལ་བ། ཐུགས་དུལ་བ། ||| He was handsome and gracious, with peaceful faculties and mind.
ཁ་དོག་བཟང་པོ་རྒྱས་པ་མཆོག་དང་ལྡན་པ། ||| He had the most exquisite color.
དུལ་བ་དང་ཞི་བའི་མཆོག །དུལ་བ་དང་ཞི་བ་དམ་པའི་ཕ་རོལ་ཏུ་ཕྱིན་པ། ||| He was perfectly gentle and peaceful, the perfection of a gentle and peaceful being.
གཙོ་བོ་ཆེན་པོ། དབང་པོ་བསྲུངས་པ། དབང་པོ་ཐུལ་བ། ||| He had a great presence and was restrained and calm.
མཚོ་ལྟར་དང་ཞིང་གསལ་ལ་རྙོག་པ་མེད་པ། ||| Like a lake, he was clear and pristine.
སྐྱེས་བུ་ཆེན་པོའི་མཚན་སུམ་ཅུ་རྩ་གཉིས་མངའ་བ། དཔེ་བྱད་བཟང་པོ་བརྒྱད་ཅུས་བརྒྱན་པའི་སྐུ་གསེར་གྱི་མཆོད་སྡོང་ལྟར་ ||| Like a golden reliquary, his noble body was adorned with the thirty-two major marks and the eighty minor marks of a great being.
འཕགས་ལ་དཔལ་གྱི་མཆོག་གིས་ལམ་མེ། ལྷན་ནེ། ལྷང་ངེ་སྟེ་གཤེགས་པ་མཐོང་ངོ་། ། ||| Due to his supreme splendor, he was shining, bright, and resplendent.
མཐོང་ནས་ཀྱང་སེམས་དད་པར་གྱུར་ཏོ། ། ||| Upon seeing the Blessed One, Ratna­candra was moved to faith.
སེམས་དད་པར་གྱུར་ནས་གླང་པོ་ཆེའི་སྟེང་ནས་སྐྱེན་པར་བབས་ཏེ། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས། ||| Filled with faith, he immediately alighted from the elephant and approached the Blessed One.
བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་ཕྱག་འཚལ་ཏེ། བཅོམ་ལྡན་འདས་ལ་ལན་གསུམ་བསྐོར་བ་བྱས་ནས་ཕྱོགས་གཅིག་ཏུ་འདུག་གོ། །བཅོམ་ལྡན་འདས་ལ་ཞེ་ས་དང་བཅས། ||| Prostrating at the feet of the Blessed One, he circumambulated him three times and sat to one side with deference and respect.
གུས་པ་དང་བཅས་པས་ཕྱོགས་གཅིག་ཏུ་འདུག་ནས་རྒྱལ་པོ་གཟུགས་ཅན་སྙིང་པོའི་སྲས་ཁྱེའུ་རིན་ཆེན་ཟླ་བས་བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་དེ། བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| Ratna­candra, son of King Bimbisāra, folded his palms together and bowed toward the Blessed One and spoke to him,
བཅོམ་ལྡན་འདས་རིགས་ཀྱི་བུའམ། རིགས་ཀྱི་བུ་མོ་དད་པ་ཅན་གང་དག་གིས་ཕྱོགས་བཅུའི་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་བཅུ་པོ་དག་གི་མཚན་ཐོས་པ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་པར་འགྱུར་བ་ ||| “O Blessed One, it is said that a faithful noble son or daughter who has heard the names of the ten thus-gone, worthy, perfect buddhas who dwell in the ten directions will not fall back from the unsurpassed and perfect state of awakening.
དེ་ལྟ་བུ་བཅོམ་ལྡན་འདས་ཀྱིས་བཤད་དུ་གསོལ། ||| Blessed One, please speak of this.
བདེ་བར་གཤེགས་པས་བཤད་དུ་གསོལ། ||| Thus-Gone One, please tell us about this.”
དེ་སྐད་ཅེས་གསོལ་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་རྒྱལ་པོ་གཟུགས་ཅན་སྙིང་པོའི་སྲས་ཁྱེའུ་རིན་ཆེན་ཟླ་བ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| In response, the Blessed One said to Ratna­candra, son of King Bimbisāra,
གཞོན་ནུ་ལེགས་སོ་ལེགས་སོ། ། ||| “Prince, well done! Well done indeed.
གཞོན་ནུ་ཁྱོད་འདི་ལྟར་སྐྱེ་བོ་མང་པོ་ལ་ཕན་པ་དང་། སྐྱེ་བོ་མང་པོ་ལ་བདེ་བའི་ཕྱིར་དང་། ||| Prince, you ask this in order to benefit many beings and bring them happiness.
འཇིག་རྟེན་ལ་སྙིང་བརྩེ་བ་དང་། སྐྱེ་བོའི་ཚོགས་ཕལ་པོ་ཆེའི་དོན་དང་། ལྷ་དང་མི་རྣམས་ལ་ཕན་པ་དང་། བདེ་བའི་ཕྱིར་ཞུགས་པ་དང་། ད་ལྟར་དང་། མ་འོངས་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཡོངས་སུ་གཟུང་བའི་ཕྱིར་ཞུགས་ཏེ ||| You do so out of love for the world and for the welfare of many beings, to benefit and bring happiness to gods and humans alike, and to assist the bodhisattvas of the present and the future.
གཞོན་ནུ་ཁྱོད་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ལ་དོན་འདི་ཞུ་བར་སེམས་པ་ལེགས་སོ། ། ||| Prince, it is excellent you thought to ask the thus-gone, worthy, perfect Buddha about this point.
གཞོན་ནུ་ཁྱོད་ཀྱི་ཞུ་བ་བཟང་སྟེ་སྤོབས་པ་དགེའོ། ། ||| Prince, your request is excellent, and it is virtuous that you were moved to articulate it.
དེའི་ཕྱིར་གཞོན་ནུ་ཁྱོད་ལེགས་པར་རབ་ཏུ་ཉོན་ལ་ཡིད་ལ་ཟུང་ཤིག་དང་བཤད་དོ། ། ||| Therefore, Prince, listen carefully and keep this teaching in mind.
སེམས་རྩེ་གཅིག་ཏུ་རྣ་བ་བླགས་ཏེ་སེམས་སྡུས་ལ་སོམས་ཤིག་དང་། དོན་དེ་ངས་ཁྱོད་ལ་བཤད་དོ། ། ||| Listen to me with one-pointed concentration and reflect on what I say as I explain this teaching to you.”
དེ་ནས་རྒྱལ་པོ་གཟུགས་ཅན་སྙིང་པོའི་སྲས་ཁྱེའུ་རིན་ཆེན་ཟླ་བས་བཅོམ་ལྡན་འདས་ལ་ལེགས་སོ་ཞེས་གསོལ་ནས་ ||| Ratna­candra, son of King Bimbisāra, replied to the Blessed One, “Excellent!”
བཅོམ་ལྡན་འདས་ཀྱི་ལྟར་ཉན་པ་དང་། ||| And he listened as the Blessed One had directed.
བཅོམ་ལྡན་འདས་ཀྱིས་དེ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| The Blessed One then said,
གཞོན་ནུ་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ནས་ཤར་ཕྱོགས་སུ་སངས་རྒྱས་ཀྱི་ཞིང་བྱེ་བ་ཁྲག་ཁྲིག་འབུམ་ཕྲག་དཔག་ཏུ་མེད་གྲངས་མེད་བསམ་གྱིས་མི་ཁྱབ་གཞལ་དུ་མེད་པ་སྙེད་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་མྱ་ངན་མེད་པ་ཞེས་བྱ་བ་ཞིག་ཡོད་དོ། ། ||| “Prince, east of this buddha realm, past countless, inconceivably many, limitless billions of buddha realms, there is a realm called Sorrowless.
འཇིག་རྟེན་གྱི་ཁམས་མྱ་ངན་མེད་པ་ཞེས་བྱ་བ་དེ་སངས་རྒྱས་ཀྱི་ཞིང་དཔག་ཏུ་མེད་པ་ཇི་སྙེད་ཅིག་འདས་པ་ན་ཡོད་ཅེ་ན། ||| You may wonder how many boundless buddha realms one must pass through to reach that realm.
གཞོན་ནུ་དཔེར་ན་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་འདི་སྲིད་པའི་རྩེ་མོའི་བར་དུ་བྱེ་མས་ཡོངས་སུ་གང་བར་གྱུར་ལ། ||| Well, Prince, suppose the entire trichiliocosm was completely filled with sand, all the way to its summits.
དེ་ནས་མི་ལ་ལ་ཞིག་གིས་བྱེ་མ་དེའི་ས་འབྲུ་རེ་རེ་ནས་བླངས་ཤིང་ཤར་ཕྱོགས་ཀྱི་སངས་རྒྱས་ཀྱི་ཞིང་རེ་རེར་བྱེ་མ་འབྲུ་རེ་འཇོག་པར་བྱེད་པ་དེ་ལྟ་བུའི་ཚུལ་གྱིས་བྱེ་མ་དེ་ཐམས་ཅད་ཤར་ཕྱོགས་སུ་ཡོངས་སུ་ཟད་ཅིང་ཡོངས་སུ་གཏུགས་པར་གྱུར་ཀྱང་། སངས་རྒྱས་ཀྱི་ཞིང་དེ་དག་གི་ཚད་དམ་མཐའ་རྟོགས་པར་མི་ནུས་པའི་ ||| If a person were to remove the sand, grain by grain, and place one grain of sand in each buddha realm toward the east until every single grain of sand was placed in a buddha realm in that direction, one would still not have reached the extent and limit of those buddha realms.
སངས་རྒྱས་ཀྱི་ཞིང་བྱེ་བ་ཁྲག་ཁྲིག་འབུམ་ཕྲག་དཔག་ཏུ་མེད་གྲངས་མེད་པ་དེ་སྙེད་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་མྱ་ངན་མེད་པ་ཞེས་བྱ་བ་དེ་ཡོད་དེ ||| The realm called Sorrowless lies farther away than such boundless and countless billions of buddha realms.
འཇིག་རྟེན་གྱི་ཁམས་དེ་ཡང་ལག་མཐིལ་ལྟར་མཉམ་པར་གྱུར་པ། རིན་པོ་ཆེ་སྣ་བདུན་གྱིས་ལེགས་པར་བརྒྱན་པ། གསེར་གྱི་ས་གཞིར་འདུག་ཅིང་། ||| That realm is as flat as the palm of the hand, is beautifully decorated with seven kinds of precious substances, and has a ground made of gold.
མིག་མངས་རིས་སུ་བྲིས་པ། རིན་པོ་ཆེའི་ཤིང་ལྗོན་པས་བརྒྱན་པ། ||| It is laid out in a checkered pattern and ornamented with precious trees.
སེམས་ཅན་དམྱལ་བ་དང་། དུད་འགྲོའི་སྐྱེ་གནས་དང་། ཡི་དགས་དང་། ལྷ་མ་ཡིན་གྱི་ཚོགས་རྣམས་མེད་པ། ||| There are no hell beings, animals, hungry spirits, or asuras there,
རྩྭ་དང་། ཤིང་སྐམ་དང་། ཚེར་མ་དང་། རྡོ་དང་། གསེག་མ་དང་། གྱོ་མོ་དག་མེད་པ། ངམ་གྲོག་དང་གཡང་ས་མེད་པ། ||| and it is free of grass, dried sticks, thorns, stones, pebbles, gravel, ravines, and precipices.
མེ་ཏོག་སིལ་མ་དག་བཀྲམ་པ་ཡིན་ཏེ ||| Instead, the ground is covered in flower petals.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་རྫོགས་པའི་སངས་རྒྱས་དཔལ་བཟང་པོ་ཞེས་བྱ་བ་ད་ལྟར་བཞུགས་ཤིང་འཚོ་ལ་གཞེས་ཏེ། བྱང་ཆུབ་སེམས་དཔའི་ཚོགས་ཀྱིས་བསྐོར་ཅིང་། བྱང་ཆུབ་སེམས་དཔས་མདུན་གྱིས་བལྟས་པ། ||| “There the thus-gone, worthy, perfect buddha Bhadraśrī resides and lives surrounded by a gathering of bodhisattvas who venerate him.
རིག་པ་དང་ཞབས་སུ་ལྡན་པ། བདེ་བར་གཤེགས་པ། འཇིག་རྟེན་མཁྱེན་པ། སྐྱེས་བུ་གདུལ་བྱའི་ཁ་ལོ་སྒྱུར་བ། བླ་ན་མེད་པ། ལྷ་དང་མི་རྣམས་ཀྱི་སྟོན་པ། སངས་རྒྱས་བཅོམ་ལྡན་འདས་ ||| He is learned and venerable, a blissful one, a knower of the world, a steersman who guides beings, an unexcelled one, a teacher of gods and humans, a blessed buddha.
སྐྱེས་བུ་ཆེན་པོའི་མཚན་སུམ་ཅུ་རྩ་གཉིས་ཀྱིས་བརྒྱན་པའི་སྐུ། གསེར་ལེགས་པར་བཙོས་ཤིང་ལེགས་པར་དུལ་བ་ལྟ་བུ་རིན་པོ་ཆེའི་རྒྱན་ ||| His body, which is adorned with the thirty-two marks of a great being, is like purified and refined gold adorned with precious ornaments.
ལེགས་པར་བཀོད་པ་བཞིན་དུ་འཁོར་གྱི་ནང་ན་མཛེས་པར་བཞུགས་ཤིང་། ཐོག་མར་དགེ་བ། བར་དུ་དགེ་བ། ཐ་མར་དགེ་བའི་ཆོས་སྟོན་ཏོ། ། ||| Sitting beautifully amidst the gathering, he teaches a Dharma that is virtuous in the beginning, virtuous in the middle, and virtuous in the end.
འདི་སྐད་ཅེས་ཀྱང་སྟོན་ཏེ། ||| He teaches as follows:
འདི་ལྟར་སའི་ཁམས་ནི་མེད་པར་མི་འགྱུར་རོ། །དེ་བཞིན་དུ་ཆུའི་ཁམས་དང་། མེའི་ཁམས་དང་། རླུང་གི་ཁམས་དང་། ||| ‘In this way the earth element will not become nonexistent, nor will the water element, the fire element, or the wind element.
སྐྱེ་དགུའི་བདག་པོ་ཚངས་པ་དང་། གཟུགས་དང་། ཚོར་བ་དང་། འདུ་ཤེས་དང་། འདུ་བྱེད་དང་། རྣམ་པར་ཤེས་པ་མེད་པར་མི་འགྱུར་རོ་ཞེས་སྟོན་ཏོ། ། ||| Likewise, Brahmā who is the lord of beings will not become nonexistent, and the same applies to form, feeling, perception, formation, and consciousness.’
གཞོན་ནུ་གཞན་ཡང་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་དཔལ་བཟང་པོ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་ནས་ནི་བསྐལ་པ་བྱེ་བ་ཕྲག་དྲུག་ཅུ་ལོན་ནོ། ། ||| Prince, it has been six hundred million eons since the thus-gone, worthy, perfect buddha Bhadraśrī fully awakened to unsurpassed and perfect buddhahood.
གཞོན་ནུ་གཞན་ཡང་སངས་རྒྱས་ཀྱི་ཞིང་དེ་ན་ཉིན་མོ་དང་། མཚན་མོའི་མིང་ཡང་མེད་དེ། འཛམ་བུའི་གླིང་གི་རྩི་བའི་ཐབས་འདིས་དཔེར་བྱ་བ་ནི་མ་གཏོགས་སོ། ། ||| “Prince, in that buddha realm there are no words for day and night , and there is nothing analogous to that calculation of time used in our world.
སངས་རྒྱས་ཀྱི་ཞིང་དེ་ཐམས་ཅད་ཀྱང་རྟག་ཏུ་དེ་བཞིན་གཤེགས་པ་དེའི་འོད་ཀྱིས་སྣང་བར་འདུག་གོ། ། ||| The entire buddha realm is permanently illuminated with the light of the thus-gone one.
གཞོན་ནུ་གཞན་ཡང་དེ་བཞིན་གཤེགས་པ་དེས་ཆོས་བསྟན་པ་རེ་རེས་ཀྱང་སེམས་ཅན་བྱེ་བ་ཁྲག་ཁྲིག་ཕྲག་འབུམ་དཔག་ཏུ་མེད་པ་དག་མི་སྐྱེ་བའི་ཆོས་ལ་འགོད་པར་མཛད་དོ། ། ||| Moreover, Prince, every teaching given by the thus-gone one establishes countless billions of beings at the level of unborn phenomena.
བཟོད་པ་དང་པོ་དང་། བཟོད་པ་གཉིས་པ་དང་། བཟོད་པ་གསུམ་པ་ལ་ནི་དེའི་ཉིས་འགྱུར་འགོད་པར་མཛད་དོ། ། ||| He establishes twice as many beings in each of the three types of acceptance.
གཞོན་ནུ་གཞན་ཡང་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་དེའི་སྔོན་གྱི་སྨོན་ལམ་གྱི་སྟོབས་བསྐྱེད་པས་སངས་རྒྱས་ཀྱི་ཞིང་གཞན་དག་ན་གང་དག་སྔོན་གྱི་རྒྱལ་བ་རྣམས་ལ་ལྷག་པར་བྱ་བ་བྱས་ཤིང་དགེ་བའི་རྩ་བ་བསྐྱེད་པའི་སེམས་ཅན་དག་གི་ལུས་ལ་འོད་ཀྱིས་རེག་པ་དེ་དག་ཀྱང་མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་ཐོབ་བོ། ། ||| Furthermore, Prince, sentient beings who served past buddhas in other buddha realms and produced roots of virtue with them will attain acceptance that phenomena are unborn when touched by the light born from the power generated from the past aspirations of this thus-gone, worthy, perfect buddha.
གཞོན་ནུ་གཞན་ཡང་རིགས་ཀྱི་བུའམ། རིགས་ཀྱི་བུ་མོ་ཡང་རུང་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་དཔལ་བཟང་པོ་དེའི་མཚན་ཐོས་ན་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་པར་འགྱུར་རོ། ། ||| Prince, any noble son or daughter who hears the name of the thus-gone, worthy, perfect buddha Bhadraśrī will never turn back from unsurpassed and perfect awakening.
གཞོན་ནུ་འདི་ནས་ལྷོ་ཕྱོགས་སུ་སངས་རྒྱས་ཀྱི་ཞིང་བྱེ་བ་ཁྲག་ཁྲིག་འབུམ་ཕྲག་གྲངས་མེད་པ་སྔ་མ་ཇི་སྙེད་པ་དེ་སྙེད་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་དགའ་བ་ཞེས་བྱ་བ་ཞིག་ཡོད་དེ། ||| “Prince, south of here, past as many countless billions of buddha realms as mentioned before, there is a realm called Joy .
ལག་མཐིལ་ལྟར་མཉམ་པ་ཞེས་བྱ་བ་ནས་སྔ་མ་བཞིན་དུ་སྦྱར་རོ། ། ||| That realm is as flat as the palm of the hand and has all the other qualities previously described.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཙན་དན་དཔལ་ཞེས་བྱ་བ་ད་ལྟར་བཞུགས་ཤིང་འཚོ་ལ་གཞེས་ཏེ། བྱང་ཆུབ་སེམས་དཔས་བསྐོར་ཅིང་བྱང་ཆུབ་སེམས་དཔས་མདུན་གྱིས་བལྟས་པ་ལ་ ||| There the thus-gone, worthy, perfect buddha Candanaśrī resides and lives surrounded by a gathering of bodhisattvas who venerate him.
ཐོག་མར་དགེ་བ། བར་དུ་དགེ་བ། ཐ་མར་དགེ་བའི་ཆོས་སྟོན་ཏོ། ། ||| He teaches them a Dharma that is virtuous in the beginning, virtuous in the middle, and virtuous in the end.
ཞེས་བྱ་བ་ནས་རྣམ་པར་ཤེས་པ་མེད་པར་མི་འགྱུར་རོ། །ཞེས་བྱ་བའི་བར་དུ་སྔ་མ་བཞིན་དུ་སྦྱར་རོ། ། ||| He also teaches the same Dharma mentioned previously, up until ‘consciousness.’
གཞོན་ནུ་དེ་ལ་ཇི་སྙམ་དུ་སེམས། ||| Prince, what do you think?
ཅིའི་ཕྱིར་དེ་བཞིན་གཤེགས་པ་དེ་ཙན་དན་དཔལ་ཞེས་བྱ་ཞེ་ན། ||| Why is the thus-gone one called Candanaśrī?
གཞོན་ནུ་དེ་བཞིན་གཤེགས་པ་དེའི་སངས་རྒྱས་ཀྱི་ཞིང་དེ་ཐམས་ཅད་ཙན་དན་གྱི་ཁང་པ་བརྩིགས་པས་ཡོངས་སུ་ཁྱབ་པས་ན། ||| The entire buddha realm of the thus-gone one is filled with houses built of sandalwood.
དེའི་ཕྱིར་དེ་བཞིན་གཤེགས་པ་དེའི་མཚན་ཙན་དན་དཔལ་ཞེས་བྱའོ། ། ||| Therefore, the thus-gone one is called Candanaśrī.
