ལས་ཀྱི་རྣམ་པར་འགྱུར་བ་ཞེས་བྱ་བའི་ཆོས་ཀྱི་གཞུང་། བམ་པོ་གཅིག་གོ། ། ||| The Dharma Scripture “Exposition of Karma” in one fascicle
མ་ན་བ་སེམས་ཅན་རྣམས་ནི་ཚེ་རབས་ཀྱི་ལས་ལས་གྱུར་ཏེ། སྦྱིན་པའི་རྣམས་ཀྱང་ལས། སྐྱེ་བའི་རྣམས་ཀྱང་ལས། སོ་སོར་རྒྱུ་བ་ཡང་ལས་ཏེ། མ་ན་བ་སེམས་ཅན་རྣམས་ནི་ལས་ཀྱིས་རྣམ་པར་བསྒྱུར་རོ། ། ||| Young brahmin, sentient beings are the owners of their actions committed in former lives; sentient beings have actions as their heritage, actions as their origin, actions as their individual causes; sentient beings develop through actions, young brahmin.
དེ་བས་ན་ངན་པ་དང་། བར་མ་དང་། བཟང་པོའི་ཕྱིར་སེམས་ཅན་རྣམ་པ་མང་པོ་ཡང་ལས་རྣམ་པ་མང་པོ་དང་། མྱ་ངན་རྣམ་པ་མང་པོ་དང་། ལྟ་བ་རྣམ་པ་མང་པོར་སྦྱར་བ་དེ་འདི་ལྟར་ནག་པོ་དང་། དཀར་པོ་ལས་རྣམ་པར་སྨིན་པའི་འབྲས་བུ་བཤད་དོ། ། ||| “Therefore, again, the multiple varieties of sentient beings, due to their being bad, good, or middling, are karmically connected with many kinds of actions, many kinds of sufferings, and many kinds of views, in accordance with what I have taught as the black and white fruits of karmic ripening.
མ་ན་བ་འདི་ལྟ་སྟེ། ||| Young brahmin, it is like this:
ལས་ནག་པོ་རྣམས་ཀྱིས་ནི་སེམས་ཅན་དམྱལ་བ་དང་། བྱོལ་སོང་དང་། ཡི་དགས་དང་། རིང་དུ་འཁྱམས་པ་དང་། ཨ་སུ་ར་ལ་སོགས་པ་ངན་སོང་དུ་སྐྱེའོ། ། ||| Through carrying out black actions, sentient beings are reborn in the unfortunate rebirth destinies; they are reborn as hell beings, animals, ghosts (that is, those who have gone to the afterlife), and asuras.
ལས་དཀར་པོ་བགྱིས་པ་རྣམས་ཀྱིས་ནི་ལྷ་དང་མིར་སྐྱེའོ། ། ||| Through carrying out white actions, beings are reborn as devas or as humans.
མ་ན་བ་དེ་ལྟ་བས་ན། ལས་ཀྱི་རྣམ་པར་སྨིན་པས་ཚེ་ཐུང་བ་ཡང་ཡོད། ||| “Therefore, young brahmin, as a result of one’s actions, one’s life is short
ལས་ཀྱིས་ཚེ་རིང་པོར་གྱུར་པ་ཡང་ཡོད། ||| as a result of one’s actions, one’s life is [short or] long,
ལས་ཀྱིས་ནད་མང་པོར་གྱུར་པ་ཡང་ཡོད། ||| as a result of one’s actions, [one’s life is short or long,] one has many [or few] illnesses,
ལས་ཀྱིས་ནད་ཉུང་ངུར་འགྱུར་བ་ཡང་ཡོད། ||| as a result of one’s actions, [one’s life is short or long,] one has [many or] few illnesses,
ལས་ཀྱིས་མི་སྡུག་པར་འགྱུར་བ་ཡང་ཡོད། ||| as a result of one’s actions, [one’s life is short or long, one has many or few illnesses,] one is ugly
ལས་ཀྱིས་བཟང་པོར་འགྱུར་བ་ཡང་ཡོད། ||| as a result of one’s actions, [one’s life is short or long, one has many or few illnesses,] one is [ugly or] beautiful,
ལས་ཀྱིས་དབང་ཆུང་ངུར་འགྱུར་བ་ཡང་ཡོད། ||| as a result of one’s actions, [one’s life is short or long, one has many or few illnesses, one is ugly or beautiful,] one is insignificant
ལས་ཀྱིས་དབང་ཆེ་བར་འགྱུར་བ་ཡང་ཡོད། ||| as a result of one’s actions, [one’s life is short or long, one has many or few illnesses, one is ugly or beautiful,] one is [insignificant or] influential,
ལས་ཀྱིས་མ་རབས་ཀྱི་རིགས་སུ་འགྱུར་བ་ཡང་ཡོད། ||| as a result of one’s actions, [one’s life is short or long, one has many or few illnesses, one is ugly or beautiful, one is insignificant or influential,] one is lowborn
ལས་ཀྱིས་ཡ་རབས་ཀྱི་རིགས་སུ་འགྱུར་བ་ཡང་ཡོད། ||| as a result of one’s actions, [one’s life is short or long, one has many or few illnesses, one is ugly or beautiful, one is insignificant or influential,] one is [lowborn or] highborn,
ལས་ཀྱིས་དབུལ་པོར་འགྱུར་བ་ཡང་ཡོད། ||| as a result of one’s actions, [one’s life is short or long, one has many or few illnesses, one is ugly or beautiful, one is insignificant or influential, one is lowborn or highborn,] one is poor [or rich,]
ལས་ཀྱིས་ཕྱུག་པོར་འགྱུར་བ་ཡང་ཡོད། ||| as a result of one’s actions, [one’s life is short or long, one has many or few illnesses, one is ugly or beautiful, one is insignificant or influential, one is lowborn or highborn,] one is [poor or] rich,
ལས་ཀྱིས་ངན་པར་འགྱུར་བ་ཡང་ཡོད། ||| as a result of one’s actions, [one’s life is short or long, one has many or few illnesses, one is ugly or beautiful, one is insignificant or influential, one is lowborn or highborn, one is poor or rich,] one is ignorant of the Dharma, or
ལས་ཀྱིས་ཤེས་རབ་ཆེན་པོར་འགྱུར་བ་ཡང་ཡོད། ||| as a result of one’s actions, [one’s life is short or long, one has many or few illnesses, one is ugly or beautiful, one is insignificant or influential, one is lowborn or highborn, one is poor or rich, one is ignorant of the Dharma, or] one has extensive knowledge of the Dharma;
ལས་ཀྱིས་སེམས་ཅན་དམྱལ་བར་འགྱུར་བ་ཡང་ཡོད། ||| as a result of one’s actions, one is reborn as a hell being,
ལས་ཀྱིས་བྱོལ་སོང་གི་སྐྱེ་གནས་སུ་སྐྱེ་བར་འགྱུར་བ་ཡང་ཡོད། ||| as a result of one’s actions, one is reborn as [a hell being,] an animal,
ལས་ཀྱིས་རིང་དུ་འཁྱམས་པར་འགྱུར་བ་ཡང་ཡོད། ||| as a result of one’s actions, one is reborn as [a hell being, an animal,] a ghost,
ལས་ཀྱིས་ཨ་སུ་རར་སྐྱེ་བར་འགྱུར་བ་ཡང་ཡོད། ||| as a result of one’s actions, one is reborn as [a hell being, an animal, a ghost,] an asura,
ལས་ཀྱིས་མིར་སྐྱེ་བར་འགྱུར་བ་ཡང་ཡོད། ||| as a result of one’s actions, one is reborn as [a hell being, an animal, a ghost, an asura,] a human,
ལས་ཀྱིས་གཟུགས་ཡོད་པའི་ལྷར་སྐྱེ་བ་ཡང་ཡོད། ||| as a result of one’s actions, one is reborn as [a hell being, an animal, a ghost, an asura, a human,] a deva possessing a physical body,
ལས་ཀྱིས་གཟུགས་མེད་པའི་ལྷར་སྐྱེ་བ་ཡང་ཡོད། ||| as a result of one’s actions, one is reborn as [a hell being, an animal, a ghost, an asura, a human, a deva possessing a physical body,] or a deva without a physical body;
ལས་བཞིན་དུ་མི་འགྱུར་བར་སྐྱེ་བ་ཡང་ཡོད། ||| as a result of one’s actions, one’s rebirth is determinate in accordance with the action,
ལས་ཀྱིས་འགྱུར་བར་སྐྱེ་བ་ཡང་ཡོད། ||| as a result of one’s actions, [one’s rebirth is determinate in accordance with the action,] one’s rebirth is indeterminate,
ལས་ཀྱིས་ཡུལ་གཞན་དུ་སྐྱེ་བར་འགྱུར་བ་ཡང་ཡོད། ||| as a result of one’s actions, [one’s rebirth is determinate in accordance with the action, one’s rebirth is indeterminate,] there is rebirth in a foreign country,
ལས་མ་བསམས་པར་བྱས་པས་སྐྱེ་བར་འགྱུར་བ་ཡང་ཡོད། ||| as a result of one’s actions, [one’s rebirth is determinate in accordance with the action, one’s rebirth is indeterminate, there is rebirth in a foreign country,] there is rebirth through carrying out an action without intent,
ལས་བསམས་ཏེ་མ་བྱས་ཀྱང་སྐྱེ་བར་འགྱུར་བ་ཡང་ཡོད། ||| as a result of one’s actions, [one’s rebirth is determinate in accordance with the action, one’s rebirth is indeterminate, there is rebirth in a foreign country, there is rebirth through carrying out an action without intent,] there is rebirth when one has intended an action but not carried it out,
ལས་བསམས་ཏེ་བྱས་ནས་སྐྱེ་བར་འགྱུར་བ་ཡང་ཡོད། ||| as a result of one’s actions, [one’s rebirth is determinate in accordance with the action, one’s rebirth is indeterminate, there is rebirth in a foreign country, there is rebirth through carrying out an action without intent, there is rebirth when one has intended an action but not carried it out,] there is rebirth when one has intended an action and carried it out, and
ལས་མ་བསམས་མ་བྱས་ཀྱང་སྐྱེ་བར་འགྱུར་བ་ཡང་ཡོད་དོ། ། ||| as a result of one’s actions, [one’s rebirth is determinate in accordance with the action, one’s rebirth is indeterminate, there is rebirth in a foreign country, there is rebirth through carrying out an action without intent, there is rebirth when one has intended an action but not carried it out, there is rebirth when one has intended an action and carried it out, and] there is rebirth when one has neither intended an action nor carried it out.
གང་ཟག་ལས་འདི་ལྟ་བུ་འདུས་པས་ན་སེམས་ཅན་དམྱལ་བར་སྐྱེས་ནས་སེམས་ཅན་དམྱལ་བའི་ཚེ་ཀུན་རྫོགས་ཏེ། སྐྱེ་བའི་ལས་ཀྱང་ཡོད། ||| There are also actions that, when accumulated, lead to rebirth into a new existence only after the lifespan in hell has been completed;
གང་ཟག་ལས་འདི་ལྟ་བུ་འདུས་པས་ན་སེམས་ཅན་དམྱལ་བའི་ཚེ་ཕྱེད་ཟད་ནས་སྐྱེ་བའི་ལས་ཀྱང་ཡོད་དོ། ། ||| furthermore, there are actions that, when accumulated, lead to rebirth into a new existence after only half the lifespan in hell is exhausted, [870]
སེམས་ཅན་དམྱལ་བར་ཕྱིན་མ་ཐག་ཏུ་སྐྱེས་པ་ཡང་ཡོད། ||| as well as actions that lead to rebirth immediately upon arriving in hell.
གང་ཟག་ཡང་ལས་འདི་ལྟ་བུ་འདུས་པས་ན་སྔར་བདེ་བ་ལ་ཕྱི་ནས་མི་བདེ་བའི་ལས་ཀྱང་ཡོད། ||| There are actions that, when accumulated, lead to future unhappiness following upon past happiness.
གང་ཟག་ཡང་འདི་ལྟ་བུ་འདུས་པས་ན་སྔར་མི་བདེ་བ་ལ་ཕྱི་ནས་བདེ་བར་གྱུར་པའི་ལས་ཀྱང་ཡོད། ||| There are actions that, when accumulated, lead to to future happiness following upon past unhappiness.
སེམས་ཅན་གང་ཟག་ཐམས་ཅད་ཀྱང་འདི་ལྟ་བུ་འདུས་པས་ན་སྔར་བདེ་ལ་ཕྱིས་ཀྱང་བདེ་བར་འགྱུར་བའི་ལས་ཀྱང་ཡོད། ||| There are actions that, when accumulated by people and sentient beings, lead to future happiness following upon past happiness.
གང་ཟག་ཡང་འདི་ལྟ་བུ་འདུས་པས་ན་སེར་སྣ་བྱེད་པའི་ལས་ཀྱང་ཡོད། ||| There are actions that, when accumulated, lead to miserliness,
གང་ཟག་ཡང་འདི་ལྟ་བུ་འདུས་པས་ན་དབུལ་བ་གཏོང་ཕོད་པའི་ལས་ཀྱང་ཡོད། ||| There are actions that, when accumulated, lead [to miserliness,] to being poor and generous,
གང་ཟག་ཡང་འདི་ལྟ་བུ་འདུས་པས་ན་ཕྱུག་པོར་འགྱུར་ཞིང་གཏོང་ཕོད་པའི་ལས་ཀྱང་ཡོད། ||| There are actions that, when accumulated, lead [to miserliness, to being poor and generous,] to being wealthy and generous, and
གང་ཟག་ཡང་འདི་ལྟ་བུ་འདུས་པས་ན་དབུལ་བ་སེར་སྣ་ཅན་དུ་འགྱུར་བའི་ལས་ཀྱང་ཡོད་དོ། ། ||| There are actions that, when accumulated, lead [to miserliness, to being poor and generous, to being wealthy and generous, and] to being poor and miserly.
གང་ཟག་ཚེ་ཟད་ལ་ལས་མ་ཟད་པ་ཡང་ཡོད། ||| There are individuals whose lifespans are exhausted but not their actions,
གང་ཟག་ལས་ཟད་ལ་ཚེ་མ་ཟད་པ་ཡང་ཡོད། ||| there are individuals whose actions are exhausted but not their lifespans, and
གང་ཟག་ཚེ་དང་ལས་བཅས་ཏེ་ཟད་པར་འགྱུར་བ་ཡང་ཡོད། ||| there are individuals whose lifespans and actions are simultaneously exhausted.
གང་ཟག་ཚེ་དང་ལས་བཅས་ཏེ་མ་ཟད་ཀྱང་མྱ་ངན་སྤངས་པར་འགྱུར་བ་ཡང་ཡོད། ||| There are individuals who will eliminate their sufferings although neither their lifespans nor their actions are exhausted.
གང་ཟག་ལུས་བདེ་ལ་སེམས་མི་བདེ་བར་འགྱུར་བ་ཡང་ཡོད། ||| There are individuals who will become unwell in their minds while their bodies are well.
གང་ཟག་ལུས་མི་བདེ་ལ་སེམས་བདེ་བར་འགྱུར་བའི་ལས་ཀྱང་ཡོད། ||| There are actions that lead an individual to be well in their mind while their body is unwell, or
གང་ཟག་ལུས་ཀྱང་བདེ་ལ་སེམས་ཀྱང་བདེ་བར་འགྱུར་བ་ཡང་ཡོད། ||| There are actions that lead an individual [to be well in their mind while their body is unwell, or] to be well in mind and body,
གང་ཟག་ལུས་མི་བདེ་ལ་སེམས་ཀྱང་མི་བདེ་བར་འགྱུར་བ་ཡང་ཡོད། ||| There are actions that lead an individual [to be well in their mind while their body is unwell, or to be well in mind and body,] or to be unwell in both mind and body.
གང་ཟག་ལས་འདི་ལྟ་བུ་འདུས་པས་ན་སེམས་ཅན་ངན་པའི་སར་ཡང་སྐྱེས་ཏེ། གཟུགས་ངན་པ་དང་། བཟང་པོ་དང་། སྡུག་གུ་དང་། ཁ་དོག་མཛེས་པ་དང་། མདོག་སྣུམ་པ་དང་། མཐོང་ན་དགའ་བའི་ལས་ཀྱང་ཡོད། ||| There are actions that, when accumulated, lead to having a body that is graceful, beautiful looking, and pretty, with a nice and glossy complexion, a feast for the eyes, although an individual is reborn in an inferior form of existence.
གང་ཟག་ཡང་ལས་འདི་ལྟ་བུ་འདུས་པས་ན་ངན་པའི་སར་ཡང་སྐྱེས་ལ་གཟུགས་ངན་པ་དང་། ལུས་རྩུབ་པ་དང་། མི་སྡུག་པར་སྣང་བ་དང་། མཐོང་ན་ཡིད་དུ་མི་འོང་བའི་ལས་ཀྱང་ཡོད་དེ ||| There are actions that, when accumulated, lead to having an inferior physique, a crude body and an unpleasant and unsightly appearance for an individual reborn in an inferior form of existence. [871]
མ་ན་བ་ཡང་འདི་ལྟ་སྟེ། མི་དགེ་བ་བཅུའི་ལས་ཀྱི་ལམ་བྱས་པའི་རྒྱུས་ཕྱི་རོལ་གྱི་ཡུལ་སའི་དོན་ངན་དུ་འགྱུར་བ་ཡང་ཡོད་དོ། ། ||| Furthermore, young brahmin, it is like this: through carrying out the ten nonvirtuous courses of action, conditions in one’s environment will deteriorate.
དེ་ལ་ཇི་ལྟར་ལས་ཀྱིས་ཚེ་ཐུང་བར་འགྱུར་ཞེ་ན། ||| “Now, in what way does action lead to a short lifespan?
ཆོས་བཅུས་ན་ཚེ་ཐུང་བར་འགྱུར་ཞེ་ན། ||| Due to ten factors, one’s lifespan will be shortened.
བཅུ་གང་ཞེ་ན། ||| What are the ten?
སྲོག་གཅོད་པ། སྲོག་གཅོད་དུ་བཅུག་པ། སྲོག་གཅོད་པ་ལ་སྟོད་པ། སྲོག་གཅོད་པ་ལ་སྨོན་པ། མངལ་གནས་མེད་པར་བྱེད་པ། མངལ་གནས་མེད་པར་བྱེད་དུ་བཅུག་པ། དགྲ་བོ་ལ་གསད་པར་སེམས་པ། མི་མཛའ་བ་ཤི་ན་དགའ་བ། རྟེན་བཅས་ཤིང་སེམས་ཅན་གསད་པ། ཐབ་མོ་ལ་ལྟ་ཞིང་དད་པ་དང་བཅུ་སྟེ། ཆོས་འདི་བཅུས་ན་ཚེ་ཐུང་ཞིང་ནད་མང་བར་འགྱུར་རོ། ། ||| (1) Taking life, (2) encouraging others to take life, (3) speaking praise of killing, (4) resolving to kill, (5) aborting a fetus, (6) encouraging abortion, (7) wishing one’s enemy to be killed, (8) feeling joy at the death of one’s foe, (9) preparing the ground for slaughtering animals and killing them there, and (10) watching a battle and delighting in it. Through these ten factors, one’s lifespan will be shortened, and one will suffer many illnesses.
ཇི་ལྟར་ལས་བཟང་པོ་བྱས་པས་ཚེ་རིང་པོར་འགྱུར་ཞེ་ན། ||| “How can one achieve a long life through carrying out good actions?
ཆོས་རྣམ་པ་བཅུས་ན་ཚེ་རིང་པོར་འགྱུར་ཏེ། ||| Ten factors lead to a long life.
བཅུ་གང་ཞེ་ན། ||| What are the ten?
སྲོག་གཅོད་པ་སྤངས་པ། སྲོག་གཅོད་པ་སྤོང་བར་བྱེད་པ། སྲོག་གཅོད་པ་སྤངས་པ་ལ་སྟོད་པ། སྲོག་གཅོད་པ་སྤངས་པ་ལ་སྨོན་པ། གསད་པར་ཆད་པའི་སེམས་ཅན་རྣམས་གཏོང་བ། གསད་པར་ཆད་པའི་མི་རྣམས་གཏོང་བ། འཇིགས་ཤིང་སྐྲག་པའི་སེམས་ཅན་རྣམས་ལ་སྐྱབས་བྱས་པ། མགོན་མེད་པའི་སེམས་ཅན་རྣམས་ལ་སྙིང་རྗེ་བར་སེམས་པ། ན་བའི་སེམས་ཅན་རྣམས་ལ་བྱམས་པས་སྡུད་པ། བྲེལ་ཞིང་ཕོངས་པའི་སེམས་ཅན་རྣམས་ལ་གོས་དང་། ཟས་སྐོམ་སྦྱིན་པ་དང་། ཆོས་བཅུས་ན་ཚེ་རིང་ཞིང་ནད་མེད་པར་འགྱུར་རོ། ། ||| (1) Abstaining from killing; (2) preventing others from killing; (3) speaking praise of abstaining from killing; (4) resolving to abstain from killing; (5) freeing sentient beings who have been captured in order to be slaughtered; (6) freeing imprisoned humans who are to be executed; (7) giving refuge to sentient beings who are frightened and terrified; (8) having a compassionate attitude toward those who are without protection; (9) embracing with one’s love those who are ill; and (10) giving clothing, food, and drink to the destitute. Through these ten factors, one will have a long life and be free from illness.
ཇི་ལྟར་ལས་ཀྱིས་ནད་མང་པོ་འགྱུར་ཞེ་ན། ||| “In what way does action lead to having many illnesses?
ཆོས་བཅུས་ན་ནད་མང་པོར་འགྱུར་ཏེ། ||| Ten factors lead to having many illnesses.
བཅུ་གང་ཞེ་ན། ||| What are the ten?
དབྱུག་པ་དང་ཐལ་མོ་ལ་སོགས་པས་བཙོགས་པ་དང་། བྱུག་པ་དང་། ཐལ་མོ་ལ་སོགས་པས་འཚོག་ཏུ་བཅུག་པ་དང་། དབྱུག་པ་དང་ཐལ་མོ་ལ་སོགས་པས་འཚོག་པ་ལ་སྟོད་པ་དང་། དབྱུག་པ་དང་ཐལ་མོ་ལ་སོགས་པས་འཚོག་པ་ལ་སྨོན་པ། ཕ་མ་རྣམས་ཀྱི་སེམས་ཉོན་མོངས་པ། མྱ་ངན་བསྲིང་བ་རྣམས་ཀྱི་སེམས་ཉོན་མོངས་པ། མི་མཛའ་བ་རྣམས་ན་ན་དགའ་བ། མི་མཛའ་བ་རྣམས་ནད་མི་སོས་ན་དགའ་བ། སྨན་ལོག་པ་བྱིན་པ། ཟས་མི་ཞུ་བ་ཟ་བ་དང་བཅུ་སྟེ། ||| (1) Beating somebody with a stick, with the hand, or with something else; (2) encouraging someone to beat somebody with a stick, with the hand, or with something else; (3) praising the action of beating somebody with a stick, with the hand, or with something else; (4) resolving to beat somebody with a stick, with the hand, or with something else; [872] (5) distressing one’s parents; (6) distressing monks and nuns; (7) feeling joy about one’s enemies falling ill; (8) feeling joy when one’s enemies do not recover from an illness; (9) giving them the wrong medicine; and (10) eating indigestible food. These are the ten.
ཆོས་འདི་བཅུས་ན་ནད་མང་བར་འགྱུར་རོ། ། ||| Through these ten factors, one will have many illnesses.
ཇི་ལྟར་ལས་བཟང་པོ་བྱས་པས་ནད་ཉུང་ངུར་འོང་ཞེ་ན། ||| “How will one have few illnesses through carrying out good actions?
ཆོས་བཅུས་ན་ནད་ཉུང་བར་འགྱུར་ཏེ། ||| Ten factors lead to having few illnesses.
བཅུ་གང་ཞེ་ན། ||| What are the ten?
དབྱུག་པ་དང་ཐལ་མོ་ལ་སོགས་པས་གཞན་མི་འཚོག་པ། དབྱུག་པ་དང་ཐལ་མོ་ལ་སོགས་པས་འཚོག་ཏུ་མི་གཞུག་པ། དབྱུག་པ་དང་ཐལ་མོ་ལ་སོགས་པས་འཚོག་པ་ལ་མི་སྟོད་པ། དབྱུག་པ་དང་ཐལ་མོ་ལ་སོགས་པས་འཚོག་པ་ལ་མི་སྨོན་པ། ཕ་མ་ལ་སོགས་པ་ན་བ་རྣམས་ལ་རིམ་གྲོ་བྱེད་པ། མྱ་ངན་བསྲིངས་པ་རྣམས་ན་བ་ལ་རིམ་གྲོ་བྱེད་པ། མི་མཛའ་བ་རྣམས་ན་ན་མི་དགའ་བ། མི་མཛའ་བ་རྣམས་ནད་སོས་ན་དགའ་བ། ནད་པ་ལ་སྨན་བྱིན་པ། ཟས་ཞུ་ནས་ཟ་བ་དང་བཅུ་སྟེ། ||| (1) Not beating somebody with a stick, with one’s hand, or with something else; (2) preventing others from beating somebody with a stick, with their hands, or with something else; (3) not speaking praise of beating somebody with a stick, with a hand, or with something else; (4) resolving not to beat somebody with a stick, with one’s hand, or with something else; (5) serving one’s ill parents; (6) serving monks and nuns when they are ill; (7) being unhappy when one’s enemies have fallen ill; (8) feeling joy when one’s enemies recover from an illness; (9) giving medicine to the sick; and (10) eating digestible food. These are the ten.
ཆོས་འདི་བཅུས་ནད་ཉུང་བར་འགྱུར་རོ། ། ||| Through these ten factors, one will have few illnesses.
ཇི་ལྟར་ལས་ཀྱིས་མི་སྡུག་པར་འགྱུར་ཞེ་ན། ||| “In what way does action lead to ugliness?
ཆོས་བཅུས་མི་སྡུག་པར་འགྱུར་ཏེ། ། ||| Ten factors lead to ugliness.
བཅུ་གང་ཞེ་ན། ||| What are the ten?
ཁྲོ་བ་གནོང་བཅབས་པ། ཅུང་ཟད་ལས་ཀྱང་འཁོན་དུ་འཛིན་པ། གཏུམ་པ་ཕ་མ་རྣམས་ལ་ངན་དུ་སྨྲ་བ། མྱ་ངན་བསྲིངས་པ་རྣམས་ལ་ངན་དུ་སྨྲ་བ། མྱ་ངན་བསྲིངས་པའི་སྤྱད་པ་ཀུན་ལ་ངན་དུ་བྱེད་པ། ཡང་དག་པར་གཤེགས་པའི་མཆོད་རྟེན་ལ་འོད་གཅོད་པ། གང་ཟག་མི་སྡུག་པ་རྣམས་ལ་དངན་ཅན་བྱེད་པ། ཅི་ལ་ཡང་མི་གཙང་བར་བྱེད་པ་འདི་དང་ཆོས་བཅུའོ། ། ||| (1) Anger; (2) inflicting harm; (3) holding a grudge, even for a trifle; (4) rage; (5) reviling one’s parents; (6) reviling monks and nuns; (7) corrupting the dwelling of monks and nuns; (8) extinguishing the offering lamps at a caitya of the Tathāgata; (9) treating ugly persons with contempt; and (10) being uncleanly. These are the ten factors.
ཇི་ལྟར་ལས་ཀྱིས་བཟང་པོར་འགྱུར་ཞེ་ན། ||| “In what way does action lead to being beautiful?
ཆོས་བཅུས་བཟང་པོར་འགྱུར་ཏེ། ||| Ten factors lead to being beautiful.
བཅུ་གང་ཞེ་ན། ||| What are the ten?
