༄༅༅། །འཕགས་པ་དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོའི་ཆོས་ཀྱི་རྣམ་གྲངས་ལེའུ་སྟོང་ཕྲག་བརྒྱ་པ་ལས་ལེའུ་ཉི་ཤུ་རྩ་བརྒྱད་པ་སྟེ་ཁྱིམ་བདག་དཔས་བྱིན་གྱིས་ཞུས་པ། བམ་པོ་གཅིག་པ། རྒྱ་གར་སྐད་དུ། ཨཱརྱ་བཱི་ར་དཏྟ་གྲྀ་ཧ་པ་ཏི་པ་རི་པྲྀཙྪཱ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཁྱིམ་བདག་དཔས་བྱིན་གྱིས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of the Householder Vīradatta
དབྱིག་དང་། གསེར་དང་། ནོར་བུ་དང་། མུ་ཏིག་དང་། བཻ་དཱུརྱ་དང་། དུང་དང་། མན་ཤེལ་དང་། བྱི་རུ་དང་། ས་ལེ་སྦྲམ་དང་། དངུལ་མང་བ་ཞིག་གནས་པ་དེ་ཁྱིམ་བདག་ལྔ་བརྒྱ་ཙམ་དང་ལྷན་ཅིག་ཏུ་འདུས་ཏེ་འདུག་པར་གྱུར་ཏོ། ||| He also had a great quantity of jewels, gold, gems, pearls, lapis lazuli, conch shells, crystal, coral, fine gold, and silver. In this place, five hundred householders congregated and sat together.
།དེ་དག་འདུས་ཏེ་འཁོད་པའི་ཚེ་བར་སྐབས་སུ་འདི་ལྟ་བུའི་གཏམ་རྗོད་དེ། ||| While assembled, they conversed:
ཀྱེ་གྲོགས་པོ་དག་སངས་རྒྱས་འབྱུང་བ་རྙེད་པར་དཀའ། ||| “Hey, friends! The appearance of a buddha is rarely met with.
མིར་སྐྱེ་བ་རྙེད་པར་དཀའ། ||| A human birth is rarely met with.
དལ་བ་ཕུན་སུམ་ཚོགས་པ་རྙེད་པར་དཀའ། ||| The excellent freedoms are rarely met with.
དེ་བཞིན་གཤེགས་པའི་བསྟན་པ་ལ་དད་པ་རྙེད་པར་དཀའ། ||| Faith in the teaching of the Tathāgata is rarely met with.
རབ་ཏུ་བྱུང་བ་རྙེད་པར་དཀའ། ||| A renunciate is rarely met with.
དགེ་སློང་གི་དངོས་པོ་རྙེད་པར་དཀའ། ||| Monkhood is rarely met with.
ནན་ཏན་བྱེད་པ་རྙེད་པར་དཀའ། ||| One who strives earnestly is rarely met with.
སེམས་ཅན་གང་དག་བྱས་པ་གཟོ་ཞིང་བྱས་པ་ཤེས་ལ་གང་དག་བྱས་པ་ཆུང་ངུ་ཡང་ཆུད་མི་གཟོན་ན་མང་པོ་ལྟ་ཅི་སྨོས་ཏེ། ||| Some sentient beings have gratitude and understand deeds; they do not squander even small deeds, not to mention extensive ones.
དེ་དག་ཆེས་རྙེད་པར་དཀའ། ||| Such people are rarely found.
དེ་བས་ཀྱང་སེམས་ཅན་གང་དག་དེ་བཞིན་གཤེགས་པའི་བསྟན་པ་ལ་ཡིད་ཆེས་པ་དེ་དག་ཆེས་རྙེད་པར་དཀའ། ||| Even rarer to be found are those sentient beings who have conviction in the teachings of the Tathāgata.
དེ་བས་ཀྱང་སེམས་ཅན་གང་དག་དེ་བཞིན་གཤེགས་པའི་བསྟན་པ་ལ་ཡིད་ཆེས་ནས་ནན་ཏན་གྱིས་སྒྲུབ་པ་དེ་དག་ཆེས་རྙེད་པར་དཀའ། ||| Still rarer to be found are those sentient beings who, based on their conviction in the teachings of the Tathāgata, earnestly practice them.
དེ་བས་ཀྱང་སེམས་ཅན་གང་དག་དེ་བཞིན་གཤེགས་པའི་བསྟན་པ་ལ་མཛེས་པ་དེ་དག་ཆེས་རྙེད་པར་དཀའ། ||| Rarer yet to be found are those sentient beings who are adorned with the teaching of the Tathāgata.
འཁོར་བ་ལས་གྲོལ་བ་རྙེད་པར་དཀའ་ན། ཅི་བདག་ཅག་ཉན་ཐོས་ཀྱི་ཐེག་པས་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བར་བྱའམ། འོན་ཏེ་རང་སངས་རྒྱས་ཀྱི་ཐེག་པས་སམ། འོན་ཏེ་ཐེག་པ་ཆེན་པོ་བླ་ན་མེད་པས་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བར་བྱ་ཞེས་འཐུན་པར་འདུས་ཏེ་འཁོད་པ་དེ་དག་ཐམས་ཅད་དེ་ལྟ་བུའི་དཔྱོད་པ་སྐྱེས་ནས་བདག་ཅག་ཐེག་པ་ཆེན་པོ་བླ་ན་མེད་པས་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བར་བྱ་བ་ནི་མཆོག་ཡིན་གྱི། ཉན་ཐོས་ཀྱི་ཐེག་པས་ནི་མ་ཡིན། རང་སངས་རྒྱས་ཀྱི་ཐེག་པས་ནི་མ་ཡིན་ནོ་སྙམ་མོ། ། ||| When liberation from saṃsāra is so rarely to be found, will we attain parinirvāṇa through the Śrāvaka Vehicle or the Pratyekabuddha Vehicle, or will we attain it through the unsurpassable Great Vehicle?” Thus, all those harmoniously assembled and seated together, who investigated things in this way considered that the best way to attain parinirvāṇa was not through the Śrāvaka Vehicle or the Pratyekabuddha Vehicle but through the unsurpassable Great Vehicle.
དེ་ནས་ཁྱིམ་བདག་དཔས་བྱིན་ཁྱིམ་བདག་ལྔ་བརྒྱ་ཙམ་དེ་དག་གིས་ཡོངས་སུ་བསྐོར་ཅིང་མདུན་དུ་བདར་ཏེ་ལྷན་ཅིག་ཏུ་གྲོང་ཁྱེར་ཆེན་པོ་མཉན་ཡོད་ནས་བྱུང་སྟེ། རྒྱལ་བུ་རྒྱལ་བྱེད་ཀྱི་ཚལ་མགོན་མེད་ཟས་སྦྱིན་གྱི་ཀུན་དགའ་ར་བ་ག་ལ་བ་དང་། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས་བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ། ||| On this occasion, the householder Vīradatta, surrounded and closely attended by those five hundred householders, proceeded together from the great city of Śrāvastī and went to where the Blessed One was residing in Anāthapiṇḍada’s pleasure garden in Prince Jeta’s Grove.
བཅོམ་ལྡན་འདས་ལ་ལན་གསུམ་བསྐོར་བ་བྱས་ནས་ཕྱོགས་གཅིག་ཏུ་འཁོད་དོ། ||| They prostrated to the feet of the Blessed One and, having circumambulated the Blessed One three times, took their seats to one side.
།དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་མཁྱེན་བཞིན་དུ་ཁྱིམ་བདག་དཔས་བྱིན་དང་། ཁྱིམ་བདག་ལྔ་བརྒྱ་ཙམ་དེ་དག་ལ་བཀའ་སྩལ་པ། ||| The Blessed One then posed the following question to the householder Vīradatta and the five hundred householders, although he already knew the answer:
ཁྱིམ་བདག་ཁྱེད་དོན་གང་གི་ཕྱིར་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཀྱི་ཐད་དུ་ལྷགས། ||| “Householders, why have you approached the thus-gone, worthy, complete and perfect Buddha?”
དེ་ནས་ཁྱིམ་བདག་དཔས་བྱིན་དང་། ཁྱིམ་བདག་ལྔ་བརྒྱ་ཙམ་དེ་དག་སྟན་ལས་ལངས་ཏེ་བླ་གོས་ཕྲག་པ་གཅིག་ཏུ་གཟར་ནས་པུས་མོ་གཡས་པའི་ལྷ་ང་ས་ལ་བཙུགས་ཏེ། ||| The householder Vīradatta and the five hundred householders arose from their seats, draped their robes over one shoulder, and knelt on their right knee, bowing with palms together.
བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་ནས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ||| Vīradatta replied to the Blessed One as follows:
།བཅོམ་ལྡན་འདས་དུས་གཅིག་ཅིག་ན། བདག་ཅག་ཁྱིམ་བདག་ལྔ་བརྒྱ་ཙམ་གཅིག་ཏུ་འདུས་ཏེ་མཆིས་པར་གྱུར་ནས་དེའི་ཚེ་བདག་ཅག་འདུས་ཏེ་མཆིས་པ་ཐམས་ཅད་བར་སྐབས་སུ་འདི་ལྟ་བུའི་བཀའ་མཆིད་བརྗོད་པ་བྱུང་སྟེ། ||| “Blessed One, at one time I congregated and gathered together with five hundred householders, and at that time all of us who had assembled had the following conversation.
ཀྱེ་གྲོགས་པོ་དག་སངས་རྒྱས་འབྱུང་བ་རྙེད་པར་དཀའ། ||| “ ‘Hey, friends! The appearance of a buddha is rarely met with.
མིར་སྐྱེ་བ་རྙེད་པར་དཀའ། ||| A human birth is rarely met with.
དལ་བ་ཕུན་སུམ་ཚོགས་པ་རྙེད་པར་དཀའ། ||| The excellent freedoms are rarely met with.
དེ་བཞིན་གཤེགས་པའི་བསྟན་པ་ལ་དད་པ་རྙེད་པར་དཀའ། ||| Faith in the teaching of the Tathāgata is rarely met with.
རབ་ཏུ་བྱུང་བ་རྙེད་པར་དཀའ། ||| A renunciate is rarely met with.
དགེ་སློང་གི་དངོས་པོ་རྙེད་པར་དཀའ། ||| Monkhood is rarely met with.
ནན་ཏན་བྱེད་པ་རྙེད་པར་དཀའ། ||| One who strives earnestly is rarely met with.
སེམས་ཅན་གང་དག་བྱས་པ་གཟོ་ཞིང་བྱས་པ་ཤེས་ལ་གང་དག་བྱས་པ་ཆུང་ངུ་ཡང་ཆུད་མི་གཟོན་ན་མང་པོ་ལྟ་ཅི་སྨོས་ཏེ་དེ་དག་ཆེས་རྙེད་པར་དཀའ། ||| Some sentient beings are grateful and understand deeds; they do not squander even small deeds, not to mention extensive ones. Such people are rarely found.
དེ་བས་ཀྱང་སེམས་ཅན་གང་དག་དེ་བཞིན་གཤེགས་པའི་བསྟན་པ་ལ་ཡིད་ཆེས་པ་དེ་དག་ཆེས་རྙེད་པར་དཀའ། ||| Even rarer to be found are those sentient beings who have conviction in the teachings of the Tathāgata.
དེ་བས་ཀྱང་སེམས་ཅན་གང་དག་དེ་བཞིན་གཤེགས་པའི་བསྟན་པ་ལ་ཡིད་ཆེས་ནས་ནན་ཏན་གྱིས་སྒྲུབ་པ་དེ་དག་ཆེས་རྙེད་པར་དཀའ། ||| Still rarer to be found are those sentient beings who, based on their conviction in the teachings of the Tathāgata, earnestly practice them.
དེ་བས་ཀྱང་སེམས་ཅན་གང་དག་དེ་བཞིན་གཤེགས་པའི་བསྟན་པ་ལ་མཛེས་པ་དེ་དག་ཆེས་རྙེད་པར་དཀའ། ||| Rarer yet to be found are those sentient beings who are adorned with the teaching of the Tathāgata.
འཁོར་བ་ལས་གྲོལ་བ་རྙེད་པར་དཀའ་ན། ཅི་བདག་ཅག་ཉན་ཐོས་ཀྱི་ཐེག་པས་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བར་བྱའམ། འོན་ཏེ་རང་སངས་རྒྱས་ཀྱི་ཐེག་པས་སམ། འོན་ཏེ་ཐེག་པ་ཆེན་པོ་བླ་ན་མེད་པས་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བར་བྱ་ཞེས་བཀའ་མཆིད་བགྱིས་སོ། ||| When liberation from saṃsāra is so rarely to be found, will we attain parinirvāṇa through the Śrāvaka Vehicle or the Pratyekabuddha Vehicle, or will we attain it through the unsurpassable Great Vehicle?’
།བཅོམ་ལྡན་འདས་དེའི་ཚེ་བདག་ཅག་ཐམས་ཅད་འདི་ལྟ་བུའི་རྟོག་པ་སྐྱེས་ཏེ། ||| “On that occasion, Blessed One, we all came to the following realization:
བདག་ཅག་ཐེག་པ་ཆེན་པོ་བླ་ན་མེད་པས་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བར་བྱ་བ་ནི་མཆོག་ལགས་ཀྱི། ཉན་ཐོས་ཀྱི་ཐེག་པས་ནི་མ་ལགས། རང་སངས་རྒྱས་ཀྱི་ཐེག་པས་ནི་མ་ལགས་པ་སྙམ་བགྱིད་དེ། ||| we concluded that the best way to attain parinirvāṇa is not through the Śrāvaka Vehicle or the Pratyekabuddha Vehicle but through the unsurpassable Great Vehicle.
བཅོམ་ལྡན་འདས་བདག་ཅག་ཆོས་ཀྱི་སྐྱེས་འདི་དང་ཆས་ཏེ་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཀྱི་ཐད་དུ་མཆིས་ན། ||| “Blessed One, we set off with this source of the Dharma and came straight to the thus-gone, worthy, complete and perfect Buddha.
བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་འཚལ་བས་ཇི་ལྟར་བསླབ་པར་བགྱི། ||| Blessed One, we are now asking how should a bodhisattva mahāsattva who is seeking to fully awaken to unsurpassable complete and perfect awakening train?
བདེ་བར་གཤེགས་པ་ཇི་ལྟར་བསླབ་པར་བགྱི། ||| How should one train in it, Sugata?
ཇི་ལྟར་གནས་པར་བགྱི། ||| How should one abide by it?
ཇི་ལྟར་བསྒྲུབ་པར་བགྱི། ||| How should one proceed with it?”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཁྱིམ་བདག་དཔས་བྱིན་དང་། ཁྱིམ་བདག་ལྔ་བརྒྱ་ཙམ་དེ་དག་ལ་ལེགས་སོ་ཞེས་བྱ་བ་བྱིན་ཏེ། ||| The Blessed One then expressed his approval to the householder Vīradatta and the five hundred householders:
ཁྱིམ་བདག་རྣམས་ལེགས་སོ་ལེགས་སོ། ||| “Householders, excellent, excellent!
།ཁྱིམ་བདག་རྣམས་ཁྱེད་འདི་ལྟར་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་ཡང་དག་པར་ཞུགས་ནས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཀྱི་ཐད་དུ་ལྷགས་པ་ཁྱེད་ཡང་ལེགས་སོ། ||| Householders, having set out for unsurpassable complete and perfect awakening in this way, it is good that you have approached the thus-gone, worthy, complete and perfect Buddha.
།ཁྱིམ་བདག་རྣམས་དེའི་ཕྱིར་ལེགས་པར་རབ་ཏུ་ཉོན་ལ་ཡིད་ལ་ཟུང་ཤིག་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་འདོད་པས་ཇི་ལྟར་བསླབ་པར་བྱ་བ་དང་། ཇི་ལྟར་གནས་པར་བྱ་བ་དང་། ཇི་ལྟར་བསྒྲུབ་པར་བྱ་བ་ངས་ཁྱེད་ལ་བཤད་དོ། ། ||| “Therefore, householders, please listen well and bear my words in mind, and I shall explain to you how a bodhisattva, a mahāsattva who is seeking to fully awaken to unsurpassable complete and perfect awakening should train in it, abide by it, and proceed with it.”
བཅོམ་ལྡན་འདས་དེ་བཞིན་ནོ་ཞེས་གསོལ་ཏེ། ཁྱིམ་བདག་དཔས་བྱིན་དང་། ཁྱིམ་བདག་ལྔ་བརྒྱ་ཙམ་དེ་དག་བཅོམ་ལྡན་འདས་ཀྱི་ལྟར་ཉན་པ་དང་། ||| “So it shall be, Blessed One,” answered the householder Vīradatta and the five hundred householders, and they began to listen to the Blessed One’s view.
བཅོམ་ལྡན་འདས་ཀྱིས་དེ་དག་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །ཁྱིམ་བདག་རྣམས་འདི་ལ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་འདོད་པས་སེམས་ཅན་ཐམས་ཅད་ལ་སྙིང་རྗེ་ཆེན་པོའི་སེམས་བསྐྱེད་པར་བྱ། ཀུན་ཏུ་བསྟེན་པར་བྱ། ||| The Blessed One then said to them, “In this regard, householders, the bodhisattva mahāsattva who wishes to fully awaken to unsurpassable complete and perfect awakening should cultivate the spirit of great compassion for all sentient beings. He should be respectful.
ངེས་པར་བསྟེན་པར་བྱ། ||| He should stay close to them.
བསྒོམ་པར་བྱ། ||| He should cultivate them.
མང་དུ་བྱའོ། ||| He should do a lot for them.
།ཁྱིམ་བདག་རྣམས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དེས་ལུས་ལ་ཆགས་པར་མི་བྱ། ||| “Householders, such a bodhisattva mahāsattva should not be attached to the body.
སྲོག་ལ་ཆགས་པར་མི་བྱ། ||| He should not be attached to life.
དེ་བཞིན་དུ་ནོར་དང་། འབྲུ་དང་། ཁྱིམ་དང་། ཆུང་མ་དང་། བུ་དང་། བུ་མོ་རྣམས་ལ་ཆགས་པར་མི་བྱ། ||| Likewise, he should not be attached to wealth, grain, house, wife, sons, or daughters.
བཟའ་བ་དང་། བཏུང་བ་དང་། བགོ་བ་དང་། བཞོན་པ་དང་། མལ་ཆ་དང་། མེ་ཏོག་དང་། བདུག་པ་དང་། སྤོས་དང་། བྱུག་པ་དང་། ཕྲེང་བ་རྣམས་ལ་ཆགས་པར་མི་བྱ། ||| He should not be attached to food, drink, clothing, vehicles, bedding, flowers, incense, perfumes, ointments, or garlands.
ཡོ་བྱད་ཐམས་ཅད་ལ་ཆགས་པར་མི་བྱའོ། ||| He should not be attached to possessions.
།དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| “Why is this?
ཁྱིམ་བདག་རྣམས་སེམས་ཅན་དག་ནི་ཕལ་ཆེར་ལུས་དང་སྲོག་ལ་ཆགས་པར་གྱུར་ནས་སྡིག་པའི་ལས་རྣམས་བྱེད་དེ། ||| Householders, it is because sentient beings usually become attached to their body and life and thus commit evil deeds.
དེ་དག་སྡིག་པའི་ལས་བྱས་ཤིང་བསགས་པ་དེས་ངན་སོང་ངན་འགྲོ་ལོག་པར་ལྟུང་བ་སེམས་ཅན་དམྱལ་བ་རྣམས་སུ་སྐྱེའོ། །སེམས་ཅན་ཐམས་ཅད་ལ་སྙིང་རྗེ་ཆེན་པོའི་སེམས་བསྐྱེད་དེ། ||| By committing and accumulating this evil karma, they fall headlong into evil states and bad destinies and are reborn as hell beings. Cultivate the spirit of great compassion for all sentient beings.
ལུས་དང་སྲོག་ལ་མ་ཆགས་པར་བྱས་ན་བདེ་འགྲོ་རྣམས་སུ་སྐྱེའོ། ||| When one is not attached to the body and not attached to life, one takes birth in the happy destinies.
།ཁྱིམ་བདག་རྣམས་དེ་ལྟ་བས་ན་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་འདོད་པས་སེམས་ཅན་ཐམས་ཅད་ལ་སྙིང་རྗེ་ཆེན་པོའི་སེམས་བསྐྱེད་དེ། ||| “For these reasons, householders, a bodhisattva mahāsattva who wishes to fully awaken to unsurpassable complete and perfect awakening should cultivate the spirit of great compassion for all sentient beings.
ལུས་ལ་ཆགས་པར་མི་བྱ། ||| He should not be attached to the body.
སྲོག་ལ་ཆགས་པར་མི་བྱ། ||| He should not be attached to life.
དེ་བཞིན་དུ་ནོར་དང་། འབྲུ་དང་། ཁྱིམ་དང་། ཆུང་མ་དང་། བུ་དང་བུ་མོ་རྣམས་ལ་ཆགས་པར་མི་བྱ། ||| Likewise, he should not be attached to wealth, grain, house, wife, sons, or daughters.
བཟའ་བ་དང་། བཏུང་བ་དང་། བགོ་བ་དང་། བཞོན་པ་དང་། མལ་ཆ་དང་། མེ་ཏོག་དང་། བདུག་པ་དང་། སྤོས་དང་། ཕྲེང་བ་དང་། བྱུག་པ་རྣམས་ལ་ཆགས་པར་མི་བྱ། ||| He should not be attached to food, drink, clothing, vehicles, bedding, flowers, incense, perfumes, garlands, or ointments.
ཡོ་བྱད་ཐམས་ཅད་ལ་ཆགས་པར་མི་བྱ། ||| He should not be attached to possessions.
བདོག་པ་ཐམས་ཅད་ཡོངས་སུ་གཏང་བར་ཡོངས་སུ་གཏང་བ་མང་བ་དང་། རྣམ་པར་སྨིན་པ་ལ་རེ་བ་མེད་པར་བྱ། ||| “He should renounce extensively and fully, with total renunciation and without expectation for results.
ཚུལ་ཁྲིམས་རྣམ་པ་གསུམ་ཡོངས་སུ་དག་པར་ཚུལ་ཁྲིམས་ཀྱི་སྡོམ་པ་ལ་གནས་པར་བྱ། ||| He should stand firm in the three aspects of morality, the vows of pure moral discipline.
སེམས་ཅན་ཐམས་ཅད་ཀྱིས་ཉེས་པ་བྱས་པ་ལ་ཇི་མི་སྙམ་པར་བཟོད་པ་དང་དེས་པ་ཕུན་སུམ་ཚོགས་པར་བྱ། ||| He should endure with indifference the negative deeds committed by any sentient being and thus make the most of it.
ལུས་དང་སྲོག་ལ་མི་ལྟ་བར་བརྩོན་འགྲུས་ཀྱི་གོ་ཆ་ཆེན་པོ་བགོ་བར་བྱ། ||| He should don the great armor of effort in disregarding body and life.
རྣམ་པར་མི་གཡེང་བའི་སེམས་ཀྱིས་སེམས་རྩེ་གཅིག་ཏུ་བྱ། ||| He should have one-pointedness of mind with an undistracted mind.
བདག་དང་། སེམས་ཅན་དང་། སྲོག་དང་། གསོ་བ་དང་། སྐྱེས་བུ་དང་། གང་ཟག་དང་། ཤེད་ལས་སྐྱེས་དང་། ཤེད་བུར་ལྟ་བ་དང་བྲལ་བས་ཤེས་རབ་ཀྱིས་རྣམ་པར་དཔྱད་པ་ལ་མཁས་པར་བྱ། ||| He should become skilled in analysis by means of insight that is free from the view of a self, a being, a life force, a soul, a man, a person, a human-born one, and a human being.
དེས་སྦྱིན་པ་སྦྱིན་ན་སེམས་ཅན་ཐམས་ཅད་ཡིད་ལ་བྱས་ཏེ་སྦྱིན་པ་སྦྱིན་པར་བྱ། ||| Therefore, when giving gifts, he should give gifts while considering all sentient beings.
སེམས་ཅན་ཐམས་ཅད་ཡིད་ལ་བྱས་ཏེ་ཚུལ་ཁྲིམས་བསྲུང་བར་བྱ། ||| He should guard moral discipline while considering all sentient beings.
སེམས་ཅན་ཐམས་ཅད་ཡིད་ལ་བྱས་ཏེ་བཟོད་པ་བསྒོམ་པར་བྱ། ||| He should cultivate patience while considering all sentient beings.
སེམས་ཅན་ཐམས་ཅད་ཡིད་ལ་བྱས་ཏེ་བརྩོན་འགྲུས་བརྩམ་པར་བྱ། ||| He should apply effort while considering all sentient beings.
