སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ||| Homage to all buddhas and bodhisattvas!
སྐར་མའི་གཟུགས་དང་། སའི་ཁམས་དང་། ||| The stars and the earth element,
ཆུའི་ཁམས་དང་། མེའི་ཁམས་དང་། ||| water element, fire element,
རླུང་གི་ཁམས་ཀྱང་མིག་ལམ་དུ་སྣང་བར་མ་གྱུར་ཏོ། ། ||| and air element also became invisible to their eyes.
སྒྲ་དག་ཀྱང་རྣ་ལམ་དུ་གྲག་པར་མ་གྱུར་ཏོ། ། ||| Sounds did not resonate in their ears.
དྲི་དག་ཀྱང་སྣ་ལ་བྲོ་བར་མ་གྱུར་ཏོ། ། ||| Odors were not perceived by their noses.
སེམས་དང་སེམས་ལས་བྱུང་བ་རྣམས་ལ་ཡང་ངར་འཛིན་པ་དང་། ང་ཡིར་འཛིན་པ་དང་། ||| They did not take their minds and their mental events as “me,” or take them as “mine,” and
སྐྱེ་མཆེད་དྲུག་གི་འདུ་ཤེས་མི་འབྱུང་བར་གྱུར་ཏོ། ། ||| the perceptions of the six cognitive bases did not arise.
ཡང་འབྱུང་བ་ཆེན་པོ་དག་ཀྱང་མི་དམིགས་པར་གྱུར་ཏེ། ||| The great elements were also imperceptible.
ཕྱོགས་གང་དང་གང་དུ་བརྟགས་པ་དེ་དང་། ||| Instead, in whichever direction they looked,
དེའི་ཕྱོགས་ཐམས་ཅད་དུ་དེ་བཞིན་གཤེགས་པའི་སྐུ་མཚན་དང་། ཁ་དོག་དང་། དབྱིབས་དང་། གཟུགས་སུ་མཐོང་བར་གྱུར་ཏོ། ། ||| in all those directions they saw everything as the physical marks, colors, shapes, and bodies of the tathāgatas.
རྒྱང་མ་ནས་ཀྱང་བརྒྱ་བྱིན་ཐོགས་པའི་ནོར་བུ་རིན་པོ་ཆེས་བསྐོར་བའི་ཡིད་བཞིན་གྱི་ནོར་བུ་རིན་པོ་ཆེ་སྣང་བ་ལས་གཞན་ཆུང་ཟད་ཀྱང་མི་སྣང་བར་གྱུར་ཏོ། ||| Only the precious Indranīla encircled by wish-fulfilling jewels appeared from afar; apart from that, nothing at all was visible.
གང་དེ་ན་བྱང་ཆུབ་སེམས་དཔའ་ས་བཅུ་ལ་གནས་པ་དཔའ་བར་འགྲོ་བའི་ཏིང་ངེ་འཛིན་ཐོབ་པ། ||| At that place, the bodhisattvas dwelling on the tenth ground, who had achieved the meditative concentration of valiant progress
སྐྱེ་བ་གཅིག་གིས་ཐོགས་པ། ||| and who were bound by one more life
སྲིད་པ་ཐ་མ་པ་དེ་དག་གིས་ལྟས་དེ་མཐོང་ནས་འཇིགས་པར་མི་བྱེད། དངངས་པར་མི་བྱེད། སྐྲག་པར་མི་བྱེད་དེ། ། ||| and in their last existence, looked and saw, yet were not at all frightened, afraid, or terrified,
ཆོས་ཐམས་ཅད་རང་བཞིན་གྱིས་ཡང་དག་པའི་མཐའ་དང་། དེ་བཞིན་ཉིད་དང་། སྟོང་པ་ཉིད་དང་ལྡན་པར་རྟོགས་པས་ ||| because they realized that all phenomena are by nature endowed with final reality, suchness, and emptiness.
དེའི་ཕྱིར་དེ་དག་འཇིགས་པར་མི་བྱེད། དངངས་པར་མི་བྱེད། སྐྲག་པར་མི་བྱེད་དོ། ||| Therefore, they were not at all frightened, afraid, or terrified.
གང་ལྷག་མ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དག་དང་། ||| The remaining great bodhisattva mahāsattvas,
ཉན་ཐོས་དག་དང་། ལྷ་དག་དང་། ཀླུ་དག་དང་། ||| the śrāvakas, devas, nāgas,
གནོད་སྦྱིན་དག་དང་། དྲི་ཟ་དག་དང་། ||| yakṣas, gandharvas,
ལྷ་མ་ཡིན་དག་དང་། ནམ་མཁའ་ལྡིང་དག་དང་། ||| asuras, garuḍas,
མི་འམ་ཅི་དག་དང་། ལྟོ་འཕྱེ་ཆེན་པོ་དག་དང་། ||| kinnaras, mahoragas,
གྲུལ་བུམ་དང་། ཡི་དགས་དང་། ||| kumbhāṇḍas, pretas,
ཤ་ཟ་དང་། སྲུལ་པོ་དང་། ||| piśācas, pūtanas,
ལུས་སྲུལ་པོ་དང་། མི་དང་མི་མ་ཡིན་པ་འདུས་པ་དེ་དག་མ་ལུས་པར་འཇིགས་པར་གྱུར། དངངས་པར་གྱུར། སྐྱོ་བར་གྱུར་ནས། ||| kaṭapūtanas—all of the assembled humans and nonhumans—were very frightened and in despair.
ཚུ་རོལ་དང་ཕ་རོལ་ལ་རྨོངས་ཤིང་སེམས་འཁྲུགས་ནས་དེ་དག་གཅིག་གིས་གཅིག་ཀྱང་མི་མཐོང་། ||| They were bewildered about what was here and what was there, and in their confusion they were not able to perceive one another.
དེ་ན་འདི་ཅི་ཞིག །འདི་ཇི་ལྟ་བུ་ཞིག །འདི་ཅིའི་རང་བཞིན་ཞེས་དྲི་བ་ཡང་གང་ཡང་མི་སྣང་ངོ་། ། ||| In that state, they asked questions such as “What is this?”, “How did this come about?”, and “What is the nature of this?”, but could find nothing.
ཡང་དེའི་ཚེ་ན་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཚངས་པའི་གཟེར་བུ་ཆེན་པོ་ཞེས་བྱ་བས་བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་དེ་གསོལ་པ། ། ||| At that time, the great bodhisattva mahāsattva known as Great Nail of Brahmā bowed down toward the Bhagavān with folded hands and said:
ཆོས་ཀུན་གྱི་ནི་རང་བཞིན་ལ། །གང་ཟག་གང་དག་མ་འཚལ་བ། ། ||| “Ordinary beings do not recognize The nature of all phenomena.
གཟུགས་ཕུང་ལ་ནི་གནས་གྱུར་ནས། ། ||| They live in the form aggregate,
དབང་པོ་དྲུག་ལ་རྨོངས་པར་གྱུར། ། ||| And so their six sense faculties become deluded.
ཕུང་པོ་གཅིག་ནི་མི་མཐོང་ཞིང་། ||| “There is not a single aggregate to be seen,
གཟུགས་ཀྱི་ཕུང་ལ་རྟོག་བགྱིད་དེ། །འདི་ལ་གང་ཟག་ཁ་ཅིག་ནི། །སངས་རྒྱས་ཆོས་ལ་ཐེ་ཚོམ་འཚལ། ། ||| Yet ordinary beings conceptualize the form aggregate. Consequently, some of these people Develop doubts about the Buddha’s teaching.
བཅོམ་ལྡན་འདས་ཀྱིས་འདི་དག་ལ། །ཆོས་ཀྱི་དེ་བཞིན་མཚན་ཉིད་གསུངས། ||| “It is for them that the Bhagavān Taught the characteristics of the suchness of phenomena.
དེ་དག་ཚུ་རོལ་ཕ་རོལ་ལ། །བཟོད་པའི་ནམ་མཁའི་མཚན་འཚལ་ཏོ། ། ||| Thus, here and there They come to know the characteristics of space, which bears everything.
འདི་ནི་མཉམ་བཞག་དཔའ་བ་སྟེ། ། ||| “This indeed is brave equipoise
བརྗོད་དུ་མེད་པའི་གནས་ལགས་སོ། ། ||| A state that cannot be expressed.
ཡིད་བཞིན་ནོར་བུ་རིན་ཆེན་ཆེ། །སྤྱི་བོ་ལ་ནི་མཆིས་པར་གདའ། ||| “A most precious wish-fulfilling jewel Rests on the crown of his head.
ནོར་བུ་རིན་ཆེན་བརྒྱ་བྱིན་ཐོགས། །གང་དག་ལ་ནི་རྒྱང་ནས་གདའ། །སེམས་ཅན་དེ་དག་སྐལ་བ་ཆེ། ། ||| Those who perceive a precious Indranīla jewel from afar Are very fortunate beings:
དཔའ་འགྲོའི་ཕ་རོལ་ཤིན་ཏུ་ཕྱིན། ། ||| They will perfect the valiant progress
སྟོན་པ་ལྟ་བར་མཆིས་པ་རྣམས། །དེ་དག་ཐམས་ཅད་ཤེས་རབ་ཆེ། ། ||| “All who have come to see the Teacher are wise indeed.
དེ་རིང་འདིར་ནི་ཟབ་མོའི་གཏམ། །མཆི་བར་འགྱུར་བ་གདོན་མི་འཚལ། ། ||| Today in this place, a profound discourse Will undoubtedly be proclaimed.
བཅོམ་ལྡན་གང་དག་འདིར་ཕྱིན་པའི། །སེམས་ཅན་དག་ལ་དབུགས་དབྱུང་མཛོད། ། ||| “O Bhagavān, please give relief To the sentient beings who have come here.
སེམས་ཅན་ཡོངས་སྨིན་བགྱི་སླད་དུ། །འདི་ནི་དཔའ་བོའི་སྤྱོད་ཡུལ་ལགས། ||| Bringing them to full maturation Is the heroes’ sphere of activity.”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། །ཇི་སྐད་སྨྲས་པ་དེ་བཞིན་ཏེ། ། ||| The Bhagavān replied: “It is just as you have said.
གང་ན་ཀུན་གཞི་ཐོས་གྱུར་ཅིང་། ||| The place where the basis of all is heard,
ཤེས་རབ་ཀྱིས་ནི་སེམས་ཅན་གནས། །དེ་ནི་ཏིང་འཛིན་སྤྱོད་ཡུལ་ལོ། ||| And where, with wisdom, sentient beings are established, That place is the sphere of activity of meditative concentration.
དེ་ནི་ནམ་མཁའི་སྙིང་པོ་ཡི། །བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་ཡུལ་ཏེ། ། ||| “It is the sphere of activity Of the bodhisattva Ākāśagarbha,
སྣང་བ་མེད་ཅིང་སྤྲོས་མེད་པའི། །ཏིང་ངེ་འཛིན་ནི་དེ་ཡིས་བསྟན། ། ||| Who has demonstrated the meditative concentration free of appearances And free of proliferations.
ལྟ་བ་གཉིས་ལ་གང་ཆགས་པ། །ཕྱི་ཕྱིར་ཞིང་ནི་རྨོངས་པར་འགྱུར། ||| “Whoever is attached to the two views Will later be in a realm of delusion.
རྟག་དང་ཆད་ལ་ཆགས་པ་ནི། །ཕ་རོལ་ཚུ་རོལ་ཤིན་ཏུ་རྨོངས། ། ||| Attachment to eternalism and nihilism Is utter delusion about here and there.
ལྟ་བ་གཉིས་པོ་འདི་དག་ལས། །རབ་ཏུ་གྲོལ་བར་སུ་འདོད་པ། །བརྗོད་དུ་མེད་པ་བསྒོམ་པར་གྱིས། ། ||| “Those who wish to free themselves Completely from both of these views Should meditate on that which is inexpressible,
དེ་ནི་མྱུར་དུ་ས་འཐོབ་འགྱུར། ||| Thereby swiftly attaining the grounds.
ཀྱེ་གྲོགས་པོ་དག་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ལས་ཐོག་མ་པ་ལ་དེ་ཉིད་བརྗོད་དུ་ཡོད་པའི་འདུ་ཤེས་ཀྱི་ཚུལ་གྱིས་དམིགས་པ་དང་བཅས་པའི་ཕ་རོལ་ཏུ་ཕྱིན་པ་དྲུག་བརྗོད་པར་བྱ་སྟེ། ། ||| “Listen well, companions: For bodhisattva mahāsattvas who are beginners one must explain the six perfections with a reference point, with the notion that suchness is expressible.
འདི་ལྟ་སྟེ། ||| That is to say,
ཅི་ནས་ཀྱང་འབྱུང་བ་ཆེན་པོ་རྣམས་ཀྱི་རང་བཞིན་སྐྱེ་ཞིང་འཇིག་པ་ཤེས་པར་བྱས་ནས། ། ||| they must understand the nature of the great elements to be arising and perishing.
དེའི་འོག་ཏུ་གཟོད་ཆོས་ཐམས་ཅད་བརྗོད་དུ་མེད་པའི་ངོ་བོ་ཉིད་མི་སྐྱེ་མི་འགག་པ། མི་དམིགས་པ་ཅུང་ཟད་ཀྱང་མེད་པའི་འདུ་བྱེད་ཐམས་ཅད་བསྒོམ་པར་བྱ་སྟེ། ||| Only then should they familiarize themselves with the idea that all phenomena are in essence inexpressible, nonarising, nonceasing, not perceptible, and not in the slightest way existing.
ཅི་ནས་ཀྱང་རྟག་པ་དང་ཆད་པ་སྤངས་པར་འགྱུར་བ་དང་། ||| “Thus will they definitively abandon eternalism and nihilism,
མི་འཇིགས། མི་དངངས། མི་སྐྲག་པར་འགྱུར་བ་དང་། ། ||| and they will not be at all frightened or terrified.
ཆོས་ཐམས་ཅད་ལ་ཆགས་པར་དམིགས་པའི་སེམས་སུ་མ་གྱུར་པར་བྱས་ན་དེ་མྱུར་དུ་ཕ་རོལ་ཏུ་ཕྱིན་པ་དྲུག་ཡོངས་སུ་རྫོགས་ཤིང་། ། ||| Once they have ceased to relate to phenomena with attachment, they will swiftly perfect the six perfections
ཕྱིན་ཅད་ཀྱང་ཆད་པ་དང་རྟག་པ་ལ་མི་གནས་པར་འགྱུར་རོ་ ||| and thenceforth not remain in either nihilism or eternalism.”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་ནས། འཁོར་དེར་ལྷགས་པ་ཐམས་ཅད་ཀྱང་སྔོན་གཟུགས་ཀྱི་སྣང་བ་ཇི་ལྟར་མཐོང་བ་དང་། ཐོས་པ་དང་། རྟོགས་པ་དང་། ཤེས་པ་དེ་བཞིན་དུ་འཁོར་དེར་མཐོང་བར་གྱུར་ཏོ། ||| No sooner had the Bhagavān spoken than all those assembled in the retinue saw the manifestations in the same way they had previously seen, heard, understood, and known them.
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཕྱག་གཡས་པ་བརྐྱང་སྟེ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| Thereupon, extending his right arm, the Bhagavān proclaimed:
ནམ་མཁའི་སྙིང་པོ་ཞེས་བྱ་བའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཏིང་ངེ་འཛིན་རྒྱ་མཚོ་དང་མཚུངས་པ། ||| “The bodhisattva mahāsattva Ākāśagarbha’s meditative concentration is like an ocean.
བྱང་ཆུབ་སེམས་དཔའ་བསླབ་པ་རི་རབ་དང་མཚུངས་པ། ||| This bodhisattva’s training is like Mount Meru,
ཡེ་ཤེས་ནམ་མཁའ་དང་མཚུངས་པ། ། ||| his primordial wisdom like space,
བརྩོན་འགྲུས་རླུང་དང་མཚུངས་པ། ||| his vigor like wind,
བཟོད་པ་རྡོ་རྗེ་དང་མཚུངས་པ། ||| and his tolerance like a vajra.
བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ཀྱི་ནི་རྒྱལ་མཚན་གྱི་མཆོག་ལྟ་བུ་ ||| He is like a supreme victory banner among all bodhisattvas.
མྱ་ངན་ལས་འདའ་བའི་གནས་སུ་འགྲོ་བ་རྣམས་ཀྱི་ནི་དེད་དཔོན་ལྟ་བུ། ། ||| For voyagers to nirvāṇa, he is like a captain.
དགེ་བའི་རྩ་བ་ཐམས་ཅད་ཀྱི་ནི་གཏེར་ལྟ་བུ། ། ||| He is like a treasure of all the roots of virtue.
སྡུག་བསྔལ་བ་ཐམས་ཅད་ཀྱི་ནི་བུམ་པ་བཟང་པོ་ལྟ་བུ། ||| For all who suffer, he is like a wishing vase;
མུན་པར་བཅུག་པ་རྣམས་ཀྱི་ནི་ཉི་མ་ལྟ་བུ། ||| for those engulfed in darkness, like the sun;
ལམ་སྟོར་བ་རྣམས་ཀྱི་ནི་ཟླ་བ་ལྟ་བུ། ||| for those who have lost their way, like the moon;
འཇིགས་པ་རྣམས་ཀྱི་ནི་རི་རབ་ལྟ་བུ། ||| for the frightened, like Mount Meru;
ཉོན་མོངས་པའི་ནད་ཀྱིས་ཡོངས་སུ་གདུངས་པ་རྣམས་ཀྱི་ནི་སྨན་བཅུད་ཀྱིས་ལེན་པ་ལྟ་བུ། ||| for those severely tormented by the sickness of afflictions, like a medicinal elixir;
དགེ་བའི་རྩ་བ་ཆད་དེ་ལྷུང་བ་རྣམས་ཀྱི་ནི་འཁར་བ་ལྟ་བུ། ||| for those who have severed the roots of virtue and fallen, like a walking stick.
ཕྲེང་བས་འཚོ་བ་རྣམས་ཀྱི་ནི་མེ་ཏོག་ལྟ་བུ། ||| For those who make a living by weaving garlands, he is like a flower;
སྡོམ་པ་སྤྱོད་པ་རྣམས་ཀྱི་ནི་མེ་ལོང་ལྟ་བུ། ||| for those who observe vows, like a mirror;
ངོ་ཚ་ཤེས་པ་དང་ཁྲེལ་ཡོད་པ་རྣམས་ཀྱི་ནི་གོས་ལྟ་བུ། ||| for those who have conscientiousness and modesty, like clothing;
མྱ་ངན་ལས་འདའ་བར་འགྲོ་བ་རྣམས་ཀྱི་ནི་སྟེགས་ལྟ་བུ། ||| for travelers to nirvāṇa, like a footbridge;
ཕ་རོལ་དུ་འགྲོ་བ་རྣམས་ཀྱི་ནི་གྲུ་ལྟ་བུ། ||| for voyagers to the other shore, like a boat;
མཐོ་རིས་སུ་འགྲོ་བ་རྣམས་ཀྱི་ནི་ཐེམ་སྐས་ལྟ་བུ། ||| for travelers to the higher realms, like a staircase.
ཚིག་ངན་པ་དང་སྐུར་པས་གདུངས་པ་རྣམས་ཀྱི་ནི་གདུགས་ལྟ་བུ། ||| For those suffering from insults and slander, he is like a parasol;
ཕ་རོལ་གྱི་རྒོལ་བ་རྣམས་ཀྱི་ནི་སེང་གེ་ལྟ་བུ། ||| for those facing opposition, like a lion;
ཆར་པ་རྣམས་ཀྱི་ནི་ཆུ་ལྟ་བུ། ||| for the rains, like water;
བདུད་ཀྱི་དགྲ་རྣམས་ཀྱི་ནི་གོ་ཆ་ལྟ་བུ། ||| for those fighting against Māra, like armor;
བསླབ་པ་འཁྲུལ་པ་རྣམས་ཀྱི་ནི་མིག་འབྱེད་པ་ལྟ་བུ། ||| for those who have mistaken the precepts, like the opening of their eyes;
དགེ་བའི་རྩ་བའི་ལོ་ཏོག་ཐམས་ཅད་ཀྱི་ནི་ས་ལྟ་བུ། ||| for all harvests of the roots of virtue, like the earth.
ནད་པ་རྣམས་ཀྱི་ནི་སྨན་པ་ལྟ་བུ། ||| For the sick, he is like a doctor;
བཀྲེས་པ་རྣམས་ཀྱི་ནི་འབྲུ་ལྟ་བུ། ||| for the hungry, like grain;
སྐོམ་པ་རྣམས་ཀྱི་ནི་ཆུ་ཤེལ་ལྟ་བུ། ||| for the thirsty, like a water crystal;
ངལ་བ་རྣམས་ཀྱི་ནི་མལ་ལྟ་བུ། ||| for the exhausted, like a bed;
ཏིང་ངེ་འཛིན་དང་ལྡན་པ་རྣམས་ཀྱི་ནི་མེ་ཤེལ་ལྟ་བུ། ||| for those in meditative concentration, like a fire lens;
བྱང་ཆུབ་ཀྱི་ལམ་དུ་ཞུགས་པ་རྣམས་ཀྱི་ནི་ཤིང་རྟ་ལྟ་བུ། ||| for those who have entered the path to enlightenment, like a chariot;
སྐྱེད་མོས་ཚལ་ན་རྩེ་བ་རྣམས་ཀྱི་ནི་རྫིང་བུ་ལྟ་བུ། ||| for those playing in parks, like a pool;
བྱང་ཆུབ་ཀྱི་ཕྱོགས་ལ་བརྩོན་པ་རྣམས་ཀྱི་ནི་ཕྲེང་བ་ལྟ་བུ་དེ་ཚུར་འོང་སྟེ། ||| for those striving toward enlightenment, like a rosary. Thus does he appear.
རིགས་ཀྱི་བུ་དེ་ཕ་རོལ་ཏུ་ཕྱིན་པ་རྣམས་ཀྱི་ནི་འབྲས་བུ་ལྟ་བུ། ||| “This son of noble family is like the fruition of the perfections,
རིགས་ཀྱི་བུ་དེ་ས་བཅུ་དང་ལྡན་པ་རྣམས་ཀྱི་ནི་ནོར་བུ་ཡིད་བཞིན་ལྟ་བུ། ||| like a wish-fulfilling jewel for those on the tenth ground,
རིགས་ཀྱི་བུ་དེ་དཔའ་བར་འགྲོ་བའི་ཏིང་ངེ་འཛིན་དང་ལྡན་པ་རྣམས་ཀྱི་ནི་ཤིང་ཡོངས་འདུ་དང་འདྲ་བ། ||| like a wish-fulfilling tree for those who have achieved the meditative concentration of valiant progress
གཅོད་པའི་ཕྱིར་ལྟ་བ་ངན་པའི་སྦྱོར་བ་ཐམས་ཅད་ཀྱི་ནི་མཚོན་ལྟ་བུ། ||| For all who are engaged in negative views, he is like a weapon because he severs;
འཇོམས་པའི་ཕྱིར་བག་ཆགས་ཀྱི་མཚམས་སྦྱོར་བའི་ཉོན་མོངས་པ་ཐམས་ཅད་ཀྱི་ནི་རྡོ་རྗེ་ལྟ་བུ། །། ||| for those afflicted beings entangled in latent tendencies, he is like a vajra because he overcomes.
བདུད་རྣམས་ཀྱིས་ནི་ཐུབ་པར་དཀའ་བ། ཐབས་དང་ལྡན་པ་རྣམས་ལ་ནི་ཚེས་གྲངས། །། ||| The demons cannot conquer him. For those of skillful means, he is the measure of time;
ཡེ་ཤེས་ཀྱི་ནི་འབྱེད་པ། སངས་རྒྱས་ཀྱི་ཆོས་ཐམས་ཅད་ཀྱི་ནི་གནས། ||| for primordial wisdom, he is discernment. For the entire Buddhadharma, he is the abode;
རང་རྒྱལ་བ་རྣམས་ཀྱི་ནི་ཕྲེང་བ་དང་མཚུངས་པ། ||| for pratyekas, like a garland;
ཉན་ཐོས་ཐམས་ཅད་ཀྱི་ནི་གོས་དང་མཚུངས་པ། ||| for all śrāvakas, like the robes;
ལྷ་རྣམས་ཀྱི་ནི་མིག་ལྟ་བུ། ||| for gods, like an eye;
མི་རྣམས་ཀྱི་ནི་ལམ་ལྟ་བུ། ||| for humans, like a path;
དུད་འགྲོའི་སྐྱེ་གནས་སུ་སྐྱེས་པ་རྣམས་ཀྱི་ནི་སྐྱབས། ཡི་དགས་རྣམས་ཀྱི་ནི་རྟེན། སེམས་ཅན་དམྱལ་བ་པ་རྣམས་ཀྱི་ནི་མགོན། ||| for those born in the animal realm, a shelter; for pretas, a support; for hell beings, a protector.
སྦྱིན་གནས་ཀྱི་སེམས་ཅན་ཐམས་ཅད་ཀྱི་ནི་སྣོད་དུ་གྱུར་པ། ||| For those sentient beings who receive donations, he transforms into a container;
བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ཀྱི་ནི་ཤིང་རྟ་ལྟ་བུ། ། ||| for bodhisattvas, into a chariot.
རིགས་ཀྱི་བུ་དེ་དུས་གསུམ་དུ་གཤེགས་པའི་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཐམས་ཅད་ཀྱི་ནི་བློན་པོ་ལྟ་བུ། ། ||| For all the tathāgata, arhat, perfectly complete buddhas of the three times, this son of noble family is like a minister.
ཆོས་ཀྱི་གྲོང་ཁྱེར་གྱི་ནི་སྒོ་སྲུངས་ཡིན་ཏེ། ། ||| He is the gatekeeper of the city of Dharma.
རིགས་ཀྱི་བུ་དེ་སངས་རྒྱས་ཀྱི་ཆོས་མ་འདྲེས་པ་བཅོ་བརྒྱད་ཀྱི་བར་གྱིས་ནི་བརྒྱན་པ་ཐམས་ཅད་རྫོགས་པའི་སངས་རྒྱས་ཀྱི་ཡེ་ཤེས་དང་ནི་ལྡན། ། ||| This son of noble family possesses the perfect buddhas’ primordial wisdom complete with all adornments, including the eighteen unique qualities of a buddha.
