བཅོམ་ལྡན་འདས་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to the Bhagavān Mañjuśrīkumārabhūta!
བྱ་དང་འདྲ་བའི་སེམས་ཀྱིས་ཡོངས་སུ་འཛིན་པ་མེད་པར་བྱ་བ་དང་། ||| With a mind free like a bird, one should be completely without grasping.
ཐབས་དང་ཤེས་རབ་ལ་མཁས་པས་ང་རྒྱལ་དང་། ངར་འཛིན་པ་མེད་པར་བྱ་བ་དང་། ||| With mastery in skill and wisdom, one should be without pride and reified conceptions of ‘I.’
དངོས་པོ་དང་དངོས་པོ་མེད་པ་སྤངས་ནས་སྟོང་པ་ཉིད་ཀྱི་རྣམ་པར་ཐར་པ་བརྟན་པོ་དང་ལྡན་པར་བྱ་བ་དང་། ||| One should abandon conceptions of existence and nonexistence and be firm in the emancipation ( vimokṣa ) of emptiness.
ཡང་དག་པར་བདེན་པ་མ་ཡིན་པའི་ཀུན་དུ་རྟོག་པའི་ཤེས་པས་སྒྱུ་མ་དང་། རྨི་ལམ་དང་འདྲ་བར་འཁོར་བ་ལས་མངོན་པར་དགའ་བར་བྱ་བ་མ་ཡིན་པ་དང་། ||| One should not take delight in saṃsāra through an inauthentic conceptual understanding, saṃsāra being like a magical illusion or dream.
རྒྱུ་དང་འབྲས་བུ་ལ་སྐུར་པ་གདབ་པར་མི་བྱ་བ་སྟེ། ||| And one should refrain from deprecating the law of cause and effect.
རིགས་ཀྱི་བུ་བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་མ་ཐག་པའི་བྱང་ཆུབ་སེམས་དཔས་ཆོས་བདུན་པོ་དེ་དག་ལ་བསླབ་པར་བྱའོ། ། ||| “Kulaputra, a bodhisattva who has just generated the altruistic mind set on attaining awakening should train in these seven qualities.”
བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ནས། ||| When the Bhagavān had spoken,
བྱང་ཆུབ་སེམས་དཔའ་འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་དང་། དགེ་སློང་དེ་དག་དང་བྱང་ཆུབ་སེམས་དཔའ་དེ་དག་ཡི་རངས་ཏེ་བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པ་ལ་མངོན་པར་བསྟོད་དོ། ། ||| the bodhisattva Noble Avalokiteśvara, along with the monks and bodhisattvas, rejoiced and praised highly what had been proclaimed by the Bhagavān.
འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་གིས་ཞུས་པ་ཆོས་བདུན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ་རྫོགས་སོ།། །། ||| This completes the noble Mahāyāna sūtra, “ The Inquiry of Avalokiteśvara on the Seven Qualities
རྒྱ་གར་གྱི་མཁན་པོ་དཱི་པཾ་ཀ་ར་ཤྲཱི་ཛྙཱ་ན་དང་། ལོ་ཙྪ་བ་དགེ་སློང་དགེ་བའི་བློ་གྲོས་ཀྱིས་བསྒྱུར་བ།། ||| Translated and edited by the Indian preceptor Dīpaṃkara­śrī­jñāna and the translator monk Gewai Lodrö.
