འཕགས་པ་དམ་པའི་ཆོས་དྲན་པ་ཉེ་བར་གཞག་པ། ||| The Noble Application of Mindfulness of the Sacred Dharma
དེ་ནས་དགེ་སློང་རབ་ཏུ་མང་པོ་ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུ་དང་བྲལ་བ་དག་བསོད་སྙོམས་ཀྱི་བྱ་བ་བྱས་ནས་ན་ལ་ཏིའི་གྲོང་ག་ལ་བ་དེར་དོང་སྟེ་ཕྱིན་ནསདགེ་སློང་རབ་ཏུ་མང་པོ་དག་ཟས་ཀྱི་བྱ་བ་བྱས་ནས་འཁོད་དོ། ། ||| Once they had completed their alms round, the large group of monks returned to the town of Nālati where they had their meal and then took their places amid the gathering of monks.
དེ་ནས་ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུ་ཕྱི་ཞིག་ན་བསོད་སྙོམས་བླངས་ཏེ། ན་ལ་ཏིའི་གྲོང་ག་ལ་བ་དེར་སོང་ངོ་། ། ||| Later, venerable Śāradvatīputra also returned to the town of Nālati, having received his alms.
དེ་ནས་དགེ་སློང་རབ་ཏུ་མང་པོ་ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུ་ག་ལ་བ་དེར་དོང་སྟེ་ཕྱིན་ནས། དགེ་སློང་རབ་ཏུ་མང་པོ་དག་གིས་ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུ་ལ་བསྙད་དོ། ། ||| When he arrived, the great gathering of monks went to see him and related to him what had transpired.
དེ་ནས་ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུས་དགེ་སློང་རབ་ཏུ་མང་པོ་དག་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། ། ||| Venerable Śāradvatīputra said,
གལ་ཏེ་བདག་ཚེ་དང་ལྡན་པ་ཁྱེད་དང་ལྷན་ཅིག་རྒྱལ་པོའི་ཁབ་ཀྱི་ལམ་སྲང་དང་། བཞི་མདོ་དང་། སུམ་མདོ་གཅིག་ཏུ་རིམ་གྱིས་དོང་བ་ལས། གཞན་མུ་སྟེགས་ཅན་སྤྱོད་པ་པ་ཀུན་ཏུ་རྒྱུ་བ་རྣམས་དང་ཕྲད་པར་གྱུར་ན་ནི་དེས་ན་བདག་གིས་གཞན་མུ་སྟེགས་ཅན་སྤྱོད་པ་པ་ཀུན་ཏུ་རྒྱུ་བ་དེ་དག་ཆོས་དང་འཐུན་པས་ཚར་བཅད་ཟིན་པ་ཞིག་ན། ཀྱེ་མ་བདག་ཀྱང་ལམ་སྲང་དང་། བཞི་མདོ་དང་། སུམ་མདོ་གཞན་ནས་བསོད་སྙོམས་ལ་རྒྱུ་རྒྱུ་ནས་འདིར་ཕྱིན་ཏེ། ||| “If I had been traveling with you, venerable ones, and had met those wandering non-Buddhist practitioners along the Rājagṛha highway, at a crossing, or at a fork in the road, I would have defeated them in accordance with the Dharma.
གང་ཚེ་དང་ལྡན་པ་དག་གཞན་མུ་སྟེགས་ཅན་སྤྱོད་པ་པ་ཀུན་ཏུ་རྒྱུ་བ་རྣམས་དང་ལྷན་ཅིག་གཏམ་བྱས་པའི་འདྲི་བའི་ཚུལ་དེ་ནི་བདག་གིས་ཚོར་ཡང་མ་ཚོར་རོ། ། ||| But unfortunately, I did not witness what transpired in your discussion with those wandering non-Buddhist practitioners.
ཚེ་དང་ལྡན་པ་དག་བཅོམ་ལྡན་འདས་ཀུན་ཏུ་སྤྱན་མངའ་བ་ཐམས་ཅད་མངོན་སུམ་པ། ||| “Venerable ones, the eyes of the Blessed One perceive everything directly.
ལས་དང་འབྲས་བུ་དང་རྣམ་པར་སྨིན་པ་མཁྱེན་པ་དེ་ཧ་ཅང་མི་རིང་བ་ཞིག་ན་ ||| He understands actions, their effects, and their ripening. At present he is residing not far from here.
མུ་སྟེགས་ཀྱི་ལྟ་བ་ཅན་ཐམས་ཅད་ཟིལ་གྱིས་མནན་ནསཉན་ཐོས་དང་། དགེ་བསྙེན་དང་། ལྷ་དང་མི་རྣམས་ལ་ལས་དང་འབྲས་བུ་རྣམ་པར་སྨིན་པའི་ཆོས་སྟོན་གྱིས། ||| Subduing all those whose views are extreme, he is teaching the Dharma of actions and their ripening results to hearers and laypeople, gods and humans.
ཁྱེད་དེ་ལ་ཞུས་ཤིག་དང་། ||| You must bring what happened before him.
དེ་ཡང་ལས་དང་རྣམ་པར་སྨིན་པ་ཐམས་ཅད་སྟོན་པར་མཛད་དོ། ། ||| He will teach you everything about actions and their ripening.
གང་ལྷ་དང་བཅས་པ། བདུད་དང་བཅས་པ། ཚངས་པ་དང་བཅས་པ། དགེ་སྦྱོང་དང་བྲམ་ཟེར་བཅས་པའི་སྐྱེ་དགུ་དག་གིས་མ་མཐོང་བ་དེ་ཁྱེད་ལ་སྟོན་པར་མཛད་ཅིང་། ||| He will teach you that which is not seen by any god, māra, Brahmā, mendicant, brahmin, or any other being.
གང་བདག་ཅག་གི་མངོན་སུམ་དུ་མ་གྱུར་པ་དེ་ཡང་ཁྱོད་ལ་བཅོམ་ལྡན་འདས་ཤིན་ཏུ་མངོན་སུམ་དུ་གྱུར་པ། ||| What we fail to see the Blessed One sees directly.
ལས་དང་འབྲས་བུ་རྣམ་པར་སྨིན་པ་མཁྱེན་པ་སྟོན་པར་མཛད་དོ། ། ||| With his knowledge of actions and their ripening results, he will teach you.”
དེ་ནས་དགེ་སློང་རབ་ཏུ་མང་པོ་དག་བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་དོང་ངོ་། །དེ་ནས་དགེ་སློང་དེ་དག་གིས་བཅོམ་ལྡན་འདས་ཉིན་མོའི་གནས་པས་བཞུགས་པ། ||| The large group of monks then set off to see the Blessed One and came upon him during his afternoon rest.
རི་རབ་ལྟར་རང་གི་འོད་ཀྱི་དྲ་བས་མངོན་པར་འབར་བ། ||| He was seated like Mount Sumeru, shining brightly within a sphere of light.
ཉིན་མོའི་ཉི་མ་ལྟར་སྣང་བས་རབ་ཏུ་གསལ་བ། མཚན་མོའི་ཟླ་བ་ལྟར་ཞི་བས་རབ་ཏུ་སིམ་པར་མཛད་པ། ||| The Blessed One was resplendent like the sun at noon, peaceful and soothing like the moon at night.
མཚོ་ལྟར་ཤིན་ཏུ་གསལ་བ། རྒྱ་མཚོ་ལྟར་ཟབ་པ། རི་རབ་ལྟར་མི་གཡོ་བ། སེང་གེ་ལྟར་དཔའ་བ། ||| He was clear like a lake, deep like the sea, unshakable like Mount Sumeru, and dauntless like a lion.
ཕ་མ་ལྟར་འབྱུང་པོ་ཐམས་ཅད་ཀྱི་སྐྱབས་སུ་གྱུར་པ། ||| Like a parent, he was the refuge for all.
ཐུགས་རྗེ་ཆེན་པོས་བརླན་པའི་ཐུགས་སེམས་ཅན་ཐམས་ཅད་ཀྱི་གཉེན་གཅིག་པར་གྱུར་པ། ||| With his mind permeated by great compassion, he was the universal friend of all beings.
བྱམས་པ་དང་། སྙིང་རྗེ་དང་། དགའ་བ་དང་། བཏང་སྙོམས་ཀྱི་རྟེན་དུ་གྱུར་པ། ||| He was an abode of love, compassion, joy, and equanimity.
བྱང་ཆུབ་ཀྱི་ཕྱོགས་ཀྱི་ཆོས་ཆེན་པོ་སུམ་ཅུ་རྩ་བདུན་གྱིས་སྐུ་བརྒྱན་པ། རབ་ཏུ་དང་བས་ལུས་ཅན་ཐམས་ཅད་ཀྱི་མིག་མགུ་བར་མཛད་པ། ||| With his body adorned by the thirty-seven great factors of awakening, its radiance delighted the eyes of all who beheld him.
ཟླ་བ་དང་ཉི་མའི་འོད་ཟིལ་གྱིས་གནོན་པ། ཤཱཀྱའི་རྒྱལ་པོའི་སྲས་ཀུན་ཏུ་སྤྱན་མངའ་བ། སྤྱན་དྲི་མ་གསུམ་དང་བྲལ་བ། ||| Outshining the light of the sun and the moon, the son of the Śākya king was endowed with universal vision, and his eyes were free of the three stains.
བདེན་པ་གཉིས་གསུང་བ། སྡུག་བསྔལ་གཉིས་མཁྱེན་པ། བསྒོམ་པ་གཉིས་བསྒོམས་ཤིང་མངོན་སུམ་དུ་མཛད་པ། ལམ་གྱི་འབྲས་བུ་མངོན་དུ་མཛད་པ། འགོག་པའི་དེ་ཉིད་མཁྱེན་པ། ||| He had taught the two truths, comprehended the twofold suffering, accomplished and actualized the two cultivations, realized the result of the path, and gained the knowledge of the reality of cessation.
ཁམས་གསུམ་མངོན་སུམ་དུ་མཛད་པའི་སྤྱན་མངའ་བ། ཁམས་གསུམ་གཞན་167ཡང་དག་པར་སྟོན་པ། ||| Endowed with eyes that perceive the three realms directly, he revealed the three realms to others.
ཁམས་བཅྭ་བརྒྱད་ཀྱི་དེ་ཉིད་མཁྱེན་པ། ||| He had fathomed the real nature of the eighteen elements.
མོས་པ་ཡིད་ལ་བྱེད་པའི་དེ་ཉིད་མཁྱེན་པ། ||| He knew the essence of the inspired mind.
ཡོན་ཏན་གྱི་ཀླུང་རང་གི་ཡོན་ཏན་བཅྭ་བརྒྱད་དག་དང་ལྡན་པ། སྲིད་པའི་འཆིང་བ་ལས་རྣམ་པར་གྲོལ་བ། སྟོབས་བཅུ་དང་ལྡན་པ། བསྙེངས་པ་མི་མངའ་བ་བཞིས་མི་བསྙེངས་པ། ཐུགས་རྗེ་ཆེན་པོ་དང་ལྡན་པ། དྲན་པ་ཉེ་བར་གཞག་པ་གསུམ་དང་རྟག་ཏུ་ལྡན་པ་དེ་མཐོང་ངོ་། ། ||| He was endowed with the eighteen floods of unique qualities, liberated from the bonds of existence, in possession of the ten powers, fearless with the four types of fearlessness, endowed with great compassion, and constantly in possession of the threefold application of mindfulness.
དེ་ནས་དགེ་སློང་རབ་ཏུ་མང་པོ་དག་ཆོས་གོས་ཕྲག་པ་གཅིག་ལ་གཟར་ནས། པུས་མོ་གཡས་པའི་ལྷ་ང་ས་ལ་བཙུགས་ཏེ། བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ནས། ||| The many monks draped their Dharma robes over their shoulders, knelt on their right knees, and bowed their heads to the Blessed One’s feet.
དུལ་བས་མགོ་བཏུད་དེ་ཕྱོགས་གཅིག་ཏུ་འཁོད་དོ། ། ||| Calmly and with heads bowed, they then stood to one side.
དེ་ནས་དགེ་སློང་རབ་ཏུ་མང་པོ་དག་གིས་དགེ་སློང་གཅིག་ཅིག་བསྒོ་བ་དང་བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་ཤིན་ཏུ་ཉེ་བར་ཕྱིན་ནས། ||| A monk who had been appointed by the large gathering now stepped forth and approached the Blessed One.
ཡང་དེ་བཞིན་དུ་བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ། ||| When he was very close to the Blessed One, he bowed his head to his feet.
བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་འདིར་བདག་སྔ་དྲོའི་དུས་སུ་ལྷུང་བཟེད་དང་ཆོས་གོས་འཚལ་ནས། རྒྱལ་པོའི་ཁབ་ཏུ་བསོད་སྙོམས་ལ་མཆི་མཆི་ན་ཞེས་བྱ་བ་སྔ་མ་བཞིན་ཏེ། ||| He then respectfully conveyed to the Blessed One how, in the morning, the monks had dressed in their Dharma robes, picked up their alms bowls, and gone to Rājagṛha to receive alms.
གཞན་མུ་སྟེགས་ཅན་སྤྱོད་པ་པ་ཀུན་ཏུ་རྒྱུ་བ་རྣམས་དང་ལྷན་ཅིག་ལུས་ཀྱི་ཆད་པ་དང་། ངག་གི་ཆད་པ་དང་། ཡིད་ཀྱི་ཆད་པ་སྔོན་དུ་འགྲོ་བའི་གཏམ་འདྲི་བའི་བར་སྔ་མ་བཞིན་ཏེ། དེ་དག་བཅོམ་ལྡན་འདས་ལ་གསོལ་ཏོ། ། ||| He recounted how they had met the wandering non-Buddhist practitioners, and how the latter had begun to discuss physical, verbal, and mental misdeeds, up to the questions they had asked.
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེའི་ཚེ་དགེ་སློང་དེ་དག་དང་ན་ལ་ཏིའི་གྲོང་གི་བྲམ་ཟེ་ལ་སོགས་པ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| When the monk had finished his account, the Blessed One spoke the following words to the monks, as well as to the brahmins of Nālati, and the others:
དགེ་སློང་དག་ཁྱེད་ཅག་ལ་ཆོས་བཤད་པར་བྱ་བ་འདི་ལྟ་སྟེ། དམ་པའི་ཆོས་དྲན་པ་ཉེ་བར་གཞག་པ་ཞེས་བྱ་བའི་ཆོས་ཀྱི་རྣམ་གྲངས་ ||| “Monks, I shall explain for you a teaching of the Dharma that is known as Mindfulness of the Sacred Dharma.
ཐོག་མར་དགེ་བ། བར་དུ་དགེ་བ། ཐ་མར་དགེ་བ། དོན་བཟང་པོ། ཚིག་འབྲུ་བཟང་པོ། ||| Auspicious in the beginning, the middle, and the end, this teaching is of profound meaning and conveyed in excellent words.
མ་འདྲེས་པ། ཡོངས་སུ་རྫོགས་པ། ཡོངས་སུ་དག་པ། ཡོངས་སུ་བྱང་བ། ཚངས་པར་སྤྱོད་པ། ཡང་དག་པར་རབ་ཏུ་བསྟན་པར་བྱས། ||| Unique, complete, and pure, it explains the perfect training and pure conduct.
དེ་ལེགས་པར་རབ་ཏུ་ཉོན་ལ་ཡིད་ལ་ཟུང་ཤིག་དང་བཤད་པར་བྱའོ། ། ||| Listen keenly and keep in mind what I say. I shall explain this for you.”
བཅོམ་ལྡན་འདས་དེ་ལྟར་འཚལ་ལོ་ཞེས་གསོལ་ཏེ། ||| “Blessed One,” replied the monks, “we shall do just as you instruct.”
དགེ་སློང་དེ་དག་བཅོམ་ལྡན་འདས་ལ་ཉན་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་དེ་དག་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| As the monks listened, the Blessed One now spoke:
དགེ་སློང་དག་དམ་པའི་ཆོས་དྲན་པ་ཉེ་བར་གཞག་པ་ཞེས་བྱ་བའི་ཆོས་ཀྱི་རྣམ་གྲངས་དེ་གང་ཡིན་ཞེ་ན། ||| “Monks, you may wonder what is meant by the Dharma teaching known as Mindfulness of the Sacred Dharma.
འདི་ལྟ་སྟེ། ཆོས་ལ་ཡང་ཆོས་ཉིད་དུ། ཆོས་མ་ཡིན་པ་ལ་ཡང་ཆོས་མ་ཡིན་པ་ཉིད་དུ་མཐོང་བ་དེ་དྲན་པ་རྟག་ཏུ་ཉེ་བར་གནས་པར་འགྱུར་ཞིང་འདི་ལ་ཐེ་ཚོམ་ཡང་མི་སྐྱེ། ||| Well, it is to remain constantly mindful of seeing Dharma as Dharma and non-Dharma as non-Dharma, while not having any doubts.
ཆོས་ཉན་པ་ལ་མངོན་པར་དགའ་བར་ཡང་འགྱུར། རྒན་རབས་ལ་ཡང་རིམ་གྲོ་བྱེད་དོ། ། ||| It is to delight in listening to the Dharma, and to venerate one’s elders.
དེ་ནི་ལུས་ཀྱི་ལས་དང་། ངག་གི་ལས་དང་། ཡིད་ཀྱི་ལས་གསུམ་གྱི་ལས་ཀྱི་འབྲས་བུ་དང་། འཆི་བ་དང་། སྐྱེ་བའི་རྣམ་པར་སྨིན་པ་ཤེས་པར་འགྱུར་ཏེ ||| This yields knowledge of the effects of the karmic actions of body, speech, and mind, and of the ripening of those actions in terms of death and rebirth.
ལྟ་བ་མ་ལོག་པ་ཡིན་ཞིང་གཞན་གྱིས་ཁ་མི་ཕྱིན་པར་འགྱུར་རོ། ། ||| One’s view thereby becomes unmistaken and impervious to being swayed by others.
དགེ་སློང་དག་དེ་ལ་ལུས་ཀྱི་ཆད་པ་རྣམ་པ་གསུམ་སྟེ། སྲོག་གཅོད་པ་དང་། མ་བྱིན་པར་ལེན་པ་དང་། འདོད་པས་ལོག་པར་གཡེམ་པའོ། ། ||| “Monks, there are three misdeeds of the body: killing, stealing, and sexual misconduct.
དེ་ལ་སྲོག་གཅོད་པ་ཇི་ལྟ་བུ་ཡིན་ཞེ་ན། ||| What, then, is killing?
སེམས་ཅན་ཕ་རོལ་ལ་སེམས་ཅན་དུ་འདུ་ཤེས་ཤིང་བསམས་བཞིན་དུ་སྲོག་ཆགས་བསད་དེ་སྲོག་དང་བྲལ་བར་བྱས་པ་ཡིན་ནོ། ། ||| To take a life is to recognize another sentient being as a sentient being and knowingly slay it.
དེ་ཡང་རྣམ་པ་གསུམ་སྟེ། ཆེན་པོ་དང་། འབྲིང་དང་། ཐ་མའོ། ། ||| Such an act may be of a great, intermediate, or minor kind.
དེ་ལ་ཆེན་པོ་ནི་དགྲ་བཅོམ་པ་ལ་སོགས་པ་བསད་པ་སྟེ་མནར་མེད་པར་འགྲོ་བའོ། ། ||| Great killing is the murder of a worthy one or the like. Such acts lead to the Hell of Ultimate Torment.
འབྲིང་ནི་ལམ་ལ་གནས་པ་བསད་པའོ། ། ||| Intermediate killing occurs when one murders someone on the path.
ཐ་མ་ནི་དུད་འགྲོ་དང་ཚུལ་ཁྲིམས་འཆལ་པ་སྤྱད་པ་བསད་པའོ། ། ||| Minor killing is to kill an animal or someone of degenerate moral conduct.
ཡང་རྣམ་པ་གསུམ་སྟེ། འདས་པ་དང་། མ་འོངས་པ་དང་། ད་ལྟར་བྱུང་བའིའོ། །ཡང་རྣམ་པ་གསུམ་སྟེ། འདོད་ཆགས་ཀྱིས་བྱས་པ་དང་། ཞེ་སྡང་གིས་བྱས་པ་དང་། གཏི་མུག་གིས་བྱས་པའོ། ། ||| “An act of killing can also be categorized with respect to the past, future, or present, or in terms of whether that act is carried out due to desire, anger, or delusion.
དེ་ལ་འདོད་ཆགས་ཀྱིས་བྱས་པ་ནི་རི་དགས་ལ་སོགས་པ་ལའོ། ། ||| Of these latter, killing out of desire occurs in hunting deer and other game.
ཞེ་སྡང་གིས་བྱས་པ་ནི་སྦྲུལ་དང་ནེའུ་ལེ་ལ་སོགས་པ་ལའོ། ། ||| Killing out of hatred occurs in killing a snake, a mongoose, or the like.
གཏི་མུག་གིས་བྱས་པ་ནི་མཆོད་སྦྱིན་ལ་སོགས་པ་ལའོ། ། ||| Killing due to delusion occurs in sacrificial killings and the like.
ཡང་རྣམ་པ་གསུམ་སྟེ། རང་གིས་བྱས་པ་དང་། གཞན་གྱིས་བཅོལ་བ་དང་། གཉི་གས་བྱས་པའོ། ། ||| Killing can likewise be categorized in terms of acts done by oneself, acts ordered by others, and acts done both by oneself and on the order of others.
རྒྱུ་ལྔས་སྲོག་གཅོད་པ་བྱས་ཀྱང་ཁ་ན་མ་ཐོ་བས་གོས་པར་མི་འགྱུར་ཏེ། འདི་ལྟ་སྟེ། ||| “In five cases killing will not incur any stain of evil:
ལམ་དུ་འགྲོ་བར་ཞུགས་པ་མི་ཤེས་པས་སྲོག་ཆགས་ཕྲ་མོ་དང་། གྲོག་སྦུར་ལ་སོགས་པ་སྲོག་དང་བྲལ་བར་བྱེད་པ་དང་། ||| unwittingly killing insects, ants, and so forth that happen to be in one’s a path;
གཞན་ལ་མཚོན་ཆ་གཟས་པ་ལས་བསམ་པ་དང་མི་ལྡན་པར་གཞན་ལ་ཕོག་སྟེདེ་སྲོག་དང་བྲལ་བ་དང་། ||| unintentionally striking and killing someone with a weapon;
ནད་པ་ལ་སྨན་པ་ཕན་པར་འདོད་པས་ཉེས་པར་མ་མཐོང་སྟེ། སྨན་བྱིན་པ་ལས་དེ་ཤི་བ་དང་། ||| dispensing the wrong type of medicine to a sick person, thereby accidently causing the person’s death while trying to help;
དེ་བཞིན་དུ་མས་བུ་གདུལ་བར་བྱ་བའི་ཕྱིར་བརྡེག་པ་ལས་དེ་སྲོག་དང་བྲལ་བ་དང་། ||| as a mother, causing the death of one’s child by disciplinary beating;
མེ་འབར་བའི་ནང་དུ་སྲོག་ཆགས་མི་འདོད་བཞིན་དུ་ལྷུང་བ་སྟེ། ||| and unintentionally causing living beings to die due to their falling into fire.
རྒྱུ་རྣམ་པ་དེ་ལྔས་སྲོག་བཅད་པར་གྱུར་ཀྱང་གོས་པར་མི་འགྱུར་རོ། ། ||| When killing occurs under these five circumstances there will not be any stain.
ཡང་སྲོག་གཅོད་པ་རྣམ་པ་གསུམ་སྟེ། གཞན་ལ་བསྒོ་བ་དང་། བདག་ཉིད་བྱེད་པ་དང་། གཉི་གས་བྱེད་པའོ། ། ||| “Further, killing may take place, again in three ways, by contracting others to do it, by performing the deed oneself, or by both of these methods.
གཞན་ཡང་མ་བྱིན་པར་ལེན་པ་རྫོགས་པ་ཇི་ལྟ་བུ་ཡིན་ཞེ་ན། ||| “What is understood by a complete act of stealing?
རྣལ་འབྱོར་སྤྱོད་པ་ཆོས་ལ་ཆོས་ཀྱི་རྗེས་སུ་ལྟ་ཞིང་གནས་པ་དེས། ཐོས་པ་ལས་བྱུང་བའི་ཤེས་པའམ། ལྷའི་མིག་གིས་མཐོང་སྟེ། ||| A spiritual practitioner, who observes and adheres to the Dharma, may understand this through having received teachings or having seen it to be the case by means of the divine eye.
